timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,0.24,,0.01,,0.06,0.69,virpool_v763c212-1,virpool_v763c212
16,,,0.29,0.33,,0.38,virpool_v763c212-16,virpool_v763c212
31,,,0.4,,,0.6,virpool_v763c212-31,virpool_v763c212
46,,,0.07,,,0.93,virpool_v763c212-46,virpool_v763c212
61,,,,,,1.0,virpool_v763c212-61,virpool_v763c212
77,,,,,0.2,0.8,virpool_v763c212-77,virpool_v763c212
92,,0.01,,0.02,,0.97,virpool_v763c212-92,virpool_v763c212
107,0.16,0.05,,,,0.79,virpool_v763c212-107,virpool_v763c212
122,0.49,,0.5,,,0.01,virpool_v763c212-122,virpool_v763c212
137,,,,,,1.0,virpool_v763c212-137,virpool_v763c212
153,,,,,,1.0,virpool_v763c212-153,virpool_v763c212
168,0.12,,,,,0.88,virpool_v763c212-168,virpool_v763c212
183,0.14,,,0.12,,0.74,virpool_v763c212-183,virpool_v763c212
198,,0.04,,,,0.96,virpool_v763c212-198,virpool_v763c212
213,,,,,,1.0,virpool_v763c212-213,virpool_v763c212
229,,,,,,1.0,virpool_v763c212-229,virpool_v763c212
244,,,,,0.57,0.43,virpool_v763c212-244,virpool_v763c212
259,,,,,,1.0,virpool_v763c212-259,virpool_v763c212
274,,,,,,1.0,virpool_v763c212-274,virpool_v763c212
289,,0.07,,,,0.93,virpool_v763c212-289,virpool_v763c212
305,0.03,0.33,,,0.04,0.6,virpool_v763c212-305,virpool_v763c212
320,,,0.36,,,0.64,virpool_v763c212-320,virpool_v763c212
335,0.02,,,,,0.98,virpool_v763c212-335,virpool_v763c212
350,0.1,,0.44,,,0.46,virpool_v763c212-350,virpool_v763c212
366,0.09,,,,,0.91,virpool_v763c212-366,virpool_v763c212
