timepoint,XBB.1.5,XBB.2.3,others,XBB.1.9,XBB.1.16,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,,,0.02,0.98,,Ex28_02_nearQual_simul-1,2023-01-02,1493.64,5028.52,32.62,60.0,simulation-1,simulation
16,,,0.02,0.98,,Ex28_02_nearQual_simul-16,2023-01-17,1474.18,4209.08,39.49,60.0,simulation-16,simulation
31,,,0.02,0.98,,Ex28_02_nearQual_simul-31,2023-02-01,1457.54,4272.02,41.33,60.0,simulation-31,simulation
46,,,0.02,0.98,,Ex28_02_nearQual_simul-46,2023-02-16,1485.48,4656.86,38.97,60.0,simulation-46,simulation
61,,,0.02,0.98,,Ex28_02_nearQual_simul-61,2023-03-03,1444.42,4979.89,35.9,60.0,simulation-61,simulation
77,0.01,,0.02,0.97,,Ex28_02_nearQual_simul-77,2023-03-19,1495.3,6378.44,37.67,60.0,simulation-77,simulation
92,0.16,,0.02,0.82,,Ex28_02_nearQual_simul-92,2023-04-03,1499.4,4680.02,35.94,60.0,simulation-92,simulation
107,0.78,,0.02,0.2,,Ex28_02_nearQual_simul-107,2023-04-18,1448.5,3936.29,43.23,60.0,simulation-107,simulation
122,0.97,,0.02,0.01,,Ex28_02_nearQual_simul-122,2023-05-03,1510.0,5142.03,37.48,60.0,simulation-122,simulation
137,0.98,,0.02,,,Ex28_02_nearQual_simul-137,2023-05-18,1480.36,3750.83,33.31,60.0,simulation-137,simulation
153,0.98,,0.02,,,Ex28_02_nearQual_simul-153,2023-06-03,1408.29,3577.65,37.42,60.0,simulation-153,simulation
168,0.98,,0.02,,,Ex28_02_nearQual_simul-168,2023-06-18,1505.56,3334.09,45.94,60.0,simulation-168,simulation
183,0.93,0.05,0.02,,,Ex28_02_nearQual_simul-183,2023-07-03,1505.17,4872.84,38.2,60.0,simulation-183,simulation
198,0.49,0.49,0.02,,,Ex28_02_nearQual_simul-198,2023-07-18,1484.16,3564.48,36.51,60.0,simulation-198,simulation
213,0.05,0.93,0.02,,,Ex28_02_nearQual_simul-213,2023-08-02,1507.43,4034.23,34.82,60.0,simulation-213,simulation
229,,0.98,0.02,,,Ex28_02_nearQual_simul-229,2023-08-18,1496.12,4943.4,32.38,60.0,simulation-229,simulation
244,,0.98,0.02,,,Ex28_02_nearQual_simul-244,2023-09-02,1479.73,4493.0,38.09,60.0,simulation-244,simulation
259,,0.98,0.02,,,Ex28_02_nearQual_simul-259,2023-09-17,1509.01,4228.55,40.93,60.0,simulation-259,simulation
274,,0.97,0.03,,,Ex28_02_nearQual_simul-274,2023-10-02,1499.69,4832.8,39.7,60.0,simulation-274,simulation
289,,0.88,0.02,,0.1,Ex28_02_nearQual_simul-289,2023-10-17,1491.62,4053.88,35.25,60.0,simulation-289,simulation
305,,0.27,0.02,,0.71,Ex28_02_nearQual_simul-305,2023-11-02,1420.29,3790.2,37.39,60.0,simulation-305,simulation
320,,0.02,0.02,,0.96,Ex28_02_nearQual_simul-320,2023-11-17,1504.05,3116.72,43.89,60.0,simulation-320,simulation
335,,,0.02,,0.98,Ex28_02_nearQual_simul-335,2023-12-02,1488.29,4047.76,40.19,60.0,simulation-335,simulation
350,,,0.02,,0.98,Ex28_02_nearQual_simul-350,2023-12-17,1387.88,3532.26,35.09,60.0,simulation-350,simulation
366,,,0.02,,0.98,Ex28_02_nearQual_simul-366,2024-01-02,1408.93,3987.3,34.11,60.0,simulation-366,simulation
