timepoint,BA.2,BA.4.6,BA.5,BA.5.1,BA.5.1.22,BA.5.2,BA.5.2.1,BA.5.2.20,BA.5.2.26,BA.5.2.3,BE.1.1,BE.1.1.2,BF.14,BF.5,BF.7,BA.2.75.1,BA.5.1.2,BA.5.1.23,BA.5.2.27,BA.5.9,BE.1,BE.1.4,BM.1.1,BA.2.3.20,BA.2.75.2,BA.2.75.5,BA.5.1.30,BA.5.1.5,BA.5.2.58,BA.5.2.6,BM.1.1.3,BN.1,BR.3,BF.11.3,BF.7.19,BF.7.4,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.3,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,CH.1.1,XBB,XBB.1,XBF,BF.11,BN.1.3.1,BA.2.12.1,BA.2.56,BA.2.9,BA.4,BA.4.1,BA.5.3,BF.1,BA.2.13,BA.5.5,BA.2.36,BA.2.3,BA.4.1.2,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.5.1.3,BL.1,CM.5,XBB.2,BF.12,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,BQ.1.1.23,B.1.617.2,B.1.1.529,BA.1.18,BN.2,AY.43,AY.46.6,BA.1.20,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,0.01,,0.28,0.17,0.01,0.07,0.08,,,,0.09,,0.08,0.01,,,,0.01,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,0.02,0.02,,0.04,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-29,simulation,Ex16_03_realTimecourse_simul-29,2022-07-13,1501.2098117245762,1296.3255085871783,96.66923051198877,60
31,0.06,,0.03,0.22,0.01,0.13,0.13,,,,0.1,0.02,0.14,0.02,0.02,0.02,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.01,,,,,0.01,,0.01,,,,,,,,,0.02,,,,,,,,,,,,,,,0.01,,,,,,,,simul-31,simulation,Ex16_03_realTimecourse_simul-31,2022-07-27,1500.6619068320904,1195.1345747900837,95.30147476841788,59.9999
34,0.02,,0.07,0.2,0.02,0.19,0.14,0.01,,,0.08,0.01,0.12,0.01,0.03,0.02,,0.01,,,0.02,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,simul-34,simulation,Ex16_03_realTimecourse_simul-34,2022-08-17,1502.4210279905026,1279.4796994192307,96.38163394977093,59.9999
36,0.02,0.01,0.02,0.19,0.02,0.26,0.17,0.02,0.02,0.03,0.06,0.02,0.12,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex16_03_realTimecourse_simul-36,2022-08-31,1498.6203725378725,1276.2953360066633,96.88325586061599,59.9999
38,,0.02,0.02,0.18,,0.26,0.1,0.02,0.02,0.01,0.05,0.01,0.13,0.01,0.03,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-38,simulation,Ex16_03_realTimecourse_simul-38,2022-09-14,1503.247132394743,1242.1428217005055,94.6259572618132,60
40,0.02,0.01,0.01,0.17,,0.21,0.1,0.02,,,0.02,,0.03,0.03,0.04,,,,,0.02,,,,0.07,0.04,0.07,0.02,0.01,0.01,0.01,0.02,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-40,simulation,Ex16_03_realTimecourse_simul-40,2022-09-28,1499.0007022706752,1183.3174168083503,97.47182556934087,59.9999
42,0.01,0.02,0.02,0.09,,0.2,0.09,,,,0.04,,0.06,0.02,0.03,,,,0.02,0.03,,,,0.14,,0.02,,,0.01,0.02,0.03,0.08,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.01,,,,,,,,,,,,,,,,simul-42,simulation,Ex16_03_realTimecourse_simul-42,2022-10-12,1496.3884225662978,1167.4411958374928,97.662441895462,59.9999
45,,0.01,,0.11,,0.14,0.08,0.03,,,,,0.09,0.03,0.1,,,,0.02,0.04,,,,0.01,,,,0.01,,0.02,,0.02,,,,,,0.02,,,0.03,0.01,0.03,0.05,,,,,,0.02,0.02,,0.05,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,simul-45,simulation,Ex16_03_realTimecourse_simul-45,2022-11-02,1500.838812159315,1125.6288875043479,98.50182255960941,59.9999
47,,,0.03,0.04,,0.14,0.06,0.02,,,,,0.03,,0.06,,,,,0.08,,,,0.02,,,,,,,,,,,,,0.02,0.02,0.02,0.04,0.04,0.05,0.07,0.06,,,,,,,0.02,,0.13,,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex16_03_realTimecourse_simul-47,2022-11-16,1492.8569708724876,1293.1803430099512,96.37494565762633,60
49,,,0.02,0.02,,0.12,0.01,,,,0.01,,0.06,0.01,0.11,,,,,0.01,,,,,,,,,,,,,,0.02,,0.01,0.03,0.01,,0.02,0.02,,0.07,0.18,0.02,0.02,0.01,,,0.02,0.01,0.01,0.05,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.02,0.02,,,,,,,,,simul-49,simulation,Ex16_03_realTimecourse_simul-49,2022-11-30,1500.6631107246765,1222.8352244794028,94.85335919472962,59.9999
51,,,0.03,0.02,,0.05,,,,,,,0.05,,0.11,,,,,0.01,,,,0.02,,,,,,,,,,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.04,0.27,0.02,0.02,0.02,0.02,0.04,0.02,0.05,0.01,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-51,simulation,Ex16_03_realTimecourse_simul-51,2022-12-14,1496.3827375179749,1141.1919440037082,98.14065478380095,59.9999
