timepoint,B.1.1.529,B.1.617.2,others,sample_name,tool_name
1,0.19,0.96,0.0,quaid_vaec47270-1,quaid_vaec47270
16,,0.97,0.03,quaid_vaec47270-16,quaid_vaec47270
31,0.67,,0.33,quaid_vaec47270-31,quaid_vaec47270
46,0.99,,0.01,quaid_vaec47270-46,quaid_vaec47270
61,0.65,,0.35,quaid_vaec47270-61,quaid_vaec47270
92,0.16,,0.84,quaid_vaec47270-92,quaid_vaec47270
107,0.78,,0.22,quaid_vaec47270-107,quaid_vaec47270
122,0.96,,0.04,quaid_vaec47270-122,quaid_vaec47270
183,0.93,,0.07,quaid_vaec47270-183,quaid_vaec47270
198,0.5,,0.5,quaid_vaec47270-198,quaid_vaec47270
305,0.67,,0.33,quaid_vaec47270-305,quaid_vaec47270
320,0.97,,0.03,quaid_vaec47270-320,quaid_vaec47270
335,0.99,,0.01,quaid_vaec47270-335,quaid_vaec47270
366,0.97,,0.03,quaid_vaec47270-366,quaid_vaec47270
