timepoint,BA.1.1,BA.2,BA.2.12.1,BA.2.3,BA.2.9,BA.4.1.2,BA.5.1,BA.5.3,B.1.1.529,BA.1,BA.1.1.1,AY.43,AY.46.6,B.1.617.2,BA.1.17.2,BA.1.18,BA.1.20,BA.2.3.20,BA.5,BA.5.2,BA.5.9,BF.11.3,BF.14,BF.7,BF.7.19,BF.7.4,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.3,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,CH.1.1,XBB,XBB.1,XBF,BA.5.1.10,BA.5.2.1,BE.1.1,BF.5,BF.7.22,BF.7.24,BN.1.3.1,BQ.1.2.1,BQ.1.3.2,BA.2.75.2,BA.2.75.5,BA.4.6,BA.5.1.30,BA.5.1.5,BA.5.2.20,BA.5.2.58,BA.5.2.6,BM.1.1.3,BN.1,BR.3,BA.1.17,BF.11,BA.2.36,BA.2.56,BA.4,BA.5.1.22,BE.1,BE.1.4,BA.1.15,BA.5.2.27,XBB.2,BA.4.1,BF.1,BA.2.13,BA.5.1.23,BA.5.5,BA.5.2.26,BA.5.2.3,BE.1.1.2,BA.2.75.1,BA.5.1.2,BM.1.1,BN.2,BA.5.1.3,BL.1,CM.5,BF.12,BQ.1.1.23,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
23,,0.48,0.15,,0.14,,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,simul-23,simulation,Ex18_03_realTimecourse_simul-23,2022-06-01,1477.5760291609538,2006.1122304301562,84.18887737016352,59.9999
25,,0.2,0.04,,0.06,,0.17,0.02,,,,,,,,,,,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.13,,,,,,,,,,,,,,,,,,,,,0.05,0.04,0.03,0.02,0.02,,,,0.04,0.03,,,,,,,,,,,,,,,,simul-25,simulation,Ex18_03_realTimecourse_simul-25,2022-06-15,1502.9665919807378,1648.9173154762957,85.15199143898606,59.9999
27,,0.03,0.06,,,,0.23,,,,,,,,,,,,0.11,0.06,,,0.06,,,,,,,,,,,,,,,,,,,,,,,0.08,0.13,,,,,,,,,,,,,,,,,,,,,0.03,0.02,0.01,0.04,0.01,,,,0.02,0.03,,,0.02,,,,,,,,,,,0.04,,simul-27,simulation,Ex18_03_realTimecourse_simul-27,2022-06-29,1503.848242651239,1609.0481876168521,89.92408788415878,59.9999
29,,0.01,0.01,,,,0.17,,,,,,,,,,,,0.28,0.07,,,0.08,,,,,,,,,,,,,,,,,,,,,,,0.08,0.09,0.01,,,,,,,,,,,,,,,,,,,,0.03,0.02,0.01,0.01,0.01,,,,0.02,0.04,0.02,0.01,0.01,,,,,,,,,,,,,simul-29,simulation,Ex18_03_realTimecourse_simul-29,2022-07-13,1501.8675049326155,1867.8390725429615,84.82426512390062,59.9998
31,0.02,0.06,,,0.01,,0.22,,,,,,,,,,,,0.03,0.13,,,0.14,0.02,,,,,,,,,0.02,,,,,,,,,,,0.01,,0.13,0.1,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,,0.01,,,0.01,,,,0.02,0.02,,,,,,,,0.01,simul-31,simulation,Ex18_03_realTimecourse_simul-31,2022-07-27,1499.5086780590577,1542.4173133538834,85.19546533792595,59.9999
34,,0.02,,,,,0.2,,,,,,,,,,,,0.07,0.19,,,0.12,0.03,,,,,,,,,,,,,,,,,,,,,,0.14,0.08,0.01,,,,,,,,,,0.03,0.01,,,,,,,,,,,0.02,0.02,,,,,,,,0.01,,,,0.01,0.02,,,0.01,,,,,,simul-34,simulation,Ex18_03_realTimecourse_simul-34,2022-08-17,1503.6018125271712,1853.3369053402207,84.34270808948935,59.9999
36,,0.02,,,,,0.19,,,,,,,,,,,,0.02,0.26,,,0.12,0.02,,,,,,,,,,,,,,,,,,,,,,0.17,0.06,0.04,,,,,,,,0.01,,,0.02,,,,,,,,,,,0.02,,,,,,,,,,,0.02,0.03,0.02,,,,,,,,,,simul-36,simulation,Ex18_03_realTimecourse_simul-36,2022-08-31,1502.0943718021604,1750.5240922673072,84.20559810052504,60
38,,,,,,,0.18,,,,,,,,,,,,0.02,0.26,0.03,,0.13,0.03,,,,,,,,,,,,,,,,,,,,,,0.1,0.05,0.01,,,,,,,,0.02,,,0.02,,,,,,,,,,,,0.01,0.01,,0.01,,,,,0.01,,0.02,0.01,0.01,0.02,0.01,0.02,,,,,,,simul-38,simulation,Ex18_03_realTimecourse_simul-38,2022-09-14,1503.8075778349998,1850.584914184471,84.46978564023676,59.9999
40,,0.02,,,,,0.17,,,,,,,,,,,0.07,0.01,0.21,0.02,,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,0.1,0.02,0.03,,,,,,0.04,0.07,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-40,simulation,Ex18_03_realTimecourse_simul-40,2022-09-28,1496.0553456174966,1881.5453477320982,84.81088853961141,59.9999
42,,0.01,,,,,0.09,,,,,,,,,,,0.14,0.02,0.2,0.03,,0.06,0.03,,,,,,,0.02,,,,,,,,,,,,,,,0.09,0.04,0.02,,,,,,,0.02,0.02,,,,0.01,0.02,0.03,0.08,0.01,,,,,,,,,,0.02,,,,,,,,,,,,,,0.01,0.02,0.01,,,simul-42,simulation,Ex18_03_realTimecourse_simul-42,2022-10-12,1495.211617563455,1935.4904472638293,85.10182924790155,59.9999
45,,,,,,,0.11,,,,,,,,,,,0.01,,0.14,0.04,,0.09,0.1,,,,0.02,,,0.03,0.01,0.03,0.05,,,,,,0.02,0.02,,0.05,,,0.08,,0.03,,,0.02,,,,,0.01,,0.01,0.03,,0.02,,0.02,,,0.01,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,simul-45,simulation,Ex18_03_realTimecourse_simul-45,2022-11-02,1502.4811891783434,1559.9507122468494,86.51640303648463,59.9999
47,,,,,,,0.04,,,,,,,,,,,0.02,0.03,0.14,0.08,,0.03,0.06,,,0.02,0.02,0.02,0.04,0.04,0.05,0.07,0.06,,,,,,,0.02,,0.13,,,0.06,,,,,0.04,,,,,,,,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex18_03_realTimecourse_simul-47,2022-11-16,1489.0739390696585,1896.0357134940923,84.65705782028559,59.9998
49,,,,,,,0.02,,,,,,,,,,,,0.02,0.12,0.01,0.02,0.06,0.11,,0.01,0.03,0.01,,0.02,0.02,,0.07,0.18,0.02,0.02,0.01,,,0.02,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-49,simulation,Ex18_03_realTimecourse_simul-49,2022-11-30,1500.5629869912718,1852.0712832471324,83.10202989666588,59.9999
51,,,,,,,0.02,,,,,,,,,,,0.02,0.03,0.05,0.01,0.02,0.05,0.11,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.04,0.27,0.02,0.02,0.02,0.02,0.04,0.02,0.05,0.01,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-51,simulation,Ex18_03_realTimecourse_simul-51,2022-12-14,1497.2315821155069,1960.655834892821,84.80754439353912,59.9999
