timepoint,XBB.1.9,XBB.1.5,others,XBB.1.16,XBB.2.3,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,0.98,,0.02,,,Ex29_02_nearQual_simul-1,2023-01-02,1435.13,9756.75,7.78,60.0,simulation-1,simulation
16,0.98,,0.02,,,Ex29_02_nearQual_simul-16,2023-01-17,434.06,3820.73,4.69,60.0,simulation-16,simulation
31,0.98,,0.02,,,Ex29_02_nearQual_simul-31,2023-02-01,1508.09,10023.67,6.05,60.0,simulation-31,simulation
46,0.98,,0.02,,,Ex29_02_nearQual_simul-46,2023-02-16,1495.23,9789.15,4.78,60.0,simulation-46,simulation
61,0.98,,0.02,,,Ex29_02_nearQual_simul-61,2023-03-03,1512.36,9507.41,8.02,60.0,simulation-61,simulation
77,0.97,0.01,0.02,,,Ex29_02_nearQual_simul-77,2023-03-19,1494.34,7868.15,5.95,60.0,simulation-77,simulation
92,0.82,0.16,0.02,,,Ex29_02_nearQual_simul-92,2023-04-03,1501.33,11794.79,5.23,60.0,simulation-92,simulation
107,0.2,0.78,0.02,,,Ex29_02_nearQual_simul-107,2023-04-18,1500.26,13018.42,3.56,60.0,simulation-107,simulation
122,0.01,0.97,0.02,,,Ex29_02_nearQual_simul-122,2023-05-03,1485.3,12757.26,4.9,60.0,simulation-122,simulation
137,,0.98,0.02,,,Ex29_02_nearQual_simul-137,2023-05-18,1425.6,7725.5,12.22,60.0,simulation-137,simulation
153,,0.98,0.02,,,Ex29_02_nearQual_simul-153,2023-06-03,1500.36,9908.55,10.13,60.0,simulation-153,simulation
168,,0.98,0.02,,,Ex29_02_nearQual_simul-168,2023-06-18,1498.09,10567.15,7.62,60.0,simulation-168,simulation
183,,0.93,0.02,,0.05,Ex29_02_nearQual_simul-183,2023-07-03,1502.41,13279.65,3.57,60.0,simulation-183,simulation
198,,0.49,0.02,,0.49,Ex29_02_nearQual_simul-198,2023-07-18,1502.55,9836.73,7.51,60.0,simulation-198,simulation
213,,0.05,0.02,,0.93,Ex29_02_nearQual_simul-213,2023-08-02,1484.54,13489.71,3.57,60.0,simulation-213,simulation
229,,,0.02,,0.98,Ex29_02_nearQual_simul-229,2023-08-18,1513.29,10574.99,11.9,60.0,simulation-229,simulation
244,,,0.02,,0.98,Ex29_02_nearQual_simul-244,2023-09-02,1490.9,14176.63,3.67,60.0,simulation-244,simulation
259,,,0.02,,0.98,Ex29_02_nearQual_simul-259,2023-09-17,1484.66,7618.09,8.61,60.0,simulation-259,simulation
274,,,0.03,,0.97,Ex29_02_nearQual_simul-274,2023-10-02,1470.88,9667.21,7.38,60.0,simulation-274,simulation
289,,,0.02,0.1,0.88,Ex29_02_nearQual_simul-289,2023-10-17,1505.39,9357.95,7.21,60.0,simulation-289,simulation
305,,,0.02,0.71,0.27,Ex29_02_nearQual_simul-305,2023-11-02,1473.5,10613.72,7.71,60.0,simulation-305,simulation
320,,,0.02,0.96,0.02,Ex29_02_nearQual_simul-320,2023-11-17,1497.49,6359.67,8.27,60.0,simulation-320,simulation
335,,,0.02,0.98,,Ex29_02_nearQual_simul-335,2023-12-02,1454.59,11502.37,9.33,60.0,simulation-335,simulation
350,,,0.02,0.98,,Ex29_02_nearQual_simul-350,2023-12-17,1485.04,13562.46,6.04,60.0,simulation-350,simulation
366,,,0.02,0.98,,Ex29_02_nearQual_simul-366,2024-01-02,1484.82,8419.53,9.46,60.0,simulation-366,simulation
