timepoint,BA.2,BA.2.12.1,BA.2.3,BA.2.56,BA.2.9,BA.4,BA.4.1.2,BA.2.3.20,BA.2.75.5,BA.4.6,BA.5,BA.5.1,BA.5.1.3,BA.5.2,BA.5.2.1,BA.5.2.27,BA.5.2.58,BA.5.2.6,BA.5.9,BE.1.1,BF.14,BF.5,BF.7,BL.1,BM.1.1.3,BN.1,BN.1.3,BR.3,CM.5,BA.5.1.22,BA.5.2.20,BA.5.2.26,BA.5.2.3,BE.1.1.2,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.4.1,BA.5.3,BE.1,BE.1.4,BF.1,AY.43,AY.46.6,B.1.617.2,BA.1.18,BA.1.20,BA.2.75.1,BA.5.1.23,BA.5.1.5,BN.2,BA.2.75.2,BA.5.1.30,BA.5.5,BF.12,BA.2.36,B.1.1.529,BA.2.13,BQ.1,BQ.1.1.23,XBF,BA.5.1.10,BF.11.3,BF.7.22,BF.7.24,BF.7.4,BF.7.5,BF.7.6,BN.1.2,BN.1.3.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,BQ.1.5,CH.1.1,XBB,XBB.1,BF.7.19,BF.7.9,BN.1.3.3,BQ.1.1.7,BQ.1.10,BF.11,BA.5.1.2,BM.1.1,XBB.2,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,0.01,0.01,,0.03,,0.02,,,,,0.28,0.17,,0.07,0.08,,,,,0.09,0.08,0.01,,,,,,,,0.01,,,,,,,,,,,0.02,,0.01,0.01,0.04,,,,,,,0.01,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-29,simulation,Ex20_03_realTimecourse_simul-29,2022-07-13,1505.7035414506906,3087.497641283949,63.19767247433368,60
31,0.06,,,,0.01,,,,,,0.03,0.22,,0.13,0.13,,,,,0.1,0.14,0.02,0.02,,,,,,,0.01,,,,0.02,,0.02,,,,,0.01,,0.02,,,,,,,,0.02,0.01,,,,,,,,,,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-31,simulation,Ex20_03_realTimecourse_simul-31,2022-07-27,1503.0427047453434,2942.285120503216,55.445941878741266,59.9998
34,0.02,,,,,,,,,,0.07,0.2,,0.19,0.14,,,,,0.08,0.12,0.01,0.03,,,,,,,0.02,0.01,,,0.01,,,,,,,,,0.02,,,,,,,,0.02,0.01,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-34,simulation,Ex20_03_realTimecourse_simul-34,2022-08-17,1497.847272848878,2360.4025098014267,73.77855064709226,59.9999
36,0.02,,,,,,,,,0.01,0.02,0.19,,0.26,0.17,,,,,0.06,0.12,0.04,0.02,,,,,,,0.02,0.02,0.02,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex20_03_realTimecourse_simul-36,2022-08-31,1500.8183794268134,2982.2312798779462,63.421730261177814,59.9998
38,,,,,,,,,,0.02,0.02,0.18,,0.26,0.1,0.01,,,0.03,0.05,0.13,0.01,0.03,,,,,,,,0.02,0.02,0.01,0.01,,,,,,,,,0.01,0.01,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,simul-38,simulation,Ex20_03_realTimecourse_simul-38,2022-09-14,1500.0378891749992,2853.2342985601126,66.63211049058623,59.9999
40,0.02,,,,,,,0.07,0.07,0.01,0.01,0.17,,0.21,0.1,,0.01,0.01,0.02,0.02,0.03,0.03,0.04,,0.02,0.04,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-40,simulation,Ex20_03_realTimecourse_simul-40,2022-09-28,1501.870213690934,2473.2414178034437,65.26769889308765,60
42,0.01,,,,,,,0.14,0.02,0.02,0.02,0.09,0.01,0.2,0.09,0.02,0.01,0.02,0.03,0.04,0.06,0.02,0.03,0.02,0.03,0.08,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-42,simulation,Ex20_03_realTimecourse_simul-42,2022-10-12,1499.692004146741,2228.588682116523,66.93308363709328,60
45,,,,,,,,0.01,,0.01,,0.11,,0.14,0.08,0.02,,0.02,0.04,,0.09,0.03,0.1,,,0.02,0.03,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.03,,,,,,,,,0.02,,0.02,0.05,,,,,,0.02,0.02,,0.05,,,0.01,,,0.01,,,0.01,simul-45,simulation,Ex20_03_realTimecourse_simul-45,2022-11-02,1483.5516837775474,2889.644211151509,62.267999866234156,59.9999
47,,,,,,,,0.02,,,0.03,0.04,,0.14,0.06,,,,0.08,,0.03,,0.06,,,,0.04,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,0.02,0.02,0.04,0.04,0.06,,,,,,,0.02,,0.13,,0.02,0.05,,,0.02,,,,simul-47,simulation,Ex20_03_realTimecourse_simul-47,2022-11-16,1492.0620004681805,3320.837207348506,52.89770257164833,59.9999
49,,,,,,,,,,,0.02,0.02,,0.12,0.01,,,,0.01,0.01,0.06,0.01,0.11,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.01,0.02,0.01,0.18,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.05,,,,,,,,,,simul-49,simulation,Ex20_03_realTimecourse_simul-49,2022-11-30,1502.9712403437782,3033.0986817078588,65.03695281409892,60
51,,,,,,,,0.02,,,0.03,0.02,,0.05,,,,,0.01,,0.05,,0.11,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.03,,0.02,,,0.02,0.02,0.01,0.02,,0.27,0.02,0.02,0.02,,,0.02,0.05,0.01,0.03,0.02,0.01,0.01,0.02,0.04,,,,,simul-51,simulation,Ex20_03_realTimecourse_simul-51,2022-12-14,1484.0123064575462,2846.853765480707,56.710029094070826,60
