timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,0.12,,,,,0.88,virpool-1,virpool
3,0.06,,,,,0.94,virpool-3,virpool
5,0.02,,0.33,,,0.65,virpool-5,virpool
7,,,,,,1.0,virpool-7,virpool
9,0.15,,0.28,,,0.58,virpool-9,virpool
12,0.08,,,0.03,,0.89,virpool-12,virpool
14,0.12,,,,,0.88,virpool-14,virpool
16,,,,,,1.0,virpool-16,virpool
18,,,,,,1.0,virpool-18,virpool
20,0.02,,,,,0.98,virpool-20,virpool
23,0.1,,0.11,,,0.79,virpool-23,virpool
25,0.02,,,,,0.98,virpool-25,virpool
27,0.05,0.04,0.21,,,0.7,virpool-27,virpool
29,0.1,,,,,0.9,virpool-29,virpool
31,,,,,,1.0,virpool-31,virpool
34,0.1,,0.24,,0.04,0.62,virpool-34,virpool
36,0.02,,,,,0.98,virpool-36,virpool
38,0.25,,0.48,,,0.27,virpool-38,virpool
40,0.04,,,,0.08,0.87,virpool-40,virpool
42,0.02,0.06,,,0.04,0.88,virpool-42,virpool
45,0.08,,,,,0.92,virpool-45,virpool
47,,,,,,1.0,virpool-47,virpool
49,,,,,,1.0,virpool-49,virpool
51,,,,,0.17,0.83,virpool-51,virpool
