timepoint,B.1.1.7,B.1.351,B.1.617.2,P.1,others,sample_name,tool_name
16,0.97,,,,0.03,vaquero_v24d9211_oldref-16,vaquero_v24d9211_oldref
31,0.97,,,,0.03,vaquero_v24d9211_oldref-31,vaquero_v24d9211_oldref
61,0.97,,,,0.03,vaquero_v24d9211_oldref-61,vaquero_v24d9211_oldref
77,0.96,,,,0.04,vaquero_v24d9211_oldref-77,vaquero_v24d9211_oldref
92,0.8,,,,0.2,vaquero_v24d9211_oldref-92,vaquero_v24d9211_oldref
122,,0.97,,,0.03,vaquero_v24d9211_oldref-122,vaquero_v24d9211_oldref
153,,0.98,,,0.02,vaquero_v24d9211_oldref-153,vaquero_v24d9211_oldref
183,,0.93,,,0.07,vaquero_v24d9211_oldref-183,vaquero_v24d9211_oldref
259,,,,0.98,0.02,vaquero_v24d9211_oldref-259,vaquero_v24d9211_oldref
305,,,0.71,0.28,0.01,vaquero_v24d9211_oldref-305,vaquero_v24d9211_oldref
320,,,0.96,,0.04,vaquero_v24d9211_oldref-320,vaquero_v24d9211_oldref
335,,,0.97,,0.03,vaquero_v24d9211_oldref-335,vaquero_v24d9211_oldref
366,,,0.97,,0.03,vaquero_v24d9211_oldref-366,vaquero_v24d9211_oldref
