timepoint,P.1.10,P.1.16,B.56,B,B.1.351,B.12,B.1.612,Q.1,B.1.1.7,B.47,B.23,B.1.170,B.1.14,Q.3,B.27,B.1.270,B.1.546,B.1.555,B.1,B.1.76,B.1.215,B.1.201,B.1.395,B.1.383,B.1.195,B.1.134,B.1.378,B.1.600,B.1.199,B.1.91,B.1.153,B.1.222,B.1.379,B.1.182,B.1.180,B.1.192,B.1.420,B.1.225,B.1.206,B.1.13,B.1.274,P.1,B.4,B.1.106,B.1.545,B.1.143,B.1.139,B.1.142,B.1.131,B.1.605,B.1.617.2,AY.38,AY.9,AY.24,AY.61,AY.55,B.1.81,B.1.351.5,P.1.17,B.1.356,B.1.314,B.1.572,B.1.344,B.1.167,B.1.315,B.1.267,B.1.333,others,sample_name,tool_name
1,,,,,,,,,0.79,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-1,freyja_v1.5.3
16,,,,,,,,0.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-16,freyja_v1.5.3
31,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-31,freyja_v1.5.3
46,,,,,,,,0.4,0.4,,,,,,,,,0.01,0.01,,0.01,0.01,0.01,,,,0.01,,0.01,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,,,,,,,,,0.01,,,,,,,,,,,0.03,freyja_v1.5.3-46,freyja_v1.5.3
61,,,,,,,,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-61,freyja_v1.5.3
77,,,,,,,,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-77,freyja_v1.5.3
92,,,,,0.17,,,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-92,freyja_v1.5.3
107,,,,,0.78,,,0.04,0.04,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,freyja_v1.5.3-107,freyja_v1.5.3
122,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-122,freyja_v1.5.3
137,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,freyja_v1.5.3-137,freyja_v1.5.3
153,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-153,freyja_v1.5.3
168,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-168,freyja_v1.5.3
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,0.07,freyja_v1.5.3-183,freyja_v1.5.3
198,0.17,0.17,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,0.14,freyja_v1.5.3-198,freyja_v1.5.3
213,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.09,freyja_v1.5.3-213,freyja_v1.5.3
229,,,0.03,0.03,,0.03,,,,0.03,0.03,,0.03,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-229,freyja_v1.5.3
244,0.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-244,freyja_v1.5.3
259,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-259,freyja_v1.5.3
