timepoint,B.1.1.7,B.1.351,B.1.617.2,P.1,others,sample_name,tool_name
16,0.97,,,,0.03,vaquero_v24d9211-16,vaquero_v24d9211
31,0.97,,,,0.03,vaquero_v24d9211-31,vaquero_v24d9211
61,0.97,,,,0.03,vaquero_v24d9211-61,vaquero_v24d9211
77,0.96,,,,0.04,vaquero_v24d9211-77,vaquero_v24d9211
92,0.8,,,,0.2,vaquero_v24d9211-92,vaquero_v24d9211
122,,0.96,,,0.04,vaquero_v24d9211-122,vaquero_v24d9211
153,,0.98,,,0.02,vaquero_v24d9211-153,vaquero_v24d9211
183,,0.92,,,0.08,vaquero_v24d9211-183,vaquero_v24d9211
259,,,,0.98,0.02,vaquero_v24d9211-259,vaquero_v24d9211
274,,,,0.97,0.03,vaquero_v24d9211-274,vaquero_v24d9211
305,,,0.71,0.28,0.01,vaquero_v24d9211-305,vaquero_v24d9211
320,,,0.96,,0.04,vaquero_v24d9211-320,vaquero_v24d9211
335,,,0.97,,0.03,vaquero_v24d9211-335,vaquero_v24d9211
366,,,0.97,,0.03,vaquero_v24d9211-366,vaquero_v24d9211
