timepoint,B.1.1.529,B.1.617.2,others,sample_name,tool_name
1,,0.97,0.03,quaid_vaec47270-1,quaid_vaec47270
16,0.98,0.97,0.0,quaid_vaec47270-16,quaid_vaec47270
31,0.99,,0.01,quaid_vaec47270-31,quaid_vaec47270
46,1.0,,0.0,quaid_vaec47270-46,quaid_vaec47270
92,0.41,,0.59,quaid_vaec47270-92,quaid_vaec47270
122,0.96,,0.04,quaid_vaec47270-122,quaid_vaec47270
137,0.99,,0.01,quaid_vaec47270-137,quaid_vaec47270
213,0.23,,0.77,quaid_vaec47270-213,quaid_vaec47270
259,0.12,,0.88,quaid_vaec47270-259,quaid_vaec47270
305,0.72,,0.28,quaid_vaec47270-305,quaid_vaec47270
