timepoint,B.1.1.7,others,P.1,B.1.617.2,B.1.351,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.98,0.02,,,,simul-1,simulation,Ex14_02_WideQual_simul-1,2023-01-02,1506.1664715914792,5034.906734263413,37.92596060595927,59.9999
16,0.98,0.02,,,,simul-16,simulation,Ex14_02_WideQual_simul-16,2023-01-17,1501.1254723606328,4055.2899231769184,33.66217436377621,60
31,0.9776,0.02,,,0.0024,simul-31,simulation,Ex14_02_WideQual_simul-31,2023-02-01,1511.8757984148747,4288.932161479206,31.448349663913323,59.9999
46,0.9776,0.02,,,0.0024,simul-46,simulation,Ex14_02_WideQual_simul-46,2023-02-16,1494.4088887402602,6614.651508892358,28.77637695214527,59.9999
61,0.9772,0.02,,,0.0028000000000000004,simul-61,simulation,Ex14_02_WideQual_simul-61,2023-03-03,1507.0700933016753,3988.103457943504,40.30699260943718,59.9999
77,0.968,0.02,,,0.012,simul-77,simulation,Ex14_02_WideQual_simul-77,2023-03-19,1500.7527003979533,3121.68755056314,45.14262782998361,59.9999
92,0.8155,0.02,,,0.16449999999999998,simul-92,simulation,Ex14_02_WideQual_simul-92,2023-04-03,1500.3386951142027,4637.1380378474,39.899006788616525,60
107,0.19579999999999997,0.02,,,0.7842,simul-107,simulation,Ex14_02_WideQual_simul-107,2023-04-18,1504.2603417717287,4123.730553372628,33.882888004548036,60
122,0.012,0.02,,,0.968,simul-122,simulation,Ex14_02_WideQual_simul-122,2023-05-03,1500.403237133398,3463.373524916275,47.13573888907467,60
137,0.0006,0.02,,,0.9793999999999999,simul-137,simulation,Ex14_02_WideQual_simul-137,2023-05-18,1506.8248670701937,3237.5614164806525,45.018894425308495,60
153,,0.02,0.0001,,0.9799,simul-153,simulation,Ex14_02_WideQual_simul-153,2023-06-03,1508.4704210279906,4103.917268636855,41.82189078018928,60
168,,0.02,0.0024,,0.9776,simul-168,simulation,Ex14_02_WideQual_simul-168,2023-06-18,1500.3399993311707,3916.6248091009975,42.270006353877534,59.9995
183,,0.02,0.0458,,0.9342,simul-183,simulation,Ex14_02_WideQual_simul-183,2023-07-03,1499.2593050864461,4799.991018524876,35.57168177105976,60
198,,0.02,0.48619999999999997,,0.4938,simul-198,simulation,Ex14_02_WideQual_simul-198,2023-07-18,1505.2605089790322,3754.404634008388,39.303748787747054,59.9999
213,,0.02,0.9328,,0.0472,simul-213,simulation,Ex14_02_WideQual_simul-213,2023-08-02,1498.3497976791625,4715.836669178909,35.1369427816607,60
229,,0.02,0.978,,0.002,simul-229,simulation,Ex14_02_WideQual_simul-229,2023-08-18,1499.8316222452597,5026.03840950442,35.103501320937696,59.9999
244,,0.02,0.9799,,0.0001,simul-244,simulation,Ex14_02_WideQual_simul-244,2023-09-02,1498.574423970839,7139.213182850048,37.30394943651139,60
259,,0.02,0.9797,0.0003,,simul-259,simulation,Ex14_02_WideQual_simul-259,2023-09-17,1494.9098083804301,3897.932609024747,48.28278099187372,59.9999
274,,0.02,0.9747,0.0053,,simul-274,simulation,Ex14_02_WideQual_simul-274,2023-10-02,1503.7307293582583,4121.955265203842,40.69491355382403,60
289,,0.02,0.8835999999999999,0.0964,,simul-289,simulation,Ex14_02_WideQual_simul-289,2023-10-17,1509.0535397786175,4681.747991731917,34.18051700498278,59.9999
305,,0.02,0.2666,0.7134,,simul-305,simulation,Ex14_02_WideQual_simul-305,2023-11-02,1496.671370765475,3768.581948425501,42.98565361334983,60
320,,0.02,0.0179,0.9621,,simul-320,simulation,Ex14_02_WideQual_simul-320,2023-11-17,1503.2401096879912,5711.324252577459,36.34752365983346,59.9999
335,,0.02,0.0009,0.9791,,simul-335,simulation,Ex14_02_WideQual_simul-335,2023-12-02,1500.1986757181553,5180.785706322551,40.02274019329165,59.9998
350,,0.02,,0.98,,simul-350,simulation,Ex14_02_WideQual_simul-350,2023-12-17,1501.7018693776545,3488.382699577361,34.61191184830953,60
366,,0.02,,0.98,,simul-366,simulation,Ex14_02_WideQual_simul-366,2024-01-02,1496.7156138180117,5674.663004115124,39.29037220345785,60
