timepoint,BA.2,BA.2.12.1,BA.2.3,BA.2.56,BA.2.9,BA.4,BA.4.1.2,BA.4.1,BA.5,BA.5.1,BA.5.1.22,BA.5.2,BA.5.2.1,BA.5.5,BE.1,BE.1.1,BE.1.4,BF.1,BF.12,BF.14,BA.2.36,BA.5.3,B.1.1.529,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.1.18,BA.4.6,BA.5.2.20,BA.5.2.26,BA.5.2.3,BE.1.1.2,BF.5,BF.7,BA.2.3.20,BA.5.9,BF.11.3,BF.7.19,BF.7.4,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.3,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,CH.1.1,XBB,XBB.1,XBF,BA.2.75.1,BA.5.1.23,BA.5.1.5,BN.2,BA.5.1.2,BA.5.2.27,BM.1.1,B.1.617.2,BQ.1.1.23,BA.2.75.5,BA.5.1.3,BA.5.2.58,BA.5.2.6,BL.1,BM.1.1.3,BN.1,BR.3,CM.5,BA.2.13,BF.11,BN.1.3.1,AY.43,AY.46.6,BA.1.20,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,XBB.2,BA.2.75.2,BA.5.1.30,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,0.01,0.01,,0.03,,0.02,,0.02,0.28,0.17,0.01,0.07,0.08,0.01,0.01,0.09,0.01,0.04,,0.08,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,simul-29,simulation,Ex17_03_realTimecourse_simul-29,2022-07-13,1502.1495167708927,1576.8688484917845,89.72678326589305,59.9999
31,0.06,,,,0.01,,,0.01,0.03,0.22,0.01,0.13,0.13,,0.02,0.1,,,,0.14,,,,,0.02,,,,,,,,,,0.02,0.02,0.02,,,,,,,,,,,,0.02,,,,,,,,,,,0.01,0.02,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,simul-31,simulation,Ex17_03_realTimecourse_simul-31,2022-07-27,1502.3479249573622,1551.6227699171495,92.22820452797377,59.9999
34,0.02,,,,,,,,0.07,0.2,0.02,0.19,0.14,,0.02,0.08,,,,0.12,,,,,,,,,,,,0.01,,,0.01,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-34,simulation,Ex17_03_realTimecourse_simul-34,2022-08-17,1499.0077584188878,1673.04935728235,88.36571581446677,59.9999
36,0.02,,,,,,,,0.02,0.19,0.02,0.26,0.17,,,0.06,,,,0.12,,,,,,,,,,,0.01,0.02,0.02,0.03,0.02,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex17_03_realTimecourse_simul-36,2022-08-31,1504.0557469150253,1469.2339173170233,89.11814868073438,59.9999
38,,,,,,,,,0.02,0.18,,0.26,0.1,,0.01,0.05,0.01,,,0.13,,,,,,,,,,,0.02,0.02,0.02,0.01,0.01,0.01,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,simul-38,simulation,Ex17_03_realTimecourse_simul-38,2022-09-14,1501.7792194763067,1574.6904220734225,94.14440022740193,59.9999
40,0.02,,,,,,,,0.01,0.17,,0.21,0.1,,,0.02,,,,0.03,,,,,,,,,,,0.01,0.02,,,,0.03,0.04,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.07,,0.01,0.01,,0.02,0.04,0.01,,,,,,,,,,,,,,0.04,0.02,simul-40,simulation,Ex17_03_realTimecourse_simul-40,2022-09-28,1495.162859913721,1498.264737496766,88.4626960505635,59.9999
42,0.01,,,,,,,,0.02,0.09,,0.2,0.09,,,0.04,,,,0.06,,,,,,,,,,,0.02,,,,,0.02,0.03,0.14,0.03,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,0.01,0.01,0.02,0.02,0.03,0.08,0.01,0.01,,,,,,,,,,,,,,,simul-42,simulation,Ex17_03_realTimecourse_simul-42,2022-10-12,1502.9885964618934,1405.5567722368899,91.5827843360198,59.9999
45,,,,,,,,,,0.11,,0.14,0.08,,,,,,,0.09,,,,,,,,,,,0.01,0.03,,,,0.03,0.1,0.01,0.04,,,,,0.02,,,0.03,0.01,0.03,0.05,,,,,,0.02,0.02,,0.05,,,,0.01,,,0.02,,,,,,,0.02,,,0.02,,,,0.01,0.02,,,,,,,,,0.01,,,simul-45,simulation,Ex17_03_realTimecourse_simul-45,2022-11-02,1501.977192923787,1434.8929843061917,91.70651774069492,59.9999
47,,,,,,,,,0.03,0.04,,0.14,0.06,,,,,,,0.03,,,,,,,,,,,,0.02,,,,,0.06,0.02,0.08,,,,0.02,0.02,0.02,0.04,0.04,0.05,0.07,0.06,,,,,,,0.02,,0.13,,,,,,,,,,,,,,,,,,,,,0.02,0.04,,,,,,,,,,,,simul-47,simulation,Ex17_03_realTimecourse_simul-47,2022-11-16,1461.4765408153028,1955.7501087400485,87.96107413971842,60
49,,,,,,,,,0.02,0.02,,0.12,0.01,,,0.01,,,,0.06,,,,,,,,,,,,,,,,0.01,0.11,,0.01,0.02,,0.01,0.03,0.01,,0.02,0.02,,0.07,0.18,0.02,0.02,0.01,,,0.02,0.01,0.01,0.05,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,0.01,0.01,0.02,0.02,,,,simul-49,simulation,Ex17_03_realTimecourse_simul-49,2022-11-30,1499.1754004614922,1598.9371753126416,89.72343911982075,59.9999
51,,,,,,,,,0.03,0.02,,0.05,,,,,,,,0.05,,,,,,,,,,,,,,,,,0.11,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.04,0.27,0.02,0.02,0.02,0.02,0.04,0.02,0.05,0.01,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-51,simulation,Ex17_03_realTimecourse_simul-51,2022-12-14,1498.2944186202053,1805.3492619600333,90.8370397618968,60
