timepoint,XBB.1.9,XBB.1.5,others,XBB.2.3,XBB.1.16,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,0.98,,0.02,,,Ex29_01_nearQual_simul-1,2023-01-02,1468.5,7093.61,7.56,60.0,simulation-1,simulation
16,0.98,,0.02,,,Ex29_01_nearQual_simul-16,2023-01-17,1483.68,11390.7,9.47,60.0,simulation-16,simulation
31,0.98,,0.02,,,Ex29_01_nearQual_simul-31,2023-02-01,1427.99,8101.95,11.25,60.0,simulation-31,simulation
46,0.98,,0.02,,,Ex29_01_nearQual_simul-46,2023-02-16,1452.34,10087.24,6.03,60.0,simulation-46,simulation
61,0.98,,0.02,,,Ex29_01_nearQual_simul-61,2023-03-03,1505.51,9736.16,6.01,60.0,simulation-61,simulation
77,0.97,0.01,0.02,,,Ex29_01_nearQual_simul-77,2023-03-19,1507.24,8423.45,8.65,60.0,simulation-77,simulation
92,0.82,0.16,0.02,,,Ex29_01_nearQual_simul-92,2023-04-03,1502.47,10230.71,10.88,60.0,simulation-92,simulation
107,0.2,0.78,0.02,,,Ex29_01_nearQual_simul-107,2023-04-18,1441.33,10978.97,8.41,60.0,simulation-107,simulation
122,0.01,0.97,0.02,,,Ex29_01_nearQual_simul-122,2023-05-03,1479.93,8855.93,9.44,60.0,simulation-122,simulation
137,,0.98,0.02,,,Ex29_01_nearQual_simul-137,2023-05-18,1496.08,14038.11,5.79,60.0,simulation-137,simulation
153,,0.98,0.02,,,Ex29_01_nearQual_simul-153,2023-06-03,1507.36,10963.44,6.46,60.0,simulation-153,simulation
168,,0.98,0.02,,,Ex29_01_nearQual_simul-168,2023-06-18,1502.75,7221.97,10.67,60.0,simulation-168,simulation
183,,0.93,0.02,0.05,,Ex29_01_nearQual_simul-183,2023-07-03,1496.98,8886.16,4.74,60.0,simulation-183,simulation
198,,0.49,0.02,0.49,,Ex29_01_nearQual_simul-198,2023-07-18,1503.8,7358.56,8.29,60.0,simulation-198,simulation
213,,0.05,0.02,0.93,,Ex29_01_nearQual_simul-213,2023-08-02,1502.55,8312.1,9.41,60.0,simulation-213,simulation
229,,,0.02,0.98,,Ex29_01_nearQual_simul-229,2023-08-18,1507.22,9756.07,7.09,60.0,simulation-229,simulation
244,,,0.02,0.98,,Ex29_01_nearQual_simul-244,2023-09-02,1512.91,9398.64,8.37,60.0,simulation-244,simulation
259,,,0.02,0.98,,Ex29_01_nearQual_simul-259,2023-09-17,1493.52,11365.19,13.51,60.0,simulation-259,simulation
274,,,0.03,0.97,,Ex29_01_nearQual_simul-274,2023-10-02,1417.33,10293.88,8.43,60.0,simulation-274,simulation
289,,,0.02,0.88,0.1,Ex29_01_nearQual_simul-289,2023-10-17,1493.99,7112.24,12.01,60.0,simulation-289,simulation
305,,,0.02,0.27,0.71,Ex29_01_nearQual_simul-305,2023-11-02,1489.52,14396.53,6.22,60.0,simulation-305,simulation
320,,,0.02,0.02,0.96,Ex29_01_nearQual_simul-320,2023-11-17,1493.13,9155.09,7.93,60.0,simulation-320,simulation
335,,,0.02,,0.98,Ex29_01_nearQual_simul-335,2023-12-02,1505.59,11121.96,4.8,60.0,simulation-335,simulation
350,,,0.02,,0.98,Ex29_01_nearQual_simul-350,2023-12-17,1418.92,8647.37,6.32,60.0,simulation-350,simulation
366,,,0.02,,0.98,Ex29_01_nearQual_simul-366,2024-01-02,1482.2,8677.63,6.23,60.0,simulation-366,simulation
