timepoint,B.1.640.2,B.1.36.22,B.1.1.431,AY.121.1,A.29,P.1.7.1,P.1.16,P.1.1,P.1.14,P.1.12,P.3,P.1,B.1.1.7,B.1.1.47,Q.8,AY.46.4,Q.6,AY.71,Q.7,Q.1,B.1.1.163,B.1.36.8,Q.4,XBF.3,B.1.208,AY.23.2,AY.24,AY.106,AY.25,B.1.128,AY.11,B.1.190,AY.9,AY.38,AY.48,AY.47,B.1.617.2,AY.44,AY.6,AY.4.1,AY.42,AY.57,AY.88,B.1.1.148,B.1.1.317,B.1.1.254,P.1.10,B.1.351,B.1.351.2,BA.5.2.7,B.1.564,B.1.1.377,B.1.1.506,B.1.452,AY.51,B.1.177.26,B.1.1.50,B.1.1.112,B.1.1.242,B.1.1.458,AY.79,AY.32,AY.55,AY.58,C.4,XBB.6,AY.20.1,others,sample_name,tool_name
274,,,,,,,0.06,,,0.12,0.01,0.54,,,,,,,,,,,,,,,,,,0.01,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,0.13,0.05,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,vlq_vd04ad36-289,vlq_vd04ad36
305,,,0.01,,,,0.23,,,,,0.03,,,,,,,,,,0.01,,,,0.01,,,,,,,,,0.02,0.02,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.63,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,,,,,,,,,,,0.2,,,,0.02,0.57,,,0.11,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.04,,,,,,,,0.01,,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,0.37,,,,,0.51,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,,,,,,,,,0.01,,0.02,,,0.03,,,,,,0.01,0.01,,,0.04,,0.01,,,0.02,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,0.17,,,0.08,,,0.01,0.55,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.08,,,,,,0.27,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.03,,,0.01,,,,,0.01,,,,,,,0.07,,,,,,,,,,,,,,,,,0.13,0.26,0.02,,,0.45,vlq_vd04ad36-366,vlq_vd04ad36
46,,,,,,,,,,,,,,,,,,,0.07,0.68,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.03,0.01,,,,,,,,0.2,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,0.02,,,,,,,,,0.03,,0.35,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,vlq_vd04ad36-61,vlq_vd04ad36
77,0.03,,,,,,,,,,,,,,,,0.01,,0.03,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-77,vlq_vd04ad36
92,,,,,,,,,,,,,0.25,,,,0.01,,,0.44,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,0.03,,,,,,,,,,,,,0.2,vlq_vd04ad36-92,vlq_vd04ad36
