timepoint,B.1.1.529,B.1.617.2,others,sample_name,tool_name
1,0.95,0.96,0.0,quaid_vaec47270-1,quaid_vaec47270
16,0.98,0.97,0.0,quaid_vaec47270-16,quaid_vaec47270
31,0.97,,0.03,quaid_vaec47270-31,quaid_vaec47270
46,0.53,,0.47,quaid_vaec47270-46,quaid_vaec47270
61,0.9,,0.1,quaid_vaec47270-61,quaid_vaec47270
77,0.41,,0.59,quaid_vaec47270-77,quaid_vaec47270
92,0.18,,0.82,quaid_vaec47270-92,quaid_vaec47270
107,0.49,,0.51,quaid_vaec47270-107,quaid_vaec47270
122,0.96,,0.04,quaid_vaec47270-122,quaid_vaec47270
168,0.97,,0.03,quaid_vaec47270-168,quaid_vaec47270
183,0.92,,0.08,quaid_vaec47270-183,quaid_vaec47270
198,0.48,,0.52,quaid_vaec47270-198,quaid_vaec47270
213,0.06,,0.94,quaid_vaec47270-213,quaid_vaec47270
274,0.36,,0.64,quaid_vaec47270-274,quaid_vaec47270
289,0.12,,0.88,quaid_vaec47270-289,quaid_vaec47270
305,0.68,,0.32,quaid_vaec47270-305,quaid_vaec47270
320,0.95,,0.05,quaid_vaec47270-320,quaid_vaec47270
335,1.0,,0.0,quaid_vaec47270-335,quaid_vaec47270
350,0.98,,0.02,quaid_vaec47270-350,quaid_vaec47270
366,1.0,,0.0,quaid_vaec47270-366,quaid_vaec47270
