timepoint,P.1,B.1.617.2,others,B.1.1.7,B.1.351,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,0.02,0.98,,simul-1,simulation,Ex13_03_WideQual_simul-1,2023-01-02,1505.2363642443902,2193.4106362227208,71.68845935190448,59.9997
16,,,0.02,0.98,,simul-16,simulation,Ex13_03_WideQual_simul-16,2023-01-17,1502.1189512757917,1940.9036203317357,68.10687890847072,59.9999
31,,,0.02,0.9776,0.0024,simul-31,simulation,Ex13_03_WideQual_simul-31,2023-02-01,1501.5460990536067,2890.2146273025355,67.38454335685383,60
46,,,0.02,0.9776,0.0024,simul-46,simulation,Ex13_03_WideQual_simul-46,2023-02-16,1505.708189813731,3100.833033410922,65.53857472494398,59.9999
61,,,0.02,0.9772,0.0028000000000000004,simul-61,simulation,Ex13_03_WideQual_simul-61,2023-03-03,1497.993713005384,2585.317825259034,62.05063037153463,60
77,,,0.02,0.968,0.012,simul-77,simulation,Ex13_03_WideQual_simul-77,2023-03-19,1496.463364879778,2644.7605266606383,70.61164431662374,59.9999
92,,,0.02,0.8155,0.16449999999999998,simul-92,simulation,Ex13_03_WideQual_simul-92,2023-04-03,1506.8758987392569,2599.9934441172895,67.24074507574491,59.9999
107,,,0.02,0.19579999999999997,0.7842,simul-107,simulation,Ex13_03_WideQual_simul-107,2023-04-18,1506.6087683510016,2764.6792594314866,60.88686753837408,60
122,,,0.02,0.012,0.968,simul-122,simulation,Ex13_03_WideQual_simul-122,2023-05-03,1503.121091529278,2780.891815881541,65.77600909607732,60
137,,,0.02,0.0006,0.9793999999999999,simul-137,simulation,Ex13_03_WideQual_simul-137,2023-05-18,1491.1227970437749,2471.2667885251067,68.89944152760593,59.9998
153,0.0001,,0.02,,0.9799,simul-153,simulation,Ex13_03_WideQual_simul-153,2023-06-03,1496.8541952312478,2485.4390576892774,65.76263251178811,59.9998
168,0.0024,,0.02,,0.9776,simul-168,simulation,Ex13_03_WideQual_simul-168,2023-06-18,1507.1152058321907,2982.1123650166687,70.62836504698525,59.9999
183,0.0458,,0.02,,0.9342,simul-183,simulation,Ex13_03_WideQual_simul-183,2023-07-03,1505.9466608701468,3115.7423526554144,61.32829481991774,60
198,0.48619999999999997,,0.02,,0.4938,simul-198,simulation,Ex13_03_WideQual_simul-198,2023-07-18,1497.735344279838,2614.3479535778933,69.95284754038056,59.9999
213,0.9328,,0.02,,0.0472,simul-213,simulation,Ex13_03_WideQual_simul-213,2023-08-02,1500.2090760124402,2423.8595054255716,69.14022004481156,59.9999
229,0.978,,0.02,,0.002,simul-229,simulation,Ex13_03_WideQual_simul-229,2023-08-18,1501.491020967796,2539.3137848517067,63.3113734407919,60
244,0.9799,,0.02,,0.0001,simul-244,simulation,Ex13_03_WideQual_simul-244,2023-09-02,1499.4343042504097,3118.558026271579,62.30812961910176,59.9999
259,0.9797,0.0003,0.02,,,simul-259,simulation,Ex13_03_WideQual_simul-259,2023-09-17,1504.0487242082734,2756.64930685367,62.5656288666689,60
274,0.9747,0.0053,0.02,,,simul-274,simulation,Ex13_03_WideQual_simul-274,2023-10-02,1500.6230478547302,2754.475039384513,65.6021135003177,59.9999
289,0.8835999999999999,0.0964,0.02,,,simul-289,simulation,Ex13_03_WideQual_simul-289,2023-10-17,1500.4024345383407,2844.4437536910336,64.45841554359095,59.9999
305,0.2666,0.7134,0.02,,,simul-305,simulation,Ex13_03_WideQual_simul-305,2023-11-02,1502.321639969234,2632.550897480704,58.42892017523326,59.9999
320,0.0179,0.9621,0.02,,,simul-320,simulation,Ex13_03_WideQual_simul-320,2023-11-17,1501.8016921379126,2516.103610300761,58.25836872554593,59.9999
335,0.0009,0.9791,0.02,,,simul-335,simulation,Ex13_03_WideQual_simul-335,2023-12-02,1498.4800521686786,2392.3214715986046,66.42811758017591,59.9999
350,,0.98,0.02,,,simul-350,simulation,Ex13_03_WideQual_simul-350,2023-12-17,1502.9563254522957,2589.0580209003215,63.007056148212556,59.9999
366,,0.98,0.02,,,simul-366,simulation,Ex13_03_WideQual_simul-366,2024-01-02,1502.1101227301608,2420.709674734819,64.43835066715714,59.9999
