timepoint,B.1.1.529,B.1.617.2,others,sample_name,tool_name
1,0.62,0.95,0.0,quaid_vaec47270-1,quaid_vaec47270
16,0.98,0.98,0.0,quaid_vaec47270-16,quaid_vaec47270
31,0.97,,0.03,quaid_vaec47270-31,quaid_vaec47270
46,0.1,,0.9,quaid_vaec47270-46,quaid_vaec47270
77,0.05,,0.95,quaid_vaec47270-77,quaid_vaec47270
92,0.49,,0.51,quaid_vaec47270-92,quaid_vaec47270
107,0.79,,0.21,quaid_vaec47270-107,quaid_vaec47270
122,0.96,,0.04,quaid_vaec47270-122,quaid_vaec47270
168,0.97,,0.03,quaid_vaec47270-168,quaid_vaec47270
183,0.88,,0.12,quaid_vaec47270-183,quaid_vaec47270
198,0.53,,0.47,quaid_vaec47270-198,quaid_vaec47270
213,0.05,,0.95,quaid_vaec47270-213,quaid_vaec47270
305,0.71,,0.29,quaid_vaec47270-305,quaid_vaec47270
350,1.0,,0.0,quaid_vaec47270-350,quaid_vaec47270
