timepoint,XBB.1.9,XBB.1.5,others,XBB.2.3,XBB.1.16,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,0.98,,0.02,,,Ex23_01_nearQual_simul-1,2023-01-02,1468.72,1166.22,93.36,60.0,simulation-1,simulation
16,0.98,,0.02,,,Ex23_01_nearQual_simul-16,2023-01-17,1475.68,1208.16,95.21,60.0,simulation-16,simulation
31,0.98,,0.02,,,Ex23_01_nearQual_simul-31,2023-02-01,1479.95,1233.18,94.27,60.0,simulation-31,simulation
46,0.98,,0.02,,,Ex23_01_nearQual_simul-46,2023-02-16,1460.7,1196.63,96.96,60.0,simulation-46,simulation
61,0.98,,0.02,,,Ex23_01_nearQual_simul-61,2023-03-03,1477.8,1298.29,97.26,60.0,simulation-61,simulation
77,0.97,0.01,0.02,,,Ex23_01_nearQual_simul-77,2023-03-19,1451.17,1416.07,94.49,60.0,simulation-77,simulation
92,0.82,0.16,0.02,,,Ex23_01_nearQual_simul-92,2023-04-03,1450.87,1247.74,96.97,60.0,simulation-92,simulation
107,0.2,0.78,0.02,,,Ex23_01_nearQual_simul-107,2023-04-18,1462.54,1198.8,94.41,60.0,simulation-107,simulation
122,0.01,0.97,0.02,,,Ex23_01_nearQual_simul-122,2023-05-03,1453.33,1396.04,97.39,60.0,simulation-122,simulation
137,,0.98,0.02,,,Ex23_01_nearQual_simul-137,2023-05-18,1458.21,1282.59,97.51,60.0,simulation-137,simulation
153,,0.98,0.02,,,Ex23_01_nearQual_simul-153,2023-06-03,1454.79,1218.33,95.73,60.0,simulation-153,simulation
168,,0.98,0.02,,,Ex23_01_nearQual_simul-168,2023-06-18,1469.72,1321.11,95.3,60.0,simulation-168,simulation
183,,0.93,0.02,0.05,,Ex23_01_nearQual_simul-183,2023-07-03,1484.88,1137.34,94.26,60.0,simulation-183,simulation
198,,0.49,0.02,0.49,,Ex23_01_nearQual_simul-198,2023-07-18,1469.97,1240.02,95.78,60.0,simulation-198,simulation
213,,0.05,0.02,0.93,,Ex23_01_nearQual_simul-213,2023-08-02,1471.17,1165.88,95.21,60.0,simulation-213,simulation
229,,,0.02,0.98,,Ex23_01_nearQual_simul-229,2023-08-18,1466.61,1396.34,96.38,60.0,simulation-229,simulation
244,,,0.02,0.98,,Ex23_01_nearQual_simul-244,2023-09-02,1481.31,1130.69,95.43,60.0,simulation-244,simulation
259,,,0.02,0.98,,Ex23_01_nearQual_simul-259,2023-09-17,1474.15,1152.27,94.15,60.0,simulation-259,simulation
274,,,0.03,0.97,,Ex23_01_nearQual_simul-274,2023-10-02,1479.22,1187.44,94.01,60.0,simulation-274,simulation
289,,,0.02,0.88,0.1,Ex23_01_nearQual_simul-289,2023-10-17,1475.2,1278.79,96.87,60.0,simulation-289,simulation
305,,,0.02,0.27,0.71,Ex23_01_nearQual_simul-305,2023-11-02,1479.19,1167.26,96.19,60.0,simulation-305,simulation
320,,,0.02,0.02,0.96,Ex23_01_nearQual_simul-320,2023-11-17,1472.87,1201.37,95.74,60.0,simulation-320,simulation
335,,,0.02,,0.98,Ex23_01_nearQual_simul-335,2023-12-02,1478.49,1150.87,96.54,60.0,simulation-335,simulation
350,,,0.02,,0.98,Ex23_01_nearQual_simul-350,2023-12-17,1476.72,1074.13,96.16,60.0,simulation-350,simulation
366,,,0.02,,0.98,Ex23_01_nearQual_simul-366,2024-01-02,1473.99,1257.16,95.76,60.0,simulation-366,simulation
