timepoint,XBB,XBB.1,XBB.1.16,XBB.1.5,XBB.2.3,others,sample_name,tool_name
16,0.17,0.33,,0.5,,0.0,vaquero_v24d9211-16,vaquero_v24d9211
31,0.24,0.25,,0.5,,0.0,vaquero_v24d9211-31,vaquero_v24d9211
46,0.17,0.33,,0.5,,0.0,vaquero_v24d9211-46,vaquero_v24d9211
61,0.24,0.25,,0.51,,0.0,vaquero_v24d9211-61,vaquero_v24d9211
92,0.12,0.34,,0.55,,0.0,vaquero_v24d9211-92,vaquero_v24d9211
107,0.02,0.1,,0.87,,0.01,vaquero_v24d9211-107,vaquero_v24d9211
122,,,,0.97,,0.03,vaquero_v24d9211-122,vaquero_v24d9211
137,,0.02,,0.95,,0.03,vaquero_v24d9211-137,vaquero_v24d9211
153,,,,0.97,,0.03,vaquero_v24d9211-153,vaquero_v24d9211
183,0.04,,,0.93,,0.03,vaquero_v24d9211-183,vaquero_v24d9211
198,0.48,,,,0.49,0.03,vaquero_v24d9211-198,vaquero_v24d9211
213,0.05,,,,0.93,0.03,vaquero_v24d9211-213,vaquero_v24d9211
229,,,,,0.97,0.03,vaquero_v24d9211-229,vaquero_v24d9211
244,,,,,0.97,0.03,vaquero_v24d9211-244,vaquero_v24d9211
259,,,,,0.97,0.03,vaquero_v24d9211-259,vaquero_v24d9211
274,,,,,0.97,0.03,vaquero_v24d9211-274,vaquero_v24d9211
289,0.1,,,,0.88,0.03,vaquero_v24d9211-289,vaquero_v24d9211
305,0.17,0.12,0.52,,0.19,0.0,vaquero_v24d9211-305,vaquero_v24d9211
320,0.26,0.25,0.5,,,0.0,vaquero_v24d9211-320,vaquero_v24d9211
335,0.16,0.33,0.51,,,0.0,vaquero_v24d9211-335,vaquero_v24d9211
350,0.16,0.33,0.51,,,0.0,vaquero_v24d9211-350,vaquero_v24d9211
366,0.16,0.32,0.52,,,0.0,vaquero_v24d9211-366,vaquero_v24d9211
