timepoint,B.1.1.7,B.1.160,B.1.177,others,sample_name,tool_name
1,0.02,,,0.98,virpool_v763c212-1,virpool_v763c212
16,0.02,,,0.98,virpool_v763c212-16,virpool_v763c212
31,0.09,,0.08,0.83,virpool_v763c212-31,virpool_v763c212
46,0.08,,,0.92,virpool_v763c212-46,virpool_v763c212
61,0.08,,0.03,0.9,virpool_v763c212-61,virpool_v763c212
77,0.03,,,0.97,virpool_v763c212-77,virpool_v763c212
92,0.1,,,0.9,virpool_v763c212-92,virpool_v763c212
107,0.02,,,0.98,virpool_v763c212-107,virpool_v763c212
122,0.13,,,0.87,virpool_v763c212-122,virpool_v763c212
137,0.03,,,0.97,virpool_v763c212-137,virpool_v763c212
153,0.1,,,0.9,virpool_v763c212-153,virpool_v763c212
168,0.02,,,0.98,virpool_v763c212-168,virpool_v763c212
183,0.01,,,0.99,virpool_v763c212-183,virpool_v763c212
198,0.08,,,0.92,virpool_v763c212-198,virpool_v763c212
213,0.09,,,0.91,virpool_v763c212-213,virpool_v763c212
229,0.15,,,0.85,virpool_v763c212-229,virpool_v763c212
244,0.08,0.02,,0.9,virpool_v763c212-244,virpool_v763c212
259,,,0.02,0.98,virpool_v763c212-259,virpool_v763c212
274,0.03,,,0.97,virpool_v763c212-274,virpool_v763c212
289,0.1,,,0.9,virpool_v763c212-289,virpool_v763c212
305,,,0.05,0.95,virpool_v763c212-305,virpool_v763c212
320,0.07,,0.22,0.71,virpool_v763c212-320,virpool_v763c212
335,0.02,,0.05,0.92,virpool_v763c212-335,virpool_v763c212
350,0.13,,0.17,0.69,virpool_v763c212-350,virpool_v763c212
366,,,0.13,0.87,virpool_v763c212-366,virpool_v763c212
