timepoint,XBB.1.9,XBB.1.5,others,XBB.2.3,XBB.1.16,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,0.98,,0.02,,,Ex24_02_nearQual_simul-1,2023-01-02,1484.59,1664.55,89.1,60.0,simulation-1,simulation
16,0.98,,0.02,,,Ex24_02_nearQual_simul-16,2023-01-17,1485.9,1353.88,87.43,60.0,simulation-16,simulation
31,0.98,,0.02,,,Ex24_02_nearQual_simul-31,2023-02-01,1474.35,1489.97,90.27,60.0,simulation-31,simulation
46,0.98,,0.02,,,Ex24_02_nearQual_simul-46,2023-02-16,1475.08,1596.08,89.25,60.0,simulation-46,simulation
61,0.98,,0.02,,,Ex24_02_nearQual_simul-61,2023-03-03,1488.61,1745.98,89.88,60.0,simulation-61,simulation
77,0.97,0.01,0.02,,,Ex24_02_nearQual_simul-77,2023-03-19,1477.9,1499.42,92.1,60.0,simulation-77,simulation
92,0.82,0.16,0.02,,,Ex24_02_nearQual_simul-92,2023-04-03,1491.1,1532.34,90.08,60.0,simulation-92,simulation
107,0.2,0.78,0.02,,,Ex24_02_nearQual_simul-107,2023-04-18,1471.07,1486.5,89.75,60.0,simulation-107,simulation
122,0.01,0.97,0.02,,,Ex24_02_nearQual_simul-122,2023-05-03,1455.84,1538.64,89.0,60.0,simulation-122,simulation
137,,0.98,0.02,,,Ex24_02_nearQual_simul-137,2023-05-18,1485.8,1686.32,88.26,60.0,simulation-137,simulation
153,,0.98,0.02,,,Ex24_02_nearQual_simul-153,2023-06-03,1463.7,1783.36,86.36,60.0,simulation-153,simulation
168,,0.98,0.02,,,Ex24_02_nearQual_simul-168,2023-06-18,1466.69,1535.63,90.86,60.0,simulation-168,simulation
183,,0.93,0.02,0.05,,Ex24_02_nearQual_simul-183,2023-07-03,1465.91,1816.77,83.66,60.0,simulation-183,simulation
198,,0.49,0.02,0.49,,Ex24_02_nearQual_simul-198,2023-07-18,1454.24,1527.54,86.73,60.0,simulation-198,simulation
213,,0.05,0.02,0.93,,Ex24_02_nearQual_simul-213,2023-08-02,1444.0,1531.56,86.87,60.0,simulation-213,simulation
229,,,0.02,0.98,,Ex24_02_nearQual_simul-229,2023-08-18,1483.83,1425.79,90.68,60.0,simulation-229,simulation
244,,,0.02,0.98,,Ex24_02_nearQual_simul-244,2023-09-02,1497.01,1510.03,89.07,60.0,simulation-244,simulation
259,,,0.02,0.98,,Ex24_02_nearQual_simul-259,2023-09-17,1477.22,1361.66,91.98,60.0,simulation-259,simulation
274,,,0.03,0.97,,Ex24_02_nearQual_simul-274,2023-10-02,1481.96,1728.24,86.12,60.0,simulation-274,simulation
289,,,0.02,0.88,0.1,Ex24_02_nearQual_simul-289,2023-10-17,1474.62,1497.23,90.17,60.0,simulation-289,simulation
305,,,0.02,0.27,0.71,Ex24_02_nearQual_simul-305,2023-11-02,1462.94,1649.54,88.92,60.0,simulation-305,simulation
320,,,0.02,0.02,0.96,Ex24_02_nearQual_simul-320,2023-11-17,1491.89,1433.88,88.49,60.0,simulation-320,simulation
335,,,0.02,,0.98,Ex24_02_nearQual_simul-335,2023-12-02,1487.6,1554.12,89.01,60.0,simulation-335,simulation
350,,,0.02,,0.98,Ex24_02_nearQual_simul-350,2023-12-17,1504.32,1603.26,91.26,60.0,simulation-350,simulation
366,,,0.02,,0.98,Ex24_02_nearQual_simul-366,2024-01-02,1452.93,1542.98,89.26,60.0,simulation-366,simulation
