timepoint,B.1.351,P.1,others,B.1.617.2,B.1.1.7,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,0.02,,0.98,simul-1,simulation,Ex10_03_WideQual_simul-1,2023-01-02,1504.9184362772967,1487.482173195052,90.93736414406581,59.9999
16,,,0.02,,0.98,simul-16,simulation,Ex10_03_WideQual_simul-16,2023-01-17,1506.1674748353007,1745.0696802496727,86.44952011503862,59.9998
31,0.0024,,0.02,,0.9776,simul-31,simulation,Ex10_03_WideQual_simul-31,2023-02-01,1502.4990469183695,1544.0936186192725,89.16496672574658,59.9998
46,0.0024,,0.02,,0.9776,simul-46,simulation,Ex10_03_WideQual_simul-46,2023-02-16,1505.3649466608701,1501.6709435977864,90.18827542387051,59.9999
61,0.0028000000000000004,,0.02,,0.9772,simul-61,simulation,Ex10_03_WideQual_simul-61,2023-03-03,1503.0902585024915,1760.3135732140108,88.68340969133531,59.9999
77,0.012,,0.02,,0.968,simul-77,simulation,Ex10_03_WideQual_simul-77,2023-03-19,1502.5351302544896,1608.0831903278838,88.16172290405645,59.9999
92,0.16449999999999998,,0.02,,0.8155,simul-92,simulation,Ex10_03_WideQual_simul-92,2023-04-03,1502.6503360866802,1573.3179592951121,89.24857037755409,59.9999
107,0.7842,,0.02,,0.19579999999999997,simul-107,simulation,Ex10_03_WideQual_simul-107,2023-04-18,1500.497508611176,1554.9517727041903,87.58987392569307,59.9999
122,0.968,,0.02,,0.012,simul-122,simulation,Ex10_03_WideQual_simul-122,2023-05-03,1498.1958331939938,1621.0672392658948,92.81343009062635,59.9999
137,0.9793999999999999,,0.02,,0.0006,simul-137,simulation,Ex10_03_WideQual_simul-137,2023-05-18,1502.3968832558605,1449.0509975330726,91.05106511052404,59.9999
153,0.9799,0.0001,0.02,,,simul-153,simulation,Ex10_03_WideQual_simul-153,2023-06-03,1501.5204160117714,1603.2194418106417,87.82396415075411,59.9999
168,0.9776,0.0024,0.02,,,simul-168,simulation,Ex10_03_WideQual_simul-168,2023-06-18,1504.5997391566063,1628.502882310128,86.45286426111093,59.9999
183,0.9342,0.0458,0.02,,,simul-183,simulation,Ex10_03_WideQual_simul-183,2023-07-03,1501.9317125372036,1617.1001580486677,90.23843761495502,59.9999
198,0.4938,0.48619999999999997,0.02,,,simul-198,simulation,Ex10_03_WideQual_simul-198,2023-07-18,1502.5987693542454,1605.276140187806,90.14480152493061,59.9998
213,0.0472,0.9328,0.02,,,simul-213,simulation,Ex10_03_WideQual_simul-213,2023-08-02,1501.2292412132563,1654.4478914373892,90.94405243621041,59.9999
229,0.002,0.978,0.02,,,simul-229,simulation,Ex10_03_WideQual_simul-229,2023-08-18,1504.339363943417,1548.2404124560392,91.18817509948835,59.9999
244,0.0001,0.9799,0.02,,,simul-244,simulation,Ex10_03_WideQual_simul-244,2023-09-02,1505.2225529211116,1469.3695375457385,89.2619469618433,59.9999
259,,0.9797,0.02,0.0003,,simul-259,simulation,Ex10_03_WideQual_simul-259,2023-09-17,1503.8174765073738,1594.4893487629197,88.85061699495034,59.9999
274,,0.9747,0.02,0.0053,,simul-274,simulation,Ex10_03_WideQual_simul-274,2023-10-02,1504.1228639266963,1681.5606497938513,86.95114202588368,59.9999
289,,0.8835999999999999,0.02,0.0964,,simul-289,simulation,Ex10_03_WideQual_simul-289,2023-10-17,1500.8680734374477,1571.9289758728307,86.16526769889309,59.9999
305,,0.2666,0.02,0.7134,,simul-305,simulation,Ex10_03_WideQual_simul-305,2023-11-02,1499.2970939370632,1334.8323347657715,94.46543825034277,59.9999
320,,0.0179,0.02,0.9621,,simul-320,simulation,Ex10_03_WideQual_simul-320,2023-11-17,1503.3340133097013,1890.294132693538,89.75688058054376,59.9999
335,,0.0009,0.02,0.9791,,simul-335,simulation,Ex10_03_WideQual_simul-335,2023-12-02,1501.9500050162192,1367.5926894993988,91.90716650503295,59.9999
350,,,0.02,0.98,,simul-350,simulation,Ex10_03_WideQual_simul-350,2023-12-17,1498.3042169681971,1524.5829039728067,89.47931645654282,59.9999
366,,,0.02,0.98,,simul-366,simulation,Ex10_03_WideQual_simul-366,2024-01-02,1501.4658061064108,1583.8015427320142,93.29833127110993,60
