timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,0.26,,,,,0.74,virpool_v763c212-1,virpool_v763c212
3,,,,,,1.0,virpool_v763c212-3,virpool_v763c212
5,0.03,,,,,0.97,virpool_v763c212-5,virpool_v763c212
7,,,,,0.24,0.76,virpool_v763c212-7,virpool_v763c212
9,0.05,,,,,0.95,virpool_v763c212-9,virpool_v763c212
12,0.7,,0.06,,,0.24,virpool_v763c212-12,virpool_v763c212
14,0.02,,0.27,,0.25,0.46,virpool_v763c212-14,virpool_v763c212
16,,,,,,1.0,virpool_v763c212-16,virpool_v763c212
18,0.05,,,,,0.95,virpool_v763c212-18,virpool_v763c212
20,0.27,,,,,0.73,virpool_v763c212-20,virpool_v763c212
23,0.33,,,,,0.67,virpool_v763c212-23,virpool_v763c212
25,0.02,,,,,0.98,virpool_v763c212-25,virpool_v763c212
27,0.35,0.08,0.12,,0.01,0.43,virpool_v763c212-27,virpool_v763c212
29,,,,,,1.0,virpool_v763c212-29,virpool_v763c212
31,,,0.15,,,0.85,virpool_v763c212-31,virpool_v763c212
34,,,,,,1.0,virpool_v763c212-34,virpool_v763c212
36,,,,0.17,,0.83,virpool_v763c212-36,virpool_v763c212
38,0.19,,0.24,,0.06,0.51,virpool_v763c212-38,virpool_v763c212
40,,,,,,1.0,virpool_v763c212-40,virpool_v763c212
42,0.15,,,,,0.85,virpool_v763c212-42,virpool_v763c212
45,,,,,,1.0,virpool_v763c212-45,virpool_v763c212
47,0.01,,,,,0.99,virpool_v763c212-47,virpool_v763c212
49,0.32,,,,,0.68,virpool_v763c212-49,virpool_v763c212
51,,0.54,,,0.03,0.44,virpool_v763c212-51,virpool_v763c212
