timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,0.26,,,,,0.74,virpool-1,virpool
3,,,,,,1.0,virpool-3,virpool
5,0.03,,,,,0.97,virpool-5,virpool
7,,,,,0.24,0.76,virpool-7,virpool
9,0.05,,,,,0.95,virpool-9,virpool
12,0.7,,0.06,,,0.24,virpool-12,virpool
14,0.02,,0.27,,0.25,0.46,virpool-14,virpool
16,,,,,,1.0,virpool-16,virpool
18,0.05,,,,,0.95,virpool-18,virpool
20,0.27,,,,,0.73,virpool-20,virpool
23,0.33,,,,,0.67,virpool-23,virpool
25,0.02,,,,,0.98,virpool-25,virpool
27,0.35,0.08,0.12,,0.01,0.43,virpool-27,virpool
29,,,,,,1.0,virpool-29,virpool
31,,,0.15,,,0.85,virpool-31,virpool
34,,,,,,1.0,virpool-34,virpool
36,,,,0.17,,0.83,virpool-36,virpool
38,0.19,,0.24,,0.06,0.51,virpool-38,virpool
40,,,,,,1.0,virpool-40,virpool
42,0.15,,,,,0.85,virpool-42,virpool
45,,,,,,1.0,virpool-45,virpool
47,0.01,,,,,0.99,virpool-47,virpool
49,0.32,,,,,0.68,virpool-49,virpool
51,,0.54,,,0.03,0.44,virpool-51,virpool
