timepoint,XBB.1.5,XBB.2.3,others,XBB.1.16,XBB.1.9,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,,,0.02,,0.98,Ex28_01_nearQual_simul-1,2023-01-02,1477.72,3654.22,40.2,60.0,simulation-1,simulation
16,,,0.02,,0.98,Ex28_01_nearQual_simul-16,2023-01-17,1496.0,3777.93,38.59,60.0,simulation-16,simulation
31,,,0.02,,0.98,Ex28_01_nearQual_simul-31,2023-02-01,1340.34,4240.75,38.62,60.0,simulation-31,simulation
46,,,0.02,,0.98,Ex28_01_nearQual_simul-46,2023-02-16,1495.14,4288.15,44.39,60.0,simulation-46,simulation
61,,,0.02,,0.98,Ex28_01_nearQual_simul-61,2023-03-03,1502.98,4015.48,39.28,60.0,simulation-61,simulation
77,0.01,,0.02,,0.97,Ex28_01_nearQual_simul-77,2023-03-19,1503.52,3558.1,35.53,60.0,simulation-77,simulation
92,0.16,,0.02,,0.82,Ex28_01_nearQual_simul-92,2023-04-03,1488.4,3930.28,31.87,60.0,simulation-92,simulation
107,0.78,,0.02,,0.2,Ex28_01_nearQual_simul-107,2023-04-18,1436.89,3480.63,37.96,60.0,simulation-107,simulation
122,0.97,,0.02,,0.01,Ex28_01_nearQual_simul-122,2023-05-03,1492.36,5733.14,31.86,60.0,simulation-122,simulation
137,0.98,,0.02,,,Ex28_01_nearQual_simul-137,2023-05-18,1500.67,4455.43,35.39,60.0,simulation-137,simulation
153,0.98,,0.02,,,Ex28_01_nearQual_simul-153,2023-06-03,1462.0,3702.49,37.33,60.0,simulation-153,simulation
168,0.98,,0.02,,,Ex28_01_nearQual_simul-168,2023-06-18,1504.08,4911.1,39.86,60.0,simulation-168,simulation
183,0.93,0.05,0.02,,,Ex28_01_nearQual_simul-183,2023-07-03,1496.99,6025.46,32.24,60.0,simulation-183,simulation
198,0.49,0.49,0.02,,,Ex28_01_nearQual_simul-198,2023-07-18,1504.65,3967.83,42.76,60.0,simulation-198,simulation
213,0.05,0.93,0.02,,,Ex28_01_nearQual_simul-213,2023-08-02,1375.15,5388.43,31.97,60.0,simulation-213,simulation
229,,0.98,0.02,,,Ex28_01_nearQual_simul-229,2023-08-18,1445.04,3670.68,41.42,60.0,simulation-229,simulation
244,,0.98,0.02,,,Ex28_01_nearQual_simul-244,2023-09-02,1497.44,4159.06,38.08,60.0,simulation-244,simulation
259,,0.98,0.02,,,Ex28_01_nearQual_simul-259,2023-09-17,1412.37,3784.94,39.0,60.0,simulation-259,simulation
274,,0.97,0.03,,,Ex28_01_nearQual_simul-274,2023-10-02,1499.01,4289.19,41.72,60.0,simulation-274,simulation
289,,0.88,0.02,0.1,,Ex28_01_nearQual_simul-289,2023-10-17,1474.49,7369.92,30.23,60.0,simulation-289,simulation
305,,0.27,0.02,0.71,,Ex28_01_nearQual_simul-305,2023-11-02,1492.04,3579.6,40.66,60.0,simulation-305,simulation
320,,0.02,0.02,0.96,,Ex28_01_nearQual_simul-320,2023-11-17,1501.41,3743.32,37.09,60.0,simulation-320,simulation
335,,,0.02,0.98,,Ex28_01_nearQual_simul-335,2023-12-02,1496.32,5364.7,32.17,60.0,simulation-335,simulation
350,,,0.02,0.98,,Ex28_01_nearQual_simul-350,2023-12-17,1488.64,4456.6,39.46,60.0,simulation-350,simulation
366,,,0.02,0.98,,Ex28_01_nearQual_simul-366,2024-01-02,1426.73,5343.85,35.59,60.0,simulation-366,simulation
