timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,,,,,,1.0,virpool_v763c212-1,virpool_v763c212
16,,,,,,1.0,virpool_v763c212-16,virpool_v763c212
31,,,,,,1.0,virpool_v763c212-31,virpool_v763c212
46,0.26,,0.28,,,0.46,virpool_v763c212-46,virpool_v763c212
61,,,,,,1.0,virpool_v763c212-61,virpool_v763c212
77,,,,,,1.0,virpool_v763c212-77,virpool_v763c212
92,,,0.8,,0.17,0.03,virpool_v763c212-92,virpool_v763c212
107,0.01,0.21,,,,0.78,virpool_v763c212-107,virpool_v763c212
122,0.07,,0.92,0.01,,0.0,virpool_v763c212-122,virpool_v763c212
137,0.02,,0.32,,,0.65,virpool_v763c212-137,virpool_v763c212
153,0.28,0.07,,,,0.66,virpool_v763c212-153,virpool_v763c212
168,0.08,,0.53,0.05,,0.35,virpool_v763c212-168,virpool_v763c212
183,0.35,,,,,0.65,virpool_v763c212-183,virpool_v763c212
198,0.13,,0.11,,,0.75,virpool_v763c212-198,virpool_v763c212
213,0.32,0.2,,,,0.48,virpool_v763c212-213,virpool_v763c212
229,,,,,,1.0,virpool_v763c212-229,virpool_v763c212
244,,,,,,1.0,virpool_v763c212-244,virpool_v763c212
259,0.03,,,,,0.97,virpool_v763c212-259,virpool_v763c212
274,0.11,,0.06,,,0.83,virpool_v763c212-274,virpool_v763c212
289,0.07,0.28,,,,0.66,virpool_v763c212-289,virpool_v763c212
305,0.47,,,,,0.53,virpool_v763c212-305,virpool_v763c212
320,0.15,0.64,0.02,,,0.19,virpool_v763c212-320,virpool_v763c212
335,,,0.03,,0.51,0.46,virpool_v763c212-335,virpool_v763c212
350,0.31,0.19,0.09,,,0.41,virpool_v763c212-350,virpool_v763c212
366,,,,,,1.0,virpool_v763c212-366,virpool_v763c212
