timepoint,XBB.1.16,others,XBB.2.3,XBB.1.5,XBB.1.9,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,,0.02,,,0.98,Ex24_01_nearQual_simul-1,2023-01-02,1454.98,1871.44,90.01,60.0,simulation-1,simulation
16,,0.02,,,0.98,Ex24_01_nearQual_simul-16,2023-01-17,1470.04,1589.63,85.92,60.0,simulation-16,simulation
31,,0.02,,,0.98,Ex24_01_nearQual_simul-31,2023-02-01,1448.77,1390.09,90.15,60.0,simulation-31,simulation
46,,0.02,,,0.98,Ex24_01_nearQual_simul-46,2023-02-16,1475.38,1594.55,86.9,60.0,simulation-46,simulation
61,,0.02,,,0.98,Ex24_01_nearQual_simul-61,2023-03-03,1465.24,1653.0,87.38,60.0,simulation-61,simulation
77,,0.02,,0.01,0.97,Ex24_01_nearQual_simul-77,2023-03-19,1453.52,1567.75,85.72,60.0,simulation-77,simulation
92,,0.02,,0.16,0.82,Ex24_01_nearQual_simul-92,2023-04-03,1443.85,1789.79,90.76,60.0,simulation-92,simulation
107,,0.02,,0.78,0.2,Ex24_01_nearQual_simul-107,2023-04-18,1473.27,1489.93,88.17,60.0,simulation-107,simulation
122,,0.02,,0.97,0.01,Ex24_01_nearQual_simul-122,2023-05-03,1469.78,1695.43,86.82,60.0,simulation-122,simulation
137,,0.02,,0.98,,Ex24_01_nearQual_simul-137,2023-05-18,1452.8,1403.91,91.92,60.0,simulation-137,simulation
153,,0.02,,0.98,,Ex24_01_nearQual_simul-153,2023-06-03,1432.35,1705.06,86.52,60.0,simulation-153,simulation
168,,0.02,,0.98,,Ex24_01_nearQual_simul-168,2023-06-18,1483.48,1608.04,89.2,60.0,simulation-168,simulation
183,,0.02,0.05,0.93,,Ex24_01_nearQual_simul-183,2023-07-03,1453.93,1410.05,91.05,60.0,simulation-183,simulation
198,,0.02,0.49,0.49,,Ex24_01_nearQual_simul-198,2023-07-18,1473.68,1444.32,90.18,60.0,simulation-198,simulation
213,,0.02,0.93,0.05,,Ex24_01_nearQual_simul-213,2023-08-02,1475.19,1370.31,91.02,60.0,simulation-213,simulation
229,,0.02,0.98,,,Ex24_01_nearQual_simul-229,2023-08-18,1473.36,1908.85,89.15,60.0,simulation-229,simulation
244,,0.02,0.98,,,Ex24_01_nearQual_simul-244,2023-09-02,1474.43,1510.28,88.62,60.0,simulation-244,simulation
259,,0.02,0.98,,,Ex24_01_nearQual_simul-259,2023-09-17,1460.09,1662.98,88.63,60.0,simulation-259,simulation
274,,0.03,0.97,,,Ex24_01_nearQual_simul-274,2023-10-02,1454.45,1580.71,89.59,60.0,simulation-274,simulation
289,0.1,0.02,0.88,,,Ex24_01_nearQual_simul-289,2023-10-17,1452.1,1704.75,85.87,60.0,simulation-289,simulation
305,0.71,0.02,0.27,,,Ex24_01_nearQual_simul-305,2023-11-02,1474.49,1697.48,90.7,60.0,simulation-305,simulation
320,0.96,0.02,0.02,,,Ex24_01_nearQual_simul-320,2023-11-17,1467.55,1653.25,90.63,60.0,simulation-320,simulation
335,0.98,0.02,,,,Ex24_01_nearQual_simul-335,2023-12-02,1446.21,1540.87,93.73,60.0,simulation-335,simulation
350,0.98,0.02,,,,Ex24_01_nearQual_simul-350,2023-12-17,1481.77,1668.4,87.29,60.0,simulation-350,simulation
366,0.98,0.02,,,,Ex24_01_nearQual_simul-366,2024-01-02,1450.96,1540.34,88.98,60.0,simulation-366,simulation
