timepoint,XBB.1.5,XBB.2.3,others,XBB.1.9,XBB.1.16,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,,,0.02,0.98,,Ex26_03_nearQual_simul-1,2023-01-02,1458.46,1793.15,75.96,60.0,simulation-1,simulation
16,,,0.02,0.98,,Ex26_03_nearQual_simul-16,2023-01-17,1475.05,2076.93,75.43,60.0,simulation-16,simulation
31,,,0.02,0.98,,Ex26_03_nearQual_simul-31,2023-02-01,1488.47,2078.86,77.5,60.0,simulation-31,simulation
46,,,0.02,0.98,,Ex26_03_nearQual_simul-46,2023-02-16,1472.52,2225.96,74.94,60.0,simulation-46,simulation
61,,,0.02,0.98,,Ex26_03_nearQual_simul-61,2023-03-03,1492.15,2538.87,66.5,60.0,simulation-61,simulation
77,0.01,,0.02,0.97,,Ex26_03_nearQual_simul-77,2023-03-19,1484.72,2188.34,76.06,60.0,simulation-77,simulation
92,0.16,,0.02,0.82,,Ex26_03_nearQual_simul-92,2023-04-03,1444.79,2402.72,70.88,60.0,simulation-92,simulation
107,0.78,,0.02,0.2,,Ex26_03_nearQual_simul-107,2023-04-18,1443.1,2299.91,73.89,60.0,simulation-107,simulation
122,0.97,,0.02,0.01,,Ex26_03_nearQual_simul-122,2023-05-03,1414.4,2272.39,71.43,60.0,simulation-122,simulation
137,0.98,,0.02,,,Ex26_03_nearQual_simul-137,2023-05-18,1446.32,1971.62,73.62,60.0,simulation-137,simulation
153,0.98,,0.02,,,Ex26_03_nearQual_simul-153,2023-06-03,1487.24,2430.21,67.68,60.0,simulation-153,simulation
168,0.98,,0.02,,,Ex26_03_nearQual_simul-168,2023-06-18,1474.7,2290.16,72.57,60.0,simulation-168,simulation
183,0.93,0.05,0.02,,,Ex26_03_nearQual_simul-183,2023-07-03,1465.28,2012.03,72.03,60.0,simulation-183,simulation
198,0.49,0.49,0.02,,,Ex26_03_nearQual_simul-198,2023-07-18,1447.18,2328.13,68.27,60.0,simulation-198,simulation
213,0.05,0.93,0.02,,,Ex26_03_nearQual_simul-213,2023-08-02,1478.61,2140.72,76.69,60.0,simulation-213,simulation
229,,0.98,0.02,,,Ex26_03_nearQual_simul-229,2023-08-18,1492.38,2267.17,73.94,60.0,simulation-229,simulation
244,,0.98,0.02,,,Ex26_03_nearQual_simul-244,2023-09-02,1469.44,2205.46,74.71,60.0,simulation-244,simulation
259,,0.98,0.02,,,Ex26_03_nearQual_simul-259,2023-09-17,1459.64,2064.74,73.3,60.0,simulation-259,simulation
274,,0.97,0.03,,,Ex26_03_nearQual_simul-274,2023-10-02,1463.69,2390.74,69.24,60.0,simulation-274,simulation
289,,0.88,0.02,,0.1,Ex26_03_nearQual_simul-289,2023-10-17,1435.99,2173.39,70.89,60.0,simulation-289,simulation
305,,0.27,0.02,,0.71,Ex26_03_nearQual_simul-305,2023-11-02,1466.92,2280.6,72.9,60.0,simulation-305,simulation
320,,0.02,0.02,,0.96,Ex26_03_nearQual_simul-320,2023-11-17,1464.16,2306.8,70.15,60.0,simulation-320,simulation
335,,,0.02,,0.98,Ex26_03_nearQual_simul-335,2023-12-02,1430.93,2058.48,73.17,60.0,simulation-335,simulation
350,,,0.02,,0.98,Ex26_03_nearQual_simul-350,2023-12-17,1487.99,2462.1,73.81,60.0,simulation-350,simulation
366,,,0.02,,0.98,Ex26_03_nearQual_simul-366,2024-01-02,1488.24,2306.25,72.48,60.0,simulation-366,simulation
