timepoint,B.1.1.529,others,sample_name,tool_name
1,0.98,0.02,quaid_vaec47270-1,quaid_vaec47270
16,0.55,0.45,quaid_vaec47270-16,quaid_vaec47270
46,0.97,0.03,quaid_vaec47270-46,quaid_vaec47270
61,0.97,0.03,quaid_vaec47270-61,quaid_vaec47270
77,0.53,0.47,quaid_vaec47270-77,quaid_vaec47270
92,0.97,0.03,quaid_vaec47270-92,quaid_vaec47270
122,0.99,0.01,quaid_vaec47270-122,quaid_vaec47270
137,0.98,0.02,quaid_vaec47270-137,quaid_vaec47270
213,1.0,0.0,quaid_vaec47270-213,quaid_vaec47270
244,0.95,0.05,quaid_vaec47270-244,quaid_vaec47270
274,1.0,0.0,quaid_vaec47270-274,quaid_vaec47270
289,1.0,0.0,quaid_vaec47270-289,quaid_vaec47270
305,1.0,0.0,quaid_vaec47270-305,quaid_vaec47270
366,0.97,0.03,quaid_vaec47270-366,quaid_vaec47270
