timepoint,XBB.1.9,XBB.1.5,others,XBB.2.3,XBB.1.16,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,0.98,,0.02,,,Ex27_03_nearQual_simul-1,2023-01-02,1489.08,2673.2,58.64,60.0,simulation-1,simulation
16,0.98,,0.02,,,Ex27_03_nearQual_simul-16,2023-01-17,1491.06,2724.51,61.91,60.0,simulation-16,simulation
31,0.98,,0.02,,,Ex27_03_nearQual_simul-31,2023-02-01,1496.14,2636.87,59.08,60.0,simulation-31,simulation
46,0.98,,0.02,,,Ex27_03_nearQual_simul-46,2023-02-16,1449.4,3561.95,61.87,60.0,simulation-46,simulation
61,0.98,,0.02,,,Ex27_03_nearQual_simul-61,2023-03-03,1500.66,3254.59,57.28,60.0,simulation-61,simulation
77,0.97,0.01,0.02,,,Ex27_03_nearQual_simul-77,2023-03-19,1433.75,2502.93,68.2,60.0,simulation-77,simulation
92,0.82,0.16,0.02,,,Ex27_03_nearQual_simul-92,2023-04-03,1503.1,2434.92,65.34,60.0,simulation-92,simulation
107,0.2,0.78,0.02,,,Ex27_03_nearQual_simul-107,2023-04-18,1441.67,2717.46,59.81,60.0,simulation-107,simulation
122,0.01,0.97,0.02,,,Ex27_03_nearQual_simul-122,2023-05-03,1454.6,3064.99,68.21,60.0,simulation-122,simulation
137,,0.98,0.02,,,Ex27_03_nearQual_simul-137,2023-05-18,1488.69,2693.87,60.19,60.0,simulation-137,simulation
153,,0.98,0.02,,,Ex27_03_nearQual_simul-153,2023-06-03,1490.85,2915.79,54.71,60.0,simulation-153,simulation
168,,0.98,0.02,,,Ex27_03_nearQual_simul-168,2023-06-18,1500.61,3082.72,68.9,60.0,simulation-168,simulation
183,,0.93,0.02,0.05,,Ex27_03_nearQual_simul-183,2023-07-03,1459.36,2916.16,63.51,60.0,simulation-183,simulation
198,,0.49,0.02,0.49,,Ex27_03_nearQual_simul-198,2023-07-18,1482.06,2938.58,66.77,60.0,simulation-198,simulation
213,,0.05,0.02,0.93,,Ex27_03_nearQual_simul-213,2023-08-02,1349.24,2779.11,59.13,60.0,simulation-213,simulation
229,,,0.02,0.98,,Ex27_03_nearQual_simul-229,2023-08-18,1494.96,2756.12,61.07,60.0,simulation-229,simulation
244,,,0.02,0.98,,Ex27_03_nearQual_simul-244,2023-09-02,1499.9,2315.41,63.52,60.0,simulation-244,simulation
259,,,0.02,0.98,,Ex27_03_nearQual_simul-259,2023-09-17,1497.79,2873.78,64.6,60.0,simulation-259,simulation
274,,,0.03,0.97,,Ex27_03_nearQual_simul-274,2023-10-02,1441.13,2226.13,65.95,60.0,simulation-274,simulation
289,,,0.02,0.88,0.1,Ex27_03_nearQual_simul-289,2023-10-17,1495.3,2307.14,68.21,60.0,simulation-289,simulation
305,,,0.02,0.27,0.71,Ex27_03_nearQual_simul-305,2023-11-02,1484.52,2690.7,60.41,60.0,simulation-305,simulation
320,,,0.02,0.02,0.96,Ex27_03_nearQual_simul-320,2023-11-17,1480.04,2737.99,59.87,60.0,simulation-320,simulation
335,,,0.02,,0.98,Ex27_03_nearQual_simul-335,2023-12-02,1452.02,3138.89,61.66,60.0,simulation-335,simulation
350,,,0.02,,0.98,Ex27_03_nearQual_simul-350,2023-12-17,1489.14,2379.6,66.96,60.0,simulation-350,simulation
366,,,0.02,,0.98,Ex27_03_nearQual_simul-366,2024-01-02,1501.91,2584.03,66.18,60.0,simulation-366,simulation
