timepoint,B.1.1.7,B.1.351,B.1.617.2,P.1,others,sample_name,tool_name
1,0.97,,,,0.03,vaquero_v24d9211-1,vaquero_v24d9211
31,0.97,,,,0.03,vaquero_v24d9211-31,vaquero_v24d9211
61,0.97,,,,0.03,vaquero_v24d9211-61,vaquero_v24d9211
92,0.81,,,,0.19,vaquero_v24d9211-92,vaquero_v24d9211
153,,0.97,,,0.03,vaquero_v24d9211-153,vaquero_v24d9211
198,,,,0.5,0.5,vaquero_v24d9211-198,vaquero_v24d9211
213,,,,0.93,0.07,vaquero_v24d9211-213,vaquero_v24d9211
229,,,,0.97,0.03,vaquero_v24d9211-229,vaquero_v24d9211
244,,,,0.97,0.03,vaquero_v24d9211-244,vaquero_v24d9211
274,,,,0.97,0.03,vaquero_v24d9211-274,vaquero_v24d9211
305,,,0.69,,0.31,vaquero_v24d9211-305,vaquero_v24d9211
320,,,0.93,,0.07,vaquero_v24d9211-320,vaquero_v24d9211
335,,,0.97,,0.03,vaquero_v24d9211-335,vaquero_v24d9211
350,,,0.97,,0.03,vaquero_v24d9211-350,vaquero_v24d9211
366,,,0.97,,0.03,vaquero_v24d9211-366,vaquero_v24d9211
