timepoint,B.1.351,P.1,others,B.1.617.2,B.1.1.7,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,0.02,,0.98,simul-1,simulation,Ex14_01_WideQual_simul-1,2023-01-02,1498.4429990301976,3957.91500556939,34.88947597231047,60
16,,,0.02,,0.98,simul-16,simulation,Ex14_01_WideQual_simul-16,2023-01-17,1506.1174464100593,3880.043076058956,42.60776510717988,60
31,0.0024,,0.02,,0.9776,simul-31,simulation,Ex14_01_WideQual_simul-31,2023-02-01,1501.4367120355816,4049.40268331416,44.88847272848878,60
46,0.0024,,0.02,,0.9776,simul-46,simulation,Ex14_01_WideQual_simul-46,2023-02-16,1495.8855298799451,4127.167862471553,32.565294452061664,59.9997
61,0.0028000000000000004,,0.02,,0.9772,simul-61,simulation,Ex14_01_WideQual_simul-61,2023-03-03,1502.9134200581882,3378.3274514025265,47.185901080159184,60
77,0.012,,0.02,,0.968,simul-77,simulation,Ex14_01_WideQual_simul-77,2023-03-19,1505.0896899976592,3626.777673501028,36.02314149082032,60
92,0.16449999999999998,,0.02,,0.8155,simul-92,simulation,Ex14_01_WideQual_simul-92,2023-04-03,1497.7602581680767,4630.623520509172,33.25418854295555,59.9999
107,0.7842,,0.02,,0.19579999999999997,simul-107,simulation,Ex14_01_WideQual_simul-107,2023-04-18,1499.9793331772732,5412.909104466849,36.31742634518276,59.9998
122,0.968,,0.02,,0.012,simul-122,simulation,Ex14_01_WideQual_simul-122,2023-05-03,1509.5376049225831,5734.238857863084,34.44136039862221,59.9998
137,0.9793999999999999,,0.02,,0.0006,simul-137,simulation,Ex14_01_WideQual_simul-137,2023-05-18,1502.2565628866669,3498.499508422967,48.32625489081363,60
153,0.9799,0.0001,0.02,,,simul-153,simulation,Ex14_01_WideQual_simul-153,2023-06-03,1502.2254957696553,3415.5208450126033,45.27639367287563,59.9998
168,0.9776,0.0024,0.02,,,simul-168,simulation,Ex14_01_WideQual_simul-168,2023-06-18,1503.2760592582683,5226.309820281779,35.377721298866334,59.9999
183,0.9342,0.0458,0.02,,,simul-183,simulation,Ex14_01_WideQual_simul-183,2023-07-03,1508.1194863391634,4234.632452736336,34.83596963515366,60
198,0.4938,0.48619999999999997,0.02,,,simul-198,simulation,Ex14_01_WideQual_simul-198,2023-07-18,1499.00046818045,4169.6682072635895,39.05293783232452,59.9998
213,0.0472,0.9328,0.02,,,simul-213,simulation,Ex14_01_WideQual_simul-213,2023-08-02,1507.9476975554292,4223.12337113566,37.79219476306725,60
229,0.002,0.978,0.02,,,simul-229,simulation,Ex14_01_WideQual_simul-229,2023-08-18,1499.9051265759288,4562.37361362443,42.186402702070026,59.9998
244,0.0001,0.9799,0.02,,,simul-244,simulation,Ex14_01_WideQual_simul-244,2023-09-02,1502.058555997726,5106.370135731942,35.795739557903886,60
259,,0.9797,0.02,0.0003,,simul-259,simulation,Ex14_01_WideQual_simul-259,2023-09-17,1504.2424505902418,4451.873551377907,33.5752265658964,59.9998
274,,0.9747,0.02,0.0053,,simul-274,simulation,Ex14_01_WideQual_simul-274,2023-10-02,1503.6064608902118,3341.062706974141,41.1965354646691,60
289,,0.8835999999999999,0.02,0.0964,,simul-289,simulation,Ex14_01_WideQual_simul-289,2023-10-17,1504.471925893723,5655.861038848925,34.016653847440054,60
305,,0.2666,0.02,0.7134,,simul-305,simulation,Ex14_01_WideQual_simul-305,2023-11-02,1512.076413737752,4748.344770218941,39.487676821723575,59.9999
320,,0.0179,0.02,0.9621,,simul-320,simulation,Ex14_01_WideQual_simul-320,2023-11-17,1500.2198107213324,4174.977171745471,36.99963214393205,60
335,,0.0009,0.02,0.9791,,simul-335,simulation,Ex14_01_WideQual_simul-335,2023-12-02,1505.2378691101228,3384.027164500627,47.898204193559174,59.9999
350,,,0.02,0.98,,simul-350,simulation,Ex14_01_WideQual_simul-350,2023-12-17,1497.4925592749892,4371.871511891715,35.518175433902954,59.9999
366,,,0.02,0.98,,simul-366,simulation,Ex14_01_WideQual_simul-366,2024-01-02,1500.3648797779488,4080.7926411447684,30.91997458448985,60
