timepoint,B.1.351,B.1.382,B.1.1.7,Q.1,P.1.10,B.1.170,B.1.337,P.1,P.1.11,P.1.14,P.1.7,P.1.4,B.1.94,B.1.617.2,P.1.17,P.1.1,B.4,P.1.16,P.1.12,AY.37,AY.71,AY.58,AY.38,AY.9,AY.24,AY.61,AY.55,AY.57,AY.56,AY.66,B.1.158,AY.48,B.1.210,others,sample_name,tool_name
1,,,0.48,0.48,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-1,freyja_v1.5.3
16,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-16,freyja_v1.5.3
31,,,0.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-31,freyja_v1.5.3
46,,,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-46,freyja_v1.5.3
61,,,0.48,0.48,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-61,freyja_v1.5.3
77,0.01,,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-77,freyja_v1.5.3
92,0.17,,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-92,freyja_v1.5.3
107,0.77,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.5.3-107,freyja_v1.5.3
122,0.97,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-122,freyja_v1.5.3
137,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,0.02,freyja_v1.5.3-137,freyja_v1.5.3
153,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-153,freyja_v1.5.3
168,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-168,freyja_v1.5.3
183,0.93,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-183,freyja_v1.5.3
198,0.47,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.5.3-198,freyja_v1.5.3
213,0.03,,,,0.46,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-213,freyja_v1.5.3
229,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-229,freyja_v1.5.3
244,,,,,0.32,,,,,,,,,,0.32,0.32,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-244,freyja_v1.5.3
259,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-259,freyja_v1.5.3
274,,,,,0.16,,,,0.16,0.16,0.16,0.16,,,,,,0.16,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-274,freyja_v1.5.3
289,,,,,,,,,0.19,0.19,0.19,0.19,0.15,0.1,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.5.3-289,freyja_v1.5.3
305,,,,,,,,,,,,,,0.69,,,0.02,0.12,0.12,,,,,,,,,,,,,,,0.06,freyja_v1.5.3-305,freyja_v1.5.3
320,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,,,,,,0.04,freyja_v1.5.3-320,freyja_v1.5.3
335,,,,,,,,,,,,,,,,,,,,,,0.13,,,0.13,0.13,0.13,0.22,0.13,0.13,,,,0.03,freyja_v1.5.3-335,freyja_v1.5.3
350,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-350,freyja_v1.5.3
366,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.95,0.03,0.0,freyja_v1.5.3-366,freyja_v1.5.3
