timepoint,XBB.1.9,others,XBB.1.5,XBB.2.3,XBB.1.16,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,0.98,0.02,,,,Ex25_01_nearQual_simul-1,2023-01-02,1481.76,1605.38,86.17,60.0,simulation-1,simulation
16,0.98,0.02,,,,Ex25_01_nearQual_simul-16,2023-01-17,1421.46,1637.17,88.95,60.0,simulation-16,simulation
31,0.98,0.02,,,,Ex25_01_nearQual_simul-31,2023-02-01,1470.0,1834.28,84.42,60.0,simulation-31,simulation
46,0.98,0.02,,,,Ex25_01_nearQual_simul-46,2023-02-16,1469.3,1829.05,80.97,60.0,simulation-46,simulation
61,0.98,0.02,,,,Ex25_01_nearQual_simul-61,2023-03-03,1486.65,2274.16,83.3,60.0,simulation-61,simulation
77,0.97,0.02,0.01,,,Ex25_01_nearQual_simul-77,2023-03-19,1472.74,2068.72,80.82,60.0,simulation-77,simulation
92,0.82,0.02,0.16,,,Ex25_01_nearQual_simul-92,2023-04-03,1477.02,1674.04,84.9,60.0,simulation-92,simulation
107,0.2,0.02,0.78,,,Ex25_01_nearQual_simul-107,2023-04-18,1476.83,2045.9,84.28,60.0,simulation-107,simulation
122,0.01,0.02,0.97,,,Ex25_01_nearQual_simul-122,2023-05-03,1444.6,1757.75,81.21,60.0,simulation-122,simulation
137,,0.02,0.98,,,Ex25_01_nearQual_simul-137,2023-05-18,1475.4,1891.51,81.82,60.0,simulation-137,simulation
153,,0.02,0.98,,,Ex25_01_nearQual_simul-153,2023-06-03,1481.2,2170.9,82.7,60.0,simulation-153,simulation
168,,0.02,0.98,,,Ex25_01_nearQual_simul-168,2023-06-18,1462.95,1985.9,83.96,60.0,simulation-168,simulation
183,,0.02,0.93,0.05,,Ex25_01_nearQual_simul-183,2023-07-03,1491.71,1896.13,83.48,60.0,simulation-183,simulation
198,,0.02,0.49,0.49,,Ex25_01_nearQual_simul-198,2023-07-18,1465.67,1717.36,86.45,60.0,simulation-198,simulation
213,,0.02,0.05,0.93,,Ex25_01_nearQual_simul-213,2023-08-02,1491.52,1783.42,81.99,60.0,simulation-213,simulation
229,,0.02,,0.98,,Ex25_01_nearQual_simul-229,2023-08-18,1486.14,1552.59,87.82,60.0,simulation-229,simulation
244,,0.02,,0.98,,Ex25_01_nearQual_simul-244,2023-09-02,1449.11,1949.67,82.29,60.0,simulation-244,simulation
259,,0.02,,0.98,,Ex25_01_nearQual_simul-259,2023-09-17,1466.53,1794.4,83.43,60.0,simulation-259,simulation
274,,0.03,,0.97,,Ex25_01_nearQual_simul-274,2023-10-02,1481.18,1921.35,86.71,60.0,simulation-274,simulation
289,,0.02,,0.88,0.1,Ex25_01_nearQual_simul-289,2023-10-17,1470.54,2312.4,83.75,60.0,simulation-289,simulation
305,,0.02,,0.27,0.71,Ex25_01_nearQual_simul-305,2023-11-02,1484.4,1966.46,82.0,60.0,simulation-305,simulation
320,,0.02,,0.02,0.96,Ex25_01_nearQual_simul-320,2023-11-17,1460.97,1646.96,81.77,60.0,simulation-320,simulation
335,,0.02,,,0.98,Ex25_01_nearQual_simul-335,2023-12-02,1486.1,1784.05,84.55,60.0,simulation-335,simulation
350,,0.02,,,0.98,Ex25_01_nearQual_simul-350,2023-12-17,1497.87,1984.13,86.6,60.0,simulation-350,simulation
366,,0.02,,,0.98,Ex25_01_nearQual_simul-366,2024-01-02,1491.18,1925.78,82.96,60.0,simulation-366,simulation
