timepoint,BA.2,BA.2.75.1,BA.5,BA.5.1,BA.5.1.22,BA.5.1.23,BA.5.1.5,BA.5.2,BA.5.2.1,BA.5.2.20,BE.1,BE.1.1,BE.1.1.2,BF.14,BF.5,BF.7,BN.2,BA.1.1,BA.2.12.1,BA.2.3,BA.2.9,BA.4.1.2,BA.5.3,BA.2.56,BA.4,BA.1.1.1,B.1.1.529,BA.1,BA.4.1,BQ.1,BQ.1.1.23,XBF,AY.43,AY.46.6,B.1.617.2,BA.1.17,BA.1.17.2,BA.1.18,BA.1.20,BA.1.15,BA.2.13,BA.5.5,BE.1.4,BF.1,BA.4.6,BA.5.1.2,BA.5.2.26,BA.5.2.27,BA.5.2.3,BA.5.9,BM.1.1,BA.2.36,BA.2.3.20,BA.2.75.2,BA.2.75.5,BA.5.1.30,BA.5.2.58,BA.5.2.6,BM.1.1.3,BN.1,BR.3,BF.12,BF.11,BF.7.6,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1.1,BQ.1.5,CH.1.1,XBB.1,XBB.2,BA.5.1.3,BL.1,CM.5,BA.5.1.10,BF.11.3,BF.7.22,BF.7.24,BF.7.4,BF.7.5,BN.1.2,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,XBB,BF.7.9,BF.7.19,BQ.1.1.7,BQ.1.10,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,0.01,,0.28,0.17,0.01,0.01,,0.07,0.08,,0.01,0.09,,0.08,0.01,,,,0.01,,,,,0.03,0.02,,,,0.02,,,,,,,,,,,,0.02,0.01,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-29,simulation,Ex19_03_realTimecourse_simul-29,2022-07-13,1503.890011035682,2027.0424949197534,76.3067250777514,59.9999
31,0.06,0.02,0.03,0.22,0.01,0.01,,0.13,0.13,,0.02,0.1,0.02,0.14,0.02,0.02,,0.02,,,0.01,,,,,,,,0.01,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-31,simulation,Ex19_03_realTimecourse_simul-31,2022-07-27,1498.1793799953182,2568.769527644503,74.57445741229976,60
34,0.02,0.02,0.07,0.2,0.02,0.01,0.03,0.19,0.14,0.01,0.02,0.08,0.01,0.12,0.01,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-34,simulation,Ex19_03_realTimecourse_simul-34,2022-08-17,1504.1484466441493,2041.1830618594986,83.48326254890813,59.9999
36,0.02,,0.02,0.19,0.02,,,0.26,0.17,0.02,,0.06,0.02,0.12,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex19_03_realTimecourse_simul-36,2022-08-31,1501.3646791291844,2194.593363268955,75.78503829047253,59.9998
38,,0.02,0.02,0.18,,0.01,,0.26,0.1,0.02,0.01,0.05,0.01,0.13,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,0.01,0.02,0.01,0.01,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-38,simulation,Ex19_03_realTimecourse_simul-38,2022-09-14,1503.753703641775,1989.1388486497508,73.64478480420024,60
40,0.02,,0.01,0.17,,,0.01,0.21,0.1,0.02,,0.02,,0.03,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,,0.07,0.04,0.07,0.02,0.01,0.01,0.02,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-40,simulation,Ex19_03_realTimecourse_simul-40,2022-09-28,1501.1666722402435,1930.3311579838219,77.62766277631007,60
42,0.01,,0.02,0.09,,,,0.2,0.09,,,0.04,,0.06,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,0.03,,,0.14,,0.02,,0.01,0.02,0.03,0.08,0.01,,,,0.02,,,,,,,,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,simul-42,simulation,Ex19_03_realTimecourse_simul-42,2022-10-12,1497.8332274353743,2094.7452183916685,76.04253753803965,59.9999
45,,,,0.11,,,0.01,0.14,0.08,0.03,,,,0.09,0.03,0.1,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.01,,,0.02,,0.04,,,0.01,,,,,0.02,,0.02,,,0.01,0.02,0.03,0.02,0.01,0.05,0.02,0.02,0.05,0.01,,,,,,,,,,,,,,,,,,,,,simul-45,simulation,Ex19_03_realTimecourse_simul-45,2022-11-02,1498.1021302210481,2403.930530274284,76.91870380898239,59.9997
47,,,0.03,0.04,,,,0.14,0.06,0.02,,,,0.03,,0.06,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,0.08,,,0.02,,,,,,,,,,0.02,0.02,0.04,0.04,0.05,0.06,,0.02,0.13,,,,,,,,,,0.02,0.04,,,,,,,0.02,,,,simul-47,simulation,Ex19_03_realTimecourse_simul-47,2022-11-16,1497.9059960539075,2341.7190335299306,71.11995451961342,60
49,,,0.02,0.02,,,,0.12,0.01,,,0.01,,0.06,0.01,0.11,,,,,,,,,,,,,,0.07,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.01,0.02,0.01,,0.18,0.02,0.01,0.05,,,,,0.01,0.02,0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.01,,,,,simul-49,simulation,Ex19_03_realTimecourse_simul-49,2022-11-30,1499.8169414440022,2166.1607564488363,77.92863592281711,59.9999
51,,,0.03,0.02,,,,0.05,,,,,,0.05,,0.11,,,,,,,,,,,,,,0.04,,0.03,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,0.01,0.01,,0.01,0.27,0.02,0.05,0.03,,,,,,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,,,0.01,0.01,0.02,0.02,0.04,simul-51,simulation,Ex19_03_realTimecourse_simul-51,2022-12-14,1492.4645018894425,2091.132079782209,71.96267932983312,59.9999
