timepoint,P.1,B.1.617.2,others,B.1.1.7,B.1.351,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,0.02,0.98,,simul-1,simulation,Ex14_03_WideQual_simul-1,2023-01-02,1502.206567902886,3477.056415822026,37.69855867304284,59.9998
16,,,0.02,0.98,,simul-16,simulation,Ex14_03_WideQual_simul-16,2023-01-17,1492.3992910410327,3236.3383181097997,42.53084974751697,60
31,,,0.02,0.9776,0.0024,simul-31,simulation,Ex14_03_WideQual_simul-31,2023-02-01,1505.0801257398923,3800.443077789728,37.12002140253487,60
46,,,0.02,0.9776,0.0024,simul-46,simulation,Ex14_03_WideQual_simul-46,2023-02-16,1504.6981908169748,3680.307836384916,34.571782095441925,59.9999
61,,,0.02,0.9772,0.0028000000000000004,simul-61,simulation,Ex14_03_WideQual_simul-61,2023-03-03,1494.910677858409,3606.278569793102,40.290271879075675,59.9997
77,,,0.02,0.968,0.012,simul-77,simulation,Ex14_03_WideQual_simul-77,2023-03-19,1504.5278734575127,4560.1245245977725,34.3510684546701,59.9999
92,,,0.02,0.8155,0.16449999999999998,simul-92,simulation,Ex14_03_WideQual_simul-92,2023-04-03,1493.0731030331406,5093.028137759085,32.227535698759326,59.9997
107,,,0.02,0.19579999999999997,0.7842,simul-107,simulation,Ex14_03_WideQual_simul-107,2023-04-18,1501.9614754372471,3113.5690573926286,41.67474835300806,60
122,,,0.02,0.012,0.968,simul-122,simulation,Ex14_03_WideQual_simul-122,2023-05-03,1506.8409189713407,4409.728011770322,45.28308196502023,59.9998
137,,,0.02,0.0006,0.9793999999999999,simul-137,simulation,Ex14_03_WideQual_simul-137,2023-05-18,1508.605959268301,4784.162815976953,31.90315352974618,59.9996
153,0.0001,,0.02,,0.9799,simul-153,simulation,Ex14_03_WideQual_simul-153,2023-06-03,1501.9611410226398,5135.55408218851,32.94318295823162,59.9999
168,0.0024,,0.02,,0.9776,simul-168,simulation,Ex14_03_WideQual_simul-168,2023-06-18,1502.1604855700098,3901.3191773318795,39.75855265357991,59.9999
183,0.0458,,0.02,,0.9342,simul-183,simulation,Ex14_03_WideQual_simul-183,2023-07-03,1510.8269404407586,5186.800420014664,26.060930341437317,59.9999
198,0.48619999999999997,,0.02,,0.4938,simul-198,simulation,Ex14_03_WideQual_simul-198,2023-07-18,1504.4870414339698,4567.688460158292,44.79149249239207,59.9987
213,0.9328,,0.02,,0.0472,simul-213,simulation,Ex14_03_WideQual_simul-213,2023-08-02,1498.2640872153295,3644.1535239811406,44.21629936795639,60
229,0.978,,0.02,,0.002,simul-229,simulation,Ex14_03_WideQual_simul-229,2023-08-18,1500.076915359663,4409.172353824757,42.965588736916025,59.9998
244,0.9799,,0.02,,0.0001,simul-244,simulation,Ex14_03_WideQual_simul-244,2023-09-02,1498.498244323312,4397.5842439440585,33.608668026619405,60
259,0.9797,0.0003,0.02,,,simul-259,simulation,Ex14_03_WideQual_simul-259,2023-09-17,1498.7696217770792,4157.341101180809,33.789251914523625,59.9999
274,0.9747,0.0053,0.02,,,simul-274,simulation,Ex14_03_WideQual_simul-274,2023-10-02,1503.2553255526202,2953.0026543497265,43.289970905929174,59.9998
289,0.8835999999999999,0.0964,0.02,,,simul-289,simulation,Ex14_03_WideQual_simul-289,2023-10-17,1487.4931612212822,6980.919778294616,36.24719927766445,60
305,0.2666,0.7134,0.02,,,simul-305,simulation,Ex14_03_WideQual_simul-305,2023-11-02,1496.2200448115573,2954.548487191092,48.13898271076481,59.9999
320,0.0179,0.9621,0.02,,,simul-320,simulation,Ex14_03_WideQual_simul-320,2023-11-17,1502.1426612714442,4035.649766009303,41.9757214995151,59.9999
335,0.0009,0.9791,0.02,,,simul-335,simulation,Ex14_03_WideQual_simul-335,2023-12-02,1507.9948500150488,3350.5254937869545,37.74872086412734,59.9999
350,,0.98,0.02,,,simul-350,simulation,Ex14_03_WideQual_simul-350,2023-12-17,1502.0117045112531,4177.984967181072,34.64535330903254,60
366,,0.98,0.02,,,simul-366,simulation,Ex14_03_WideQual_simul-366,2024-01-02,1502.4514931612214,4502.687676532784,36.82573654817242,59.9997
