timepoint,B.1.398,B.1.36.22,B.1.1.431,AY.46.5,A.29,P.1.16,P.1.1,B.1.1.44,C.1,B.1.1.46,P.1.14,P.1.12,B.1.466.1,C.17,B.1.1.302,B.1.1.7,B.1.280,B.1.544,C.23,Q.8,B.1.640.2,AY.8,AY.75.2,B.1.575,B.1.1.317,AY.23.2,B.1.438,B.1.621.1,AY.24,AY.43.3,AY.26,AY.48,AY.53,AY.92,AY.4,AY.6,AY.4.1,AY.121.1,B.1.149,B.1.1.232,AY.88,AK.1,B.1.510,B.1.1.163,B.1.36.8,B.1.9.4,AY.50,B.1.1.1,B.1.399,B.1.568,B.1.1.147,B.1.282,B.1.1.411,AV.1,B.1.1.51,B.1.351,A.12,Q.6,AY.71,Q.7,Q.1,B.1.617.2,B.1.575.2,B.1.1.338,Q.2,B.1.177.84,B.1.218,Q.4,B.1.36.37,XBB.1.28,AY.74,B.1.406,AY.38,AZ.2,AY.122.1,AY.106,AY.66,AY.121,AY.59,AY.57,B.1.596.1,AY.11,B.1.1.351,AY.64,B.1.351.3,B.1.151,B.1.1.61,B.1,B.1.351.2,B.1.582,B.1.1.95,B.1.177.35,B.1.1.385,B.1.637,BA.5.6.1,AY.30,AY.47,AY.9.2,B.1.428.2,B.1.480,P.6,B.1.1.148,B.1.429,B.1.1.204,B.1.2,B.1.252,B.1.1.379,B.1.44,P.1.7.1,AK.2,B.1.531,B.1.491,B.1.1.294,BA.5.6.4,P.1.12.1,P.1.15,P.1.17,P.1.11,P.1,B.1.36.1,B.1.142,BA.4.6.2,XBB,BF.7.17,B.1.1.396,P.1.10,B.1.235,B.1.177.86,XAY.2.2,B.1.379,BA.2.53,AY.17,B.1.36.21,B.1.9.3,B.1.158,AA.2,B.1.588.1,B.1.452,AY.36.1,B.1.1.91,B.1.1.359,others,sample_name,tool_name
244,,,,,,0.43,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-244,vlq_vd04ad36
259,,0.01,0.01,,,0.02,,,0.02,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,0.26,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.19,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.14,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,0.53,0.05,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,0.05,0.02,,,0.07,,,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,0.01,,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.02,,,0.01,,,,,,,,,,,,,,,,,,0.04,,,,,,0.01,,,,,,,,,,,0.12,0.06,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,0.06,,,,,,,,,,0.46,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,,,,,,,,,0.01,0.01,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-31,vlq_vd04ad36
320,,,0.02,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,0.1,,,,,,,,,0.04,,0.02,0.01,0.01,0.02,0.02,0.02,,,,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.6,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.3,,,,,,,,,0.04,,,,,,,,0.03,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,0.01,,,,,,,0.01,,,0.01,,,,0.02,0.02,0.01,,,,0.07,,,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,vlq_vd04ad36-366,vlq_vd04ad36
46,,,0.02,,,,,,,,,,,,,0.1,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.46,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.6,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.02,0.75,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,vlq_vd04ad36-77,vlq_vd04ad36
92,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-92,vlq_vd04ad36
