timepoint,B.1.1.7,B.1.351,B.1.617.2,P.1,others,sample_name,tool_name
1,0.98,,,,0.02,vaquero_v24d9211_oldref-1,vaquero_v24d9211_oldref
16,0.97,,,,0.03,vaquero_v24d9211_oldref-16,vaquero_v24d9211_oldref
31,0.97,,,,0.03,vaquero_v24d9211_oldref-31,vaquero_v24d9211_oldref
46,0.98,,,,0.02,vaquero_v24d9211_oldref-46,vaquero_v24d9211_oldref
61,0.97,,,,0.03,vaquero_v24d9211_oldref-61,vaquero_v24d9211_oldref
77,0.97,,,,0.03,vaquero_v24d9211_oldref-77,vaquero_v24d9211_oldref
107,0.2,0.78,,,0.02,vaquero_v24d9211_oldref-107,vaquero_v24d9211_oldref
168,,0.97,,,0.03,vaquero_v24d9211_oldref-168,vaquero_v24d9211_oldref
183,,0.92,,,0.08,vaquero_v24d9211_oldref-183,vaquero_v24d9211_oldref
244,,,,0.98,0.02,vaquero_v24d9211_oldref-244,vaquero_v24d9211_oldref
305,,,0.72,0.26,0.02,vaquero_v24d9211_oldref-305,vaquero_v24d9211_oldref
335,,,0.96,,0.04,vaquero_v24d9211_oldref-335,vaquero_v24d9211_oldref
350,,,0.98,,0.02,vaquero_v24d9211_oldref-350,vaquero_v24d9211_oldref
366,,,0.97,,0.03,vaquero_v24d9211_oldref-366,vaquero_v24d9211_oldref
