timepoint,AY.43,AY.46.6,B.1.617.2,BA.1,BA.1.1,BA.1.17.2,BA.1.18,BA.1.20,BA.2,BA.1.1.1,BA.1.17,BA.2.3,BA.2.9,B.1.1.529,BA.2.75.1,BA.4.6,BA.5,BA.5.1,BA.5.1.2,BA.5.1.23,BA.5.2,BA.5.2.1,BA.5.2.20,BA.5.2.26,BA.5.2.27,BA.5.2.3,BA.5.9,BE.1,BE.1.1,BE.1.1.2,BE.1.4,BF.14,BF.5,BF.7,BM.1.1,BA.2.12.1,BA.2.3.20,BF.11,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,CH.1.1,XBB.1,BA.5.1.22,BA.5.1.5,BN.2,BA.1.15,BA.2.75.2,BA.2.75.5,BA.5.1.30,BA.5.2.58,BA.5.2.6,BM.1.1.3,BN.1,BR.3,BQ.1.5,XBB.2,BA.2.56,BA.4,BA.4.1,BA.5.5,BF.1,BF.12,BF.11.3,BF.7.19,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,XBB,XBF,BA.5.3,BA.4.1.2,BA.2.36,BA.5.1.3,BL.1,CM.5,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,BA.2.13,BQ.1.1.23,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,,,,,,,,,0.01,,,,,,,,0.28,0.17,,0.01,0.07,0.08,,,,,,0.01,0.09,,0.01,0.08,0.01,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.03,0.02,0.02,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,0.02,,simul-29,simulation,Ex16_02_realTimecourse_simul-29,2022-07-13,1501.994214627295,1141.7139516423229,94.15108851954653,59.9999
31,,,,,0.02,,,,0.06,,,,0.01,,0.02,,0.03,0.22,,0.01,0.13,0.13,,,,,,0.02,0.1,0.02,,0.14,0.02,0.02,,,,,,,,,,,,0.02,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01,simul-31,simulation,Ex16_02_realTimecourse_simul-31,2022-07-27,1471.2589037889175,1151.9822852478867,95.07072868942915,59.9999
34,,,,,,,,,0.02,,,,,,0.02,,0.07,0.2,,0.01,0.19,0.14,0.01,,,,,0.02,0.08,0.01,,0.12,0.01,0.03,,,,,,,,,,,,,,,,0.02,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-34,simulation,Ex16_02_realTimecourse_simul-34,2022-08-17,1500.983680567167,1085.0060094766752,97.6758184797512,59.9999
36,,,,,,,,,0.02,,,,,,,0.01,0.02,0.19,,,0.26,0.17,0.02,0.02,,0.03,,,0.06,0.02,,0.12,0.04,0.02,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex16_02_realTimecourse_simul-36,2022-08-31,1501.8642611109253,1167.7841224041465,95.80978497140755,59.9999
38,,,,,,,,,,,,,,,0.02,0.02,0.02,0.18,0.01,0.01,0.26,0.1,0.02,0.02,0.01,0.01,0.03,0.01,0.05,0.01,0.01,0.13,0.01,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-38,simulation,Ex16_02_realTimecourse_simul-38,2022-09-14,1503.778584088553,1277.8083513961085,97.58552653579909,59.9999
40,,,,,,,,,0.02,,,,,,,0.01,0.01,0.17,,,0.21,0.1,0.02,,,,0.02,,0.02,,,0.03,0.03,0.04,,,0.07,,,,,,,,,,,,,,0.01,,,0.04,0.07,0.02,0.01,0.01,0.02,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-40,simulation,Ex16_02_realTimecourse_simul-40,2022-09-28,1500.6493662843193,1169.7955794208015,96.37494565762633,59.9999
42,,,,,,,,,0.01,,,,,,,0.02,0.02,0.09,,,0.2,0.09,,,0.02,,0.03,,0.04,,,0.06,0.02,0.03,,,0.14,,,,,,0.02,,,,,,,,,,,,0.02,,0.01,0.02,0.03,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.01,,,,,,,,simul-42,simulation,Ex16_02_realTimecourse_simul-42,2022-10-12,1499.8127947028727,1148.5212213628588,97.39156606360567,59.9999
45,,,,,,,,,,,,,,,,0.01,,0.11,,,0.14,0.08,0.03,,0.02,,0.04,,,,,0.09,0.03,0.1,,,0.01,0.01,,0.02,,,0.03,0.02,0.01,0.03,0.05,0.02,0.05,,0.01,,,,,,,0.02,,0.02,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-45,simulation,Ex16_02_realTimecourse_simul-45,2022-11-02,1498.288064742668,1146.9894101501252,96.51205564659064,60
47,,,,,,,,,,,,,,,,,0.03,0.04,,,0.14,0.06,0.02,,,,0.08,,,,,0.03,,0.06,,,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.05,0.07,0.06,0.02,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex16_02_realTimecourse_simul-47,2022-11-16,1493.2635187104972,1119.4912554852933,98.87971106577935,59.9999
49,,,,,,,,,,,,,,,,,0.02,0.02,,,0.12,0.01,,,,,0.01,,0.01,,,0.06,0.01,0.11,,,,,0.03,0.01,,0.02,0.02,0.01,,0.07,0.18,0.01,0.05,,,,,,,,,,,,,0.02,,,,,,,,0.02,,0.01,0.02,0.02,0.01,,,0.01,0.01,,,,,,,0.01,0.01,0.01,0.02,0.02,,,simul-49,simulation,Ex16_02_realTimecourse_simul-49,2022-11-30,1496.770491255058,1294.496781788861,96.57559442196435,59.9999
51,,,,,,,,,,,,,,,,,0.03,0.02,,,0.05,,,,,,0.01,,,,,0.05,,0.11,,,0.02,,0.02,0.01,0.01,0.02,0.01,,0.01,0.04,0.27,0.05,0.03,,,,,,,,,,,,,0.02,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.01,0.03,,,,,,,,,,,,,,simul-51,simulation,Ex16_02_realTimecourse_simul-51,2022-12-14,1494.7189914055446,1128.7624368942184,96.88994415276059,59.9999
