timepoint,BA.2.3.20,BA.5,BA.5.1,BA.5.2,BA.5.2.1,BA.5.2.20,BA.5.9,BF.11,BF.14,BF.7,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,CH.1.1,XBB.1,BA.2.75.1,BA.4.6,BA.5.1.2,BA.5.1.23,BA.5.2.26,BA.5.2.27,BA.5.2.3,BE.1,BE.1.1,BE.1.1.2,BE.1.4,BF.5,BM.1.1,AY.43,AY.46.6,B.1.617.2,BA.1,BA.1.1,BA.1.17,BA.1.17.2,BA.1.18,BA.2,BA.2.12.1,BA.2.56,BA.2.9,BA.4,BA.4.1,BA.5.1.22,BA.5.3,BF.1,B.1.1.529,BA.1.1.1,BF.11.3,BF.7.19,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,XBB,XBF,BQ.1.1.23,BA.2.3,BA.1.15,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,BA.2.75.5,BA.5.1.3,BA.5.2.58,BA.5.2.6,BL.1,BM.1.1.3,BN.1,BR.3,CM.5,BA.2.36,BA.5.1.5,XBB.2,BA.4.1.2,BA.2.13,BA.5.5,BN.2,BF.12,BA.1.20,BA.2.75.2,BA.5.1.30,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,,0.28,0.17,0.07,0.08,,,,0.08,,,,,,,,,,,,,,,,0.01,,,,0.01,0.09,,0.01,0.01,,,,,,,,,,0.01,0.01,0.03,,0.02,0.02,0.01,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,simul-29,simulation,Ex17_02_realTimecourse_simul-29,2022-07-13,1501.4068822526167,1626.9440999071176,87.8105875664649,59.9999
31,,0.03,0.22,0.13,0.13,,,,0.14,0.02,,,,,,,,0.02,,,,0.02,,,0.01,,,,0.02,0.1,0.02,,0.02,,,,,,0.02,,,,0.06,,,0.01,,0.01,0.01,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-31,simulation,Ex17_02_realTimecourse_simul-31,2022-07-27,1500.9646189345551,1562.1204450198693,85.05166705681704,59.9999
34,,0.07,0.2,0.19,0.14,0.01,,,0.12,0.03,,,,,,,,,,,,0.02,,,0.01,,,,0.02,0.08,0.01,,0.01,,,,,,,,,,0.02,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.01,,,,,simul-34,simulation,Ex17_02_realTimecourse_simul-34,2022-08-17,1503.1623917332709,1387.232346226382,88.76366919707053,59.9999
36,,0.02,0.19,0.26,0.17,0.02,,,0.12,0.02,,,,,,,,,,,,,0.01,,,0.02,,0.03,,0.06,0.02,,0.04,,,,,,,,,,0.02,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex17_02_realTimecourse_simul-36,2022-08-31,1503.5447948366384,1616.557444726428,91.6697321338996,59.9997
38,,0.02,0.18,0.26,0.1,0.02,0.03,,0.13,0.03,,,,,,,,,,,,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-38,simulation,Ex17_02_realTimecourse_simul-38,2022-09-14,1501.5100491589474,1557.8475190274469,90.44911881750994,59.9999
40,0.07,0.01,0.17,0.21,0.1,0.02,0.02,,0.03,0.04,,,,,,,,,,,,,0.01,,,,,,,0.02,,,0.03,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.01,0.01,,0.02,0.04,0.01,,,0.01,,,,,,,,0.04,0.02,simul-40,simulation,Ex17_02_realTimecourse_simul-40,2022-09-28,1496.3774872086412,1475.7890287361936,87.37584857706585,59.9999
42,0.14,0.02,0.09,0.2,0.09,,0.03,,0.06,0.03,,,,,0.02,,,,,,,,0.02,,,,0.02,,,0.04,,,0.02,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,0.02,0.02,0.03,0.08,0.01,0.01,,,,,,,,,,,,simul-42,simulation,Ex17_02_realTimecourse_simul-42,2022-10-12,1496.8754640002676,1436.256148267952,94.7329699361268,59.9999
45,0.01,,0.11,0.14,0.08,0.03,0.04,0.01,0.09,0.1,,0.02,,,0.03,0.02,0.01,0.03,0.05,0.02,0.05,,0.01,,,,0.02,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.02,,,0.02,,,,0.01,0.01,,,,,,,,,simul-45,simulation,Ex17_02_realTimecourse_simul-45,2022-11-02,1492.4211951978061,1595.463223979748,85.59341872052971,60
47,0.02,0.03,0.04,0.14,0.06,0.02,0.08,0.02,0.03,0.06,0.02,0.02,0.02,0.04,0.04,0.04,0.05,0.07,0.06,0.02,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex17_02_realTimecourse_simul-47,2022-11-16,1493.2517473163227,1525.6889302498848,93.19131859679631,59.9999
49,,0.02,0.02,0.12,0.01,,0.01,,0.06,0.11,0.03,0.01,,0.02,0.02,0.01,,0.07,0.18,0.01,0.05,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,0.02,0.02,0.01,,,0.02,0.01,0.01,,,,0.01,0.01,0.01,0.02,0.02,,,,,,,,,,,,,,,,,,,,,simul-49,simulation,Ex17_02_realTimecourse_simul-49,2022-11-30,1499.759622780323,1679.083687940311,90.22171688459352,60
51,0.02,0.03,0.02,0.05,,,0.01,,0.05,0.11,0.02,0.01,0.01,0.02,0.01,,0.01,0.04,0.27,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-51,simulation,Ex17_02_realTimecourse_simul-51,2022-12-14,1500.8298832893022,1471.418933661125,90.38223589606395,59.9999
