timepoint,,A.23.1,AV.1,AY.4.2,B.1.1.318,B.1.1.529,B.1.1.7,B.1.525,B.1.617.2,B.1.617.3,B.1.621,B.1.623,BA.1,BA.2,BA.2.75,BA.2.86,BA.3,BA.4,BA.4.6,BA.5,C.36.3,C.37,CH.1.1,EG.5.1,JN.1,P.1,P.3,XBB,XBB.1.16,XBB.1.5,XD,XE,others,sample_name,tool_name
1,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,0.0,lollipop-1,lollipop
3,,,,,,0.74,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,0.0,lollipop-3,lollipop
5,,,,,0.25,,,,,,,,0.22,,,,0.02,,,,,,,,,,,,,,,0.51,0.0,lollipop-5,lollipop
7,,,,,,0.26,,,,,,,0.29,,,,,,,,,,,,,,,,,,0.45,,0.0,lollipop-7,lollipop
9,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.0,lollipop-9,lollipop
12,,,0.01,,0.03,0.85,0.03,,,,0.03,,,,,,,,,,,,,,,,,,,,0.03,,0.01,lollipop-12,lollipop
14,,,,,0.04,0.9,0.02,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,0.01,lollipop-14,lollipop
16,,,0.01,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.0,lollipop-16,lollipop
18,,,,,,0.96,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,0.0,lollipop-18,lollipop
20,,,,,,0.86,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,0.0,lollipop-20,lollipop
23,,,,,,0.66,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,0.0,lollipop-23,lollipop
25,,,,,,0.98,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.0,lollipop-25,lollipop
27,,,,,,0.82,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,0.0,lollipop-27,lollipop
29,,,,,0.06,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,lollipop-29,lollipop
31,,,,,,0.94,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,0.02,lollipop-31,lollipop
34,,,,,,0.95,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,0.0,lollipop-34,lollipop
36,,,,,,0.94,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.04,lollipop-36,lollipop
38,,,,,,0.91,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,0.0,lollipop-38,lollipop
40,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.09,0.03,0.04,lollipop-40,lollipop
42,,,,,,0.97,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.0,lollipop-42,lollipop
45,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,lollipop-45,lollipop
47,,,,,,,,,,,,,,,0.4,,,0.28,,0.28,,,,,,,,,,,0.02,,0.01,lollipop-47,lollipop
49,,,,,,0.98,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.0,lollipop-49,lollipop
51,,,,,,0.97,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.01,lollipop-51,lollipop
