timepoint,AV.1,B.1.1.7,B.1,B.1.1,B.1.1.318,B.1.177,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.427,B.1.525,P.1,B.1.526,B.1.617.1,C.37,P.3,P.2,others,sample_name,tool_name
1,,,,0.12,,,,0.17,,,0.65,,,,,,0.04,,,0.02,lcs-1,lcs
12,,,,0.04,0.15,,,0.1,0.69,,,,,0.01,,,,,,0.01,lcs-12,lcs
14,0.04,,,,,,,0.08,0.42,,,,,,,,0.02,0.42,,0.01,lcs-14,lcs
16,0.11,0.03,0.14,0.14,,,,0.16,,,,,0.03,,,0.17,,,0.14,0.09,lcs-16,lcs
18,,,0.21,0.21,,,,,,0.21,,0.21,,,,,,,,0.14,lcs-18,lcs
20,0.25,0.01,,,,,0.73,,,,,,,,,,,,,0.01,lcs-20,lcs
23,,,,0.41,,,0.02,0.31,,,,,,,,,0.25,,,0.01,lcs-23,lcs
25,,,0.08,0.08,0.02,0.08,,,0.02,,,,,,,,0.66,,,0.05,lcs-25,lcs
27,0.96,,,,,,,0.03,,,,,,,,,,,,0.01,lcs-27,lcs
29,0.09,,,,0.9,,,,,,,,,,,,,,,0.01,lcs-29,lcs
3,,0.39,,,,,,,,0.01,0.59,,,,,,,,,0.01,lcs-3,lcs
31,,,,,,,,,0.03,,0.96,,,,,,,,,0.01,lcs-31,lcs
34,,,,,,,,,,,0.93,,,,,,0.02,0.03,,0.02,lcs-34,lcs
36,0.01,0.98,,,,,,,,,,,,,,,,,,0.01,lcs-36,lcs
38,,,,,,,,,,,,,,,,,,0.99,,0.01,lcs-38,lcs
40,0.27,,,,,,0.27,,0.03,,,,,,,,0.27,0.17,,0.0,lcs-40,lcs
42,,,,0.3,0.02,,,,,,,,,,,,0.67,,,0.02,lcs-42,lcs
45,,,,,,,,,,,,0.02,,,,,0.96,,,0.01,lcs-45,lcs
47,,,0.11,0.11,,,0.13,0.13,,,0.12,,,,0.13,0.13,0.13,,,0.02,lcs-47,lcs
49,0.31,,0.05,0.05,,,,,0.06,,,,,,0.5,,,,,0.04,lcs-49,lcs
5,,0.02,,,0.52,,0.05,,,,0.02,,0.26,,,0.1,,0.03,,0.01,lcs-5,lcs
51,,,,,,,,,,,,0.01,,,0.02,,0.96,,,0.01,lcs-51,lcs
7,0.96,,,,,,,,0.03,,,,,,,,0.01,,,0.0,lcs-7,lcs
9,,,0.01,0.94,,,,,,,,,,,,,0.03,,,0.01,lcs-9,lcs
