timepoint,BA.2,BA.2.12.1,BA.2.56,BA.4,BA.4.1,BA.5,BA.5.1,BA.5.1.22,BA.5.2,BA.5.2.1,BA.5.5,BE.1,BE.1.1,BE.1.4,BF.1,BF.12,BF.14,BA.1.1,BA.1.1.1,BA.2.3,BA.2.9,BA.2.75.1,BA.4.6,BA.5.1.2,BA.5.1.23,BA.5.2.20,BA.5.2.26,BA.5.2.27,BA.5.2.3,BA.5.9,BE.1.1.2,BF.5,BF.7,BM.1.1,BA.4.1.2,BA.5.3,BA.5.1.5,BN.2,BA.2.3.20,BA.2.75.5,BA.5.1.3,BA.5.2.58,BA.5.2.6,BL.1,BM.1.1.3,BN.1,BN.1.3,BR.3,CM.5,AY.43,AY.46.6,B.1.617.2,BA.1,BA.1.17,BA.1.17.2,BA.1.18,BF.11,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,CH.1.1,XBB.1,B.1.1.529,BA.1.15,BA.5.1.10,BF.11.3,BF.7.22,BF.7.24,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,BQ.1.5,XBB,XBF,BA.1.20,XBB.2,BA.2.75.2,BA.5.1.30,BF.7.19,BQ.1.1.7,BQ.1.10,BA.2.36,BQ.1.1.23,BA.2.13,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,0.01,0.01,0.03,0.02,0.02,0.28,0.17,0.01,0.07,0.08,0.01,0.01,0.09,0.01,0.04,,0.08,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,simul-29,simulation,Ex22_02_realTimecourse_simul-29,2022-07-13,1502.096846470254,8896.368366215616,10.754773768518207,60
31,0.06,,,,0.01,0.03,0.22,0.01,0.13,0.13,,0.02,0.1,,,,0.14,0.02,,,0.01,0.02,,,0.01,,,,,,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.01,,simul-31,simulation,Ex22_02_realTimecourse_simul-31,2022-07-27,1507.0843393639434,12017.930962385231,8.270073236798984,60
34,0.02,,,,,0.07,0.2,0.02,0.19,0.14,,0.02,0.08,,,,0.12,,,,,0.02,,,0.01,0.01,,,,,0.01,0.01,0.03,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-34,simulation,Ex22_02_realTimecourse_simul-34,2022-08-17,1510.9729124168143,8554.513069935076,8.537604922583018,60
36,0.02,,,,,0.02,0.19,0.02,0.26,0.17,,,0.06,,,,0.12,,,,,,0.01,,,0.02,0.02,,0.03,,0.02,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex22_02_realTimecourse_simul-36,2022-08-31,1506.6369595023912,10519.341473855198,6.0495602447914925,60
38,,,,,,0.02,0.18,,0.26,0.1,,0.01,0.05,0.01,,,0.13,,,,,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-38,simulation,Ex22_02_realTimecourse_simul-38,2022-09-14,1492.2057653078286,11958.786648327872,7.347088920844063,60
40,0.02,,,,,0.01,0.17,,0.21,0.1,,,0.02,,,,0.03,,,,,,0.01,,,0.02,,,,0.02,,0.03,0.04,,,,0.01,,0.07,0.07,,0.01,0.01,,0.02,0.04,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,,,,,,,simul-40,simulation,Ex22_02_realTimecourse_simul-40,2022-09-28,1458.814567100291,10684.253445042708,3.922683342808414,60
42,0.01,,,,,0.02,0.09,,0.2,0.09,,,0.04,,,,0.06,,,,,,0.02,,,,,0.02,,0.03,,0.02,0.03,,,,,,0.14,0.02,0.01,0.01,0.02,0.02,0.03,0.08,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-42,simulation,Ex22_02_realTimecourse_simul-42,2022-10-12,1482.2050964786142,8129.091999321571,6.952479684312611,60
45,,,,,,,0.11,,0.14,0.08,,,,,,,0.09,,,,,,0.01,,,0.03,,0.02,,0.04,,0.03,0.1,,,,0.01,,0.01,,,,0.02,,,0.02,0.03,,,,,,,,,,0.01,,0.02,,,0.02,0.01,0.03,0.05,0.02,0.05,,,,,,,,,,,,,0.02,,,,0.01,,,,,,,,,simul-45,simulation,Ex22_02_realTimecourse_simul-45,2022-11-02,1490.9457245092465,9278.879455772081,9.146239507741697,60
47,,,,,,0.03,0.04,,0.14,0.06,,,,,,,0.03,,,,,,,,,0.02,,,,0.08,,,0.06,,,,,,0.02,,,,,,,,0.04,,,,,,,,,,0.02,0.02,0.02,0.02,0.04,0.04,0.05,0.07,0.06,0.02,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex22_02_realTimecourse_simul-47,2022-11-16,1512.4575126241514,9436.961467418152,7.597899876266595,60
49,,,,,,0.02,0.02,,0.12,0.01,,,0.01,,,,0.06,,,,,,,,,,,,,0.01,,0.01,0.11,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.03,0.01,,0.02,0.01,,0.07,0.18,0.01,0.05,,,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,simul-49,simulation,Ex22_02_realTimecourse_simul-49,2022-11-30,1505.9220813965153,7450.066386865248,8.510851754004616,60
51,,,,,,0.03,0.02,,0.05,,,,,,,,0.05,,,,,,,,,,,,,0.01,,,0.11,,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,0.02,0.01,0.01,0.02,,0.01,0.04,0.27,0.05,0.03,,,,0.02,,,0.02,0.02,0.02,0.02,,,0.02,0.01,0.03,,,,,0.02,0.02,0.04,,,,simul-51,simulation,Ex22_02_realTimecourse_simul-51,2022-12-14,1461.9551884426312,7419.233848166857,9.657893856803664,60
