timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,0.05,,0.07,,,0.87,virpool-1,virpool
3,,0.72,,,,0.28,virpool-3,virpool
5,,,,,,1.0,virpool-5,virpool
7,0.66,,,0.34,,0.0,virpool-7,virpool
9,0.85,,,,,0.15,virpool-9,virpool
12,,,,,,1.0,virpool-12,virpool
14,,,,,,1.0,virpool-14,virpool
16,,,,,,1.0,virpool-16,virpool
18,,,,,1.0,0.0,virpool-18,virpool
20,0.36,,0.24,,,0.4,virpool-20,virpool
23,,,0.04,,,0.96,virpool-23,virpool
25,,,,,,1.0,virpool-25,virpool
27,1.0,,,,,0.0,virpool-27,virpool
29,,1.0,,,,0.0,virpool-29,virpool
31,,,,,,1.0,virpool-31,virpool
34,,,,,,1.0,virpool-34,virpool
36,1.0,,,,,0.0,virpool-36,virpool
38,0.31,,0.44,,,0.25,virpool-38,virpool
40,,1.0,,,,0.0,virpool-40,virpool
42,0.01,,0.92,,,0.06,virpool-42,virpool
45,0.1,,0.08,,0.65,0.16,virpool-45,virpool
47,0.96,,0.04,,,0.0,virpool-47,virpool
49,,,,,,1.0,virpool-49,virpool
51,1.0,,,,,0.0,virpool-51,virpool
