timepoint,B.1.1.529,B.1.617.2,others,sample_name,tool_name
1,0.72,0.53,0.0,quaid_vaec47270-1,quaid_vaec47270
3,0.62,0.22,0.16,quaid_vaec47270-3,quaid_vaec47270
5,0.34,0.03,0.62,quaid_vaec47270-5,quaid_vaec47270
7,0.37,,0.63,quaid_vaec47270-7,quaid_vaec47270
9,0.56,,0.44,quaid_vaec47270-9,quaid_vaec47270
12,0.92,,0.08,quaid_vaec47270-12,quaid_vaec47270
14,0.22,,0.78,quaid_vaec47270-14,quaid_vaec47270
16,0.55,,0.45,quaid_vaec47270-16,quaid_vaec47270
18,0.38,,0.62,quaid_vaec47270-18,quaid_vaec47270
20,0.53,,0.47,quaid_vaec47270-20,quaid_vaec47270
23,0.63,,0.37,quaid_vaec47270-23,quaid_vaec47270
29,0.04,,0.96,quaid_vaec47270-29,quaid_vaec47270
31,0.03,,0.97,quaid_vaec47270-31,quaid_vaec47270
36,0.12,,0.88,quaid_vaec47270-36,quaid_vaec47270
42,0.03,,0.97,quaid_vaec47270-42,quaid_vaec47270
47,0.03,,0.97,quaid_vaec47270-47,quaid_vaec47270
