timepoint,BA.2,BA.2.3.20,BA.2.75.2,BA.2.75.5,BA.4.6,BA.5,BA.5.1,BA.5.1.30,BA.5.1.5,BA.5.2,BA.5.2.1,BA.5.2.20,BA.5.2.58,BA.5.2.6,BA.5.9,BE.1.1,BF.14,BF.5,BF.7,BM.1.1.3,BN.1,BR.3,B.1.1.529,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.1.18,BA.2.3,BA.2.9,BA.2.75.1,BA.4.1,BA.5.1.22,BA.5.1.23,BE.1,BE.1.1.2,BQ.1,BQ.1.1.23,XBF,BF.11,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1.1,CH.1.1,XBB.1,BA.5.1.3,BA.5.2.27,BL.1,CM.5,BA.2.12.1,BA.4.1.2,BA.5.3,BF.11.3,BF.7.19,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,XBB,BA.2.56,BA.4,BA.5.5,BE.1.4,BF.1,BF.12,B.1.617.2,AY.43,AY.46.6,BA.1.20,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,BA.2.13,XBB.2,BA.5.2.26,BA.5.2.3,BA.5.1.2,BM.1.1,BN.2,BA.2.36,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,0.01,,,,,0.28,0.17,,,0.07,0.08,,,,,0.09,0.08,0.01,,,,,,,,,,,,,,,,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.03,0.02,0.01,0.01,0.04,,,,,,,,,,,0.02,,,,,,,,simul-29,simulation,Ex19_02_realTimecourse_simul-29,2022-07-13,1503.2023208373741,2148.9568471546872,74.68815837875799,59.9998
31,0.06,,,,,0.03,0.22,,,0.13,0.13,,,,,0.1,0.14,0.02,0.02,,,,,,0.02,,,,,,,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-31,simulation,Ex19_02_realTimecourse_simul-31,2022-07-27,1500.0719325820153,2226.5445305963262,68.26739791994115,60
34,0.02,,,,,0.07,0.2,,0.03,0.19,0.14,0.01,,,,0.08,0.12,0.01,0.03,,,,,,,,,,,,,,0.02,,0.02,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,simul-34,simulation,Ex19_02_realTimecourse_simul-34,2022-08-17,1504.6100725679698,1980.1050634207961,77.83499983279269,60
36,0.02,,,,0.01,0.02,0.19,,,0.26,0.17,0.02,,,,0.06,0.12,0.04,0.02,,,,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,,,,,simul-36,simulation,Ex19_02_realTimecourse_simul-36,2022-08-31,1500.3527070862456,2354.255573828486,68.6854161789787,59.9999
38,,,,,0.02,0.02,0.18,,,0.26,0.1,0.02,,,0.03,0.05,0.13,0.01,0.03,,,,,,,,,,,,,,0.02,,,0.01,0.01,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.02,0.01,0.01,0.02,,,simul-38,simulation,Ex19_02_realTimecourse_simul-38,2022-09-14,1504.6704344045747,2609.53141009901,73.41069457913922,59.9999
40,0.02,0.07,0.04,0.07,0.01,0.01,0.17,0.02,0.01,0.21,0.1,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.02,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-40,simulation,Ex19_02_realTimecourse_simul-40,2022-09-28,1494.243621041367,2171.6841451185937,76.98224258435609,59.9999
42,0.01,0.14,,0.02,0.02,0.02,0.09,,,0.2,0.09,,0.01,0.02,0.03,0.04,0.06,0.02,0.03,0.03,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.01,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-42,simulation,Ex19_02_realTimecourse_simul-42,2022-10-12,1499.248470053172,2440.8690897942597,69.84583486606695,60
45,,0.01,,,0.01,,0.11,,0.01,0.14,0.08,0.03,,0.02,0.04,,0.09,0.03,0.1,,0.02,,,,,,,,,,,,,,,,,,0.03,,,0.01,,0.02,,,0.03,0.02,0.01,0.05,0.02,0.05,,0.02,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.01,,,,,,,simul-45,simulation,Ex19_02_realTimecourse_simul-45,2022-11-02,1495.3111059091061,2045.1262237602084,78.94860047486874,59.9999
47,,0.02,,,,0.03,0.04,,,0.14,0.06,0.02,,,0.08,,0.03,,0.06,,,,,,,,,,,,,,,,,,,,0.07,,,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.05,0.06,0.02,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex19_02_realTimecourse_simul-47,2022-11-16,1485.4569441193191,2240.6480438826766,72.75524194896833,60
49,,,,,,0.02,0.02,,,0.12,0.01,,,,0.01,0.01,0.06,0.01,0.11,,,,,,,,,,,,,,,,,,,,0.07,,0.01,,0.03,0.01,,0.02,0.02,0.01,,0.18,0.01,0.05,,,,,,,,0.02,,0.01,0.02,0.02,0.01,,,0.02,0.01,,,,,,,,,,,0.01,0.01,0.01,0.02,0.02,,,,,,,,,simul-49,simulation,Ex19_02_realTimecourse_simul-49,2022-11-30,1493.6930742734842,2022.980627520767,69.94950339430827,59.9999
51,,0.02,,,,0.03,0.02,,,0.05,,,,,0.01,,0.05,,0.11,,,,,,,,,,,,,,,,,,,,0.04,,0.03,,0.02,0.01,0.01,0.02,0.01,,0.01,0.27,0.05,0.03,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,simul-51,simulation,Ex19_02_realTimecourse_simul-51,2022-12-14,1493.0554793833394,2081.6403202956844,75.39377320001338,59.9998
