timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,,,0.04,,,0.96,virpool-1,virpool
3,,,,,,1.0,virpool-3,virpool
5,0.58,0.18,,,,0.24,virpool-5,virpool
7,0.11,,,,,0.89,virpool-7,virpool
9,,,,,,1.0,virpool-9,virpool
12,,,,,,1.0,virpool-12,virpool
14,,,,,,1.0,virpool-14,virpool
16,,,,,0.02,0.98,virpool-16,virpool
18,0.23,,,0.03,0.18,0.57,virpool-18,virpool
20,,,,,,1.0,virpool-20,virpool
23,,,,,,1.0,virpool-23,virpool
25,0.25,,,,,0.75,virpool-25,virpool
27,,,,,,1.0,virpool-27,virpool
29,0.03,,,0.58,,0.39,virpool-29,virpool
31,,,0.11,,,0.89,virpool-31,virpool
34,,,,,,1.0,virpool-34,virpool
36,,,,,0.13,0.87,virpool-36,virpool
38,0.67,,0.09,,0.11,0.13,virpool-38,virpool
40,,,,,,1.0,virpool-40,virpool
42,0.39,,,,,0.61,virpool-42,virpool
45,0.76,,,,,0.24,virpool-45,virpool
47,0.41,,,,0.02,0.57,virpool-47,virpool
49,0.04,,0.18,,0.08,0.69,virpool-49,virpool
51,,,,,,1.0,virpool-51,virpool
