timepoint,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.2,BA.2.3,BA.2.9,BA.2.3.20,BA.2.75.5,BA.4.6,BA.5,BA.5.1,BA.5.1.3,BA.5.2,BA.5.2.1,BA.5.2.27,BA.5.2.58,BA.5.2.6,BA.5.9,BE.1.1,BF.14,BF.5,BF.7,BL.1,BM.1.1.3,BN.1,BN.1.3,BR.3,CM.5,B.1.1.529,BA.2.12.1,BA.2.13,BA.2.56,BA.4,BA.4.1,BA.5.1.22,BA.5.1.23,BA.5.5,BE.1,BE.1.4,BF.1,BA.2.36,BA.5.3,BF.12,AY.43,AY.46.6,B.1.617.2,BA.1.18,BA.1.20,BA.5.2.20,BF.11,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,CH.1.1,XBB.1,BA.4.1.2,BA.2.75.2,BA.5.1.30,BA.5.1.5,BA.2.75.1,BE.1.1.2,BQ.1.1.23,XBF,BF.11.3,BF.7.19,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,XBB,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,XBB.2,BN.2,BA.5.2.26,BA.5.2.3,BA.5.1.2,BM.1.1,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,,,,,,,0.01,,,,,,0.28,0.17,,0.07,0.08,,,,,0.09,0.08,0.01,,,,,,,,,0.01,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-29,simulation,Ex21_02_realTimecourse_simul-29,2022-07-13,1504.9693676219777,4832.827392009895,42.39708390462496,60
31,,0.02,,,,,0.06,,0.01,,,,0.03,0.22,,0.13,0.13,,,,,0.1,0.14,0.02,0.02,,,,,,,,,,,,0.01,0.01,0.01,,0.02,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,simul-31,simulation,Ex21_02_realTimecourse_simul-31,2022-07-27,1495.564659064308,3532.703032148992,42.58101193860148,60
34,,,,,,,0.02,,,,,,0.07,0.2,,0.19,0.14,,,,,0.08,0.12,0.01,0.03,,,,,,,,,,,,,0.02,0.01,,0.02,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,,simul-34,simulation,Ex21_02_realTimecourse_simul-34,2022-08-17,1506.8216232485036,4006.100276779754,35.608467377855064,59.9999
36,,,,,,,0.02,,,,,0.01,0.02,0.19,,0.26,0.17,,,,,0.06,0.12,0.04,0.02,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,0.03,,,simul-36,simulation,Ex21_02_realTimecourse_simul-36,2022-08-31,1505.7208975688059,5735.950936869807,36.77223021101562,60
38,,,,,,,,,,,,0.02,0.02,0.18,,0.26,0.1,0.01,,,0.03,0.05,0.13,0.01,0.03,,,,,,,,,,,,,,0.01,,0.01,0.01,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,0.02,simul-38,simulation,Ex21_02_realTimecourse_simul-38,2022-09-14,1504.334548373073,4428.410320796742,41.440658127947025,59.9999
40,,,,,,,0.02,,,0.07,0.07,0.01,0.01,0.17,,0.21,0.1,,0.01,0.01,0.02,0.02,0.03,0.03,0.04,,0.02,0.04,,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.04,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,simul-40,simulation,Ex21_02_realTimecourse_simul-40,2022-09-28,1495.5509815068722,3928.807582945756,44.627629334849345,59.9999
42,,,,,,,0.01,,,0.14,0.02,0.02,0.02,0.09,0.01,0.2,0.09,0.02,0.01,0.02,0.03,0.04,0.06,0.02,0.03,0.02,0.03,0.08,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-42,simulation,Ex21_02_realTimecourse_simul-42,2022-10-12,1498.9410092632845,4042.830610226589,34.3343477243086,60
45,,,,,,,,,,0.01,,0.01,,0.11,,0.14,0.08,0.02,,0.02,0.04,,0.09,0.03,0.1,,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,0.02,,,0.02,0.01,0.03,0.05,0.02,0.05,,,,0.01,,,,,,,,,,,,,0.02,,,,,,,0.01,,,,,,simul-45,simulation,Ex21_02_realTimecourse_simul-45,2022-11-02,1499.5748252683677,4818.283081090129,31.769387686854163,60
47,,,,,,,,,,0.02,,,0.03,0.04,,0.14,0.06,,,,0.08,,0.03,,0.06,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.05,0.07,0.06,0.02,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex21_02_realTimecourse_simul-47,2022-11-16,1495.9238872353944,5145.81556648866,39.10978831555362,59.9999
49,,,,,,,,,,,,,0.02,0.02,,0.12,0.01,,,,0.01,0.01,0.06,0.01,0.11,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,0.02,0.01,,0.07,0.18,0.01,0.05,,,,,,,,0.01,0.02,,0.01,0.02,0.02,0.01,,,0.02,0.01,0.01,0.01,0.01,0.02,0.02,,,,,,,simul-49,simulation,Ex21_02_realTimecourse_simul-49,2022-11-30,1502.203424405578,3926.914253634774,37.74872086412734,60
51,,,,,,,,,,0.02,,,0.03,0.02,,0.05,,,,,0.01,,0.05,,0.11,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,0.02,,0.01,0.04,0.27,0.05,0.03,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.01,,,,,,,,,,,,simul-51,simulation,Ex21_02_realTimecourse_simul-51,2022-12-14,1498.3404340701602,3455.7270382170054,46.5572016185667,59.9998
