timepoint,XBB,XBB.1,XBB.1.16,XBB.1.5,XBB.2.3,others,sample_name,tool_name
16,0.24,0.24,,0.52,,0.0,vaquero_v24d9211-16,vaquero_v24d9211
31,0.25,0.24,,0.51,,0.0,vaquero_v24d9211-31,vaquero_v24d9211
122,,,,0.97,,0.03,vaquero_v24d9211-122,vaquero_v24d9211
198,,,,0.49,0.48,0.03,vaquero_v24d9211-198,vaquero_v24d9211
213,0.06,,,,0.92,0.03,vaquero_v24d9211-213,vaquero_v24d9211
229,,,,,0.97,0.03,vaquero_v24d9211-229,vaquero_v24d9211
244,,,,,0.97,0.03,vaquero_v24d9211-244,vaquero_v24d9211
259,0.01,,,,0.96,0.03,vaquero_v24d9211-259,vaquero_v24d9211
274,,,,,0.97,0.03,vaquero_v24d9211-274,vaquero_v24d9211
289,0.08,,,,0.89,0.03,vaquero_v24d9211-289,vaquero_v24d9211
305,,0.01,0.7,,0.26,0.03,vaquero_v24d9211-305,vaquero_v24d9211
320,0.17,0.33,0.5,,,0.0,vaquero_v24d9211-320,vaquero_v24d9211
335,0.15,0.3,0.55,,,0.0,vaquero_v24d9211-335,vaquero_v24d9211
350,0.16,0.34,0.5,,,0.0,vaquero_v24d9211-350,vaquero_v24d9211
366,0.16,0.33,0.51,,,0.0,vaquero_v24d9211-366,vaquero_v24d9211
