timepoint,A.23.1,B.1.1.7,B.1,B.1.1,B.1.1.318,B.1.177,B.1.617.3,B.1.623,B.1.351,B.1.617.2,B.1.427,P.1,B.1.526,B.1.617.1,C.37,P.3,P.2,others,sample_name,tool_name
1,,0.97,,,0.01,,,,,,,,,,,0.01,,0.0,lcs_vcfc2f02-1,lcs_vcfc2f02
107,,0.23,,,,,,,0.67,,,,0.1,,,,,0.0,lcs_vcfc2f02-107,lcs_vcfc2f02
122,,0.02,,,,,,,0.93,,,,,,,,,0.04,lcs_vcfc2f02-122,lcs_vcfc2f02
137,,,,,,,,,0.96,,0.02,,,,,,,0.01,lcs_vcfc2f02-137,lcs_vcfc2f02
153,,,,,0.04,,,,,,,,,,,,0.95,0.02,lcs_vcfc2f02-153,lcs_vcfc2f02
16,,0.96,,,,,,,,,,,,,0.02,,,0.03,lcs_vcfc2f02-16,lcs_vcfc2f02
168,,,0.03,,,,,,0.9,,,,,,0.04,,,0.03,lcs_vcfc2f02-168,lcs_vcfc2f02
183,,,0.02,,0.02,,,,0.84,,,0.02,,,,,0.1,0.01,lcs_vcfc2f02-183,lcs_vcfc2f02
198,,,,,,,,,0.37,,0.04,0.5,,,,,0.08,0.01,lcs_vcfc2f02-198,lcs_vcfc2f02
213,,,,,,,,0.03,0.03,,,0.93,,,,,,0.01,lcs_vcfc2f02-213,lcs_vcfc2f02
229,,,,,,,,,,,,0.98,,,,0.02,,0.01,lcs_vcfc2f02-229,lcs_vcfc2f02
244,,,,,,,,,,,,0.99,,,,,,0.01,lcs_vcfc2f02-244,lcs_vcfc2f02
259,,,,,,,,,,,,0.96,,,,0.03,,0.01,lcs_vcfc2f02-259,lcs_vcfc2f02
274,,,,0.02,,,,,,,,0.98,,,,,,0.0,lcs_vcfc2f02-274,lcs_vcfc2f02
289,0.04,,,,,0.4,,,,,,0.54,,,,,,0.02,lcs_vcfc2f02-289,lcs_vcfc2f02
305,,,,,,0.08,,,,0.63,,0.25,,,,,,0.05,lcs_vcfc2f02-305,lcs_vcfc2f02
31,,0.97,,,,,,0.01,,,,,,,,,,0.01,lcs_vcfc2f02-31,lcs_vcfc2f02
320,,0.04,,,,,0.04,,,0.85,,0.02,,,,0.02,,0.02,lcs_vcfc2f02-320,lcs_vcfc2f02
335,,,,0.6,0.16,,,,,0.23,,,,,,,,0.01,lcs_vcfc2f02-335,lcs_vcfc2f02
350,0.05,,,,,,0.54,,,0.05,0.34,,,,,,,0.03,lcs_vcfc2f02-350,lcs_vcfc2f02
366,,,,,,,,,,0.59,,,,0.35,0.03,,,0.04,lcs_vcfc2f02-366,lcs_vcfc2f02
46,,0.97,,,,,,,,,,,0.02,,,,,0.01,lcs_vcfc2f02-46,lcs_vcfc2f02
61,,0.99,,,,,,,,,,,,,,,,0.01,lcs_vcfc2f02-61,lcs_vcfc2f02
77,,0.97,,,,,0.03,,,,,,,,,,,0.0,lcs_vcfc2f02-77,lcs_vcfc2f02
92,,0.81,0.03,0.03,,,,,,0.07,0.03,,,,,,,0.03,lcs_vcfc2f02-92,lcs_vcfc2f02
