timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,,0.32,,,,0.68,virpool-1,virpool
3,,,,,0.38,0.62,virpool-3,virpool
5,,,,,,1.0,virpool-5,virpool
7,,,0.1,,0.9,0.0,virpool-7,virpool
9,0.4,,,,,0.6,virpool-9,virpool
12,0.87,,0.13,,,0.0,virpool-12,virpool
14,0.02,0.96,,,0.02,0.0,virpool-14,virpool
16,,,1.0,,,0.0,virpool-16,virpool
18,,,,,1.0,0.0,virpool-18,virpool
20,0.97,,,,0.03,0.0,virpool-20,virpool
23,0.09,,0.91,,,0.0,virpool-23,virpool
25,0.02,,0.98,,,0.0,virpool-25,virpool
27,,1.0,,,,0.0,virpool-27,virpool
29,0.04,0.83,,,,0.13,virpool-29,virpool
31,,,,,1.0,0.0,virpool-31,virpool
34,0.98,,,,,0.02,virpool-34,virpool
36,,0.02,,,0.98,0.0,virpool-36,virpool
38,,,,,,1.0,virpool-38,virpool
40,,,,,0.81,0.19,virpool-40,virpool
42,0.22,,0.78,,,0.0,virpool-42,virpool
45,0.99,,,,,0.01,virpool-45,virpool
47,0.89,,0.11,,,0.0,virpool-47,virpool
49,0.39,,0.49,0.13,,0.0,virpool-49,virpool
51,0.04,,,,0.23,0.73,virpool-51,virpool
