timepoint,BA.1.1,BA.2,BA.2.75.1,BA.2.9,BA.4.1,BA.5,BA.5.1,BA.5.1.22,BA.5.1.23,BA.5.2,BA.5.2.1,BE.1,BE.1.1,BE.1.1.2,BF.14,BF.5,BF.7,BQ.1,BQ.1.1.23,XBF,BA.2.12.1,BA.2.56,BA.4,BA.5.5,BE.1.4,BF.1,BF.12,B.1.617.2,BA.1,BA.1.1.1,BA.1.17,BA.1.17.2,BA.2.3,AY.43,AY.46.6,BA.1.18,BA.4.1.2,B.1.1.529,BA.4.6,BA.5.1.2,BA.5.2.20,BA.5.2.26,BA.5.2.27,BA.5.2.3,BA.5.9,BM.1.1,BA.5.3,BA.1.15,BA.2.13,BA.2.3.20,BA.2.75.2,BA.2.75.5,BA.5.1.30,BA.5.1.5,BA.5.2.58,BA.5.2.6,BM.1.1.3,BN.1,BR.3,BF.11.3,BF.7.19,BF.7.4,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.3,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,CH.1.1,XBB,XBB.1,BA.5.1.10,BF.7.22,BF.7.24,BN.1.3.1,BQ.1.2.1,BQ.1.3.2,BF.11,BA.1.20,BA.5.1.3,BL.1,CM.5,XBB.2,BA.2.36,BN.2,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,,0.01,,,0.02,0.28,0.17,0.01,0.01,0.07,0.08,0.01,0.09,,0.08,0.01,,,,,0.01,0.03,0.02,0.01,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-29,simulation,Ex18_02_realTimecourse_simul-29,2022-07-13,1503.1064107280206,1743.1949412742385,82.5000836036518,59.9999
31,0.02,0.06,0.02,0.01,0.01,0.03,0.22,0.01,0.01,0.13,0.13,0.02,0.1,0.02,0.14,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-31,simulation,Ex18_02_realTimecourse_simul-31,2022-07-27,1501.190415677357,1601.4875841649239,86.2722803732067,59.9999
34,,0.02,0.02,,,0.07,0.2,0.02,0.01,0.19,0.14,0.02,0.08,0.01,0.12,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,simul-34,simulation,Ex18_02_realTimecourse_simul-34,2022-08-17,1500.932515132261,1480.623567311277,84.75403805638231,59.9999
36,,0.02,,,,0.02,0.19,0.02,,0.26,0.17,,0.06,0.02,0.12,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,0.02,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex18_02_realTimecourse_simul-36,2022-08-31,1503.1638965990035,1958.350150802381,78.38678393472227,59.9999
38,,,0.02,,,0.02,0.18,,0.01,0.26,0.1,0.01,0.05,0.01,0.13,0.01,0.03,,,,,,,,0.01,,,,,,,,,,,,,,0.02,0.01,0.02,0.02,0.01,0.01,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-38,simulation,Ex18_02_realTimecourse_simul-38,2022-09-14,1502.8594455405812,1741.9802090247344,87.99451560044143,59.9999
40,,0.02,,,,0.01,0.17,,,0.21,0.1,,0.02,,0.03,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,0.02,,,,,0.07,0.04,0.07,0.02,0.01,0.01,0.01,0.02,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-40,simulation,Ex18_02_realTimecourse_simul-40,2022-09-28,1498.5378724542688,2064.5547171444955,83.1990101327626,59.9999
42,,0.01,,,,0.02,0.09,,,0.2,0.09,,0.04,,0.06,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,0.03,,,,,0.14,,0.02,,,0.01,0.02,0.03,0.08,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.01,,,,simul-42,simulation,Ex18_02_realTimecourse_simul-42,2022-10-12,1502.2396080660803,1647.2242464073468,82.74420626692974,59.9999
45,,,,,,,0.11,,,0.14,0.08,,,,0.09,0.03,0.1,0.03,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,,0.02,,0.04,,,,,0.01,,,,0.01,,0.02,,0.02,,,,,,0.02,,,0.03,0.01,0.05,,,,,,0.02,0.02,,0.05,,,,0.02,,,0.01,,,,,0.01,,,simul-45,simulation,Ex18_02_realTimecourse_simul-45,2022-11-02,1492.7119686987928,1922.1629273422932,84.04842323512692,59.9999
47,,,,,,0.03,0.04,,,0.14,0.06,,,,0.03,,0.06,0.07,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.08,,,,,0.02,,,,,,,,,,,,,0.02,0.02,0.02,0.04,0.04,0.05,0.06,,,,,,,0.02,,0.13,,,,0.04,,,0.02,,,,,,,,simul-47,simulation,Ex18_02_realTimecourse_simul-47,2022-11-16,1492.3799618767348,1751.1064106796637,88.31889776945458,59.9999
49,,,,,,0.02,0.02,,,0.12,0.01,,0.01,,0.06,0.01,0.11,0.07,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.02,,0.01,0.03,0.01,,0.02,0.02,,0.18,0.02,0.02,0.01,,,0.02,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.02,0.02,,,,,,,,,simul-49,simulation,Ex18_02_realTimecourse_simul-49,2022-11-30,1494.3165234257433,2078.411086191724,79.98528575728187,59.9998
51,,,,,,0.03,0.02,,,0.05,,,,,0.05,,0.11,0.04,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,,,,,,,,,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.27,0.02,0.02,0.02,0.02,0.04,0.02,0.05,0.01,0.03,,,,,,,,,,,,,,,simul-51,simulation,Ex18_02_realTimecourse_simul-51,2022-12-14,1498.688058054376,1722.8348347733993,84.7440056181654,59.9999
