timepoint,P.1,B.1.617.2,others,B.1.351,B.1.1.7,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,0.02,,0.98,simul-1,simulation,Ex12_03_WideQual_simul-1,2023-01-02,1502.973781894793,2082.799954445685,83.47991840283584,59.9998
16,,,0.02,,0.98,simul-16,simulation,Ex12_03_WideQual_simul-16,2023-01-17,1503.8946593987225,2347.9153301538163,75.91211584121994,59.9998
31,,,0.02,0.0024,0.9776,simul-31,simulation,Ex12_03_WideQual_simul-31,2023-02-01,1501.9132862923452,2384.31400930511,78.46704344045749,60
46,,,0.02,0.0024,0.9776,simul-46,simulation,Ex12_03_WideQual_simul-46,2023-02-16,1504.3960806608034,2199.6769008401625,76.2933484934622,59.9999
61,,,0.02,0.0028000000000000004,0.9772,simul-61,simulation,Ex12_03_WideQual_simul-61,2023-03-03,1503.9864562084072,2055.110896420436,75.99237534695516,60
77,,,0.02,0.012,0.968,simul-77,simulation,Ex12_03_WideQual_simul-77,2023-03-19,1503.7247098953283,2319.8123552523443,76.17630338093167,59.9999
92,,,0.02,0.16449999999999998,0.8155,simul-92,simulation,Ex12_03_WideQual_simul-92,2023-04-03,1499.407684847674,2301.615978102911,71.95933518376083,60
107,,,0.02,0.7842,0.19579999999999997,simul-107,simulation,Ex12_03_WideQual_simul-107,2023-04-18,1502.6572250275892,2378.079977149444,73.83874527639367,59.9999
122,,,0.02,0.968,0.012,simul-122,simulation,Ex12_03_WideQual_simul-122,2023-05-03,1502.045380062201,1936.3825546830976,75.32689027856738,59.9999
137,,,0.02,0.9793999999999999,0.0006,simul-137,simulation,Ex12_03_WideQual_simul-137,2023-05-18,1502.1662709427148,1837.2579784694267,83.192321840618,59.9998
153,0.0001,,0.02,0.9799,,simul-153,simulation,Ex12_03_WideQual_simul-153,2023-06-03,1504.873123098017,2296.7559888075257,72.91241681436645,59.9999
168,0.0024,,0.02,0.9776,,simul-168,simulation,Ex12_03_WideQual_simul-168,2023-06-18,1505.3331772731833,2524.6536606563736,76.65117212319834,60
183,0.0458,,0.02,0.9342,,simul-183,simulation,Ex12_03_WideQual_simul-183,2023-07-03,1500.5603785573353,2229.7165986851396,71.58144667759088,60
198,0.48619999999999997,,0.02,0.4938,,simul-198,simulation,Ex12_03_WideQual_simul-198,2023-07-18,1502.5963281276127,2082.1514526735737,74.19656890612983,59.9998
213,0.9328,,0.02,0.0472,,simul-213,simulation,Ex12_03_WideQual_simul-213,2023-08-02,1501.2064675785039,2393.8683956520244,74.93562518810822,59.9998
229,0.978,,0.02,0.002,,simul-229,simulation,Ex12_03_WideQual_simul-229,2023-08-18,1498.47965087115,2740.680337429259,74.28351670400963,59.9999
244,0.9799,,0.02,0.0001,,simul-244,simulation,Ex12_03_WideQual_simul-244,2023-09-02,1499.672340567836,2262.5675783362703,76.53412701066783,59.9998
259,0.9797,0.0003,0.02,,,simul-259,simulation,Ex12_03_WideQual_simul-259,2023-09-17,1493.3849446543825,2156.276192030303,81.50352807410628,59.9999
274,0.9747,0.0053,0.02,,,simul-274,simulation,Ex12_03_WideQual_simul-274,2023-10-02,1503.3169916061934,2329.275462613129,67.197271176805,59.9998
289,0.8835999999999999,0.0964,0.02,,,simul-289,simulation,Ex12_03_WideQual_simul-289,2023-10-17,1501.0985854262115,2461.140626629631,74.63465204160119,59.9999
305,0.2666,0.7134,0.02,,,simul-305,simulation,Ex12_03_WideQual_simul-305,2023-11-02,1503.663043841755,2333.7600674158984,73.73173260208006,59.9998
320,0.0179,0.9621,0.02,,,simul-320,simulation,Ex12_03_WideQual_simul-320,2023-11-17,1504.6799986623416,2599.9151062406745,69.57495903421062,59.9998
335,0.0009,0.9791,0.02,,,simul-335,simulation,Ex12_03_WideQual_simul-335,2023-12-02,1505.5629201083502,2079.5194872578822,78.95528876701334,59.9997
350,,0.98,0.02,,,simul-350,simulation,Ex12_03_WideQual_simul-350,2023-12-17,1505.5201819215463,2226.0802630682265,68.79577299936462,60
366,,0.98,0.02,,,simul-366,simulation,Ex12_03_WideQual_simul-366,2024-01-02,1502.9631475102833,2476.5635682664506,74.20994549041903,59.9999
