timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,,,,,,1.0,virpool_v763c212-1,virpool_v763c212
3,,,,,1.0,0.0,virpool_v763c212-3,virpool_v763c212
5,,0.3,0.23,,0.37,0.1,virpool_v763c212-5,virpool_v763c212
7,0.15,,0.85,,,0.0,virpool_v763c212-7,virpool_v763c212
9,,0.06,0.92,,,0.02,virpool_v763c212-9,virpool_v763c212
12,,,,,1.0,0.0,virpool_v763c212-12,virpool_v763c212
14,0.21,,0.36,0.35,,0.08,virpool_v763c212-14,virpool_v763c212
16,,,1.0,,,0.0,virpool_v763c212-16,virpool_v763c212
18,,,,0.38,,0.62,virpool_v763c212-18,virpool_v763c212
20,0.15,0.85,,,,0.0,virpool_v763c212-20,virpool_v763c212
23,,,,,1.0,0.0,virpool_v763c212-23,virpool_v763c212
25,,,0.49,0.5,,0.01,virpool_v763c212-25,virpool_v763c212
27,0.96,,,,,0.04,virpool_v763c212-27,virpool_v763c212
29,,0.03,0.8,,,0.17,virpool_v763c212-29,virpool_v763c212
31,0.15,,,,,0.85,virpool_v763c212-31,virpool_v763c212
34,0.99,,,,0.01,0.0,virpool_v763c212-34,virpool_v763c212
36,,,0.98,,0.02,0.0,virpool_v763c212-36,virpool_v763c212
38,0.01,0.13,0.85,,,0.0,virpool_v763c212-38,virpool_v763c212
40,,,,,,1.0,virpool_v763c212-40,virpool_v763c212
42,0.99,,,,0.01,0.0,virpool_v763c212-42,virpool_v763c212
45,,,1.0,,,0.0,virpool_v763c212-45,virpool_v763c212
47,,,,0.65,0.33,0.02,virpool_v763c212-47,virpool_v763c212
49,,,,,1.0,0.0,virpool_v763c212-49,virpool_v763c212
51,0.05,,,,0.17,0.78,virpool_v763c212-51,virpool_v763c212
