timepoint,B.1.1.529,B.1.617.2,others,sample_name,tool_name
1,0.44,0.2,0.36,quaid_vaec47270-1,quaid_vaec47270
3,0.31,0.2,0.49,quaid_vaec47270-3,quaid_vaec47270
5,0.36,,0.64,quaid_vaec47270-5,quaid_vaec47270
7,0.32,,0.68,quaid_vaec47270-7,quaid_vaec47270
12,0.11,,0.89,quaid_vaec47270-12,quaid_vaec47270
14,0.18,,0.82,quaid_vaec47270-14,quaid_vaec47270
16,0.88,,0.12,quaid_vaec47270-16,quaid_vaec47270
18,0.43,,0.57,quaid_vaec47270-18,quaid_vaec47270
20,0.5,,0.5,quaid_vaec47270-20,quaid_vaec47270
25,0.02,,0.98,quaid_vaec47270-25,quaid_vaec47270
27,0.04,,0.96,quaid_vaec47270-27,quaid_vaec47270
31,0.05,,0.95,quaid_vaec47270-31,quaid_vaec47270
36,0.12,,0.88,quaid_vaec47270-36,quaid_vaec47270
40,0.03,,0.97,quaid_vaec47270-40,quaid_vaec47270
42,0.04,,0.96,quaid_vaec47270-42,quaid_vaec47270
45,0.09,,0.91,quaid_vaec47270-45,quaid_vaec47270
47,0.03,,0.97,quaid_vaec47270-47,quaid_vaec47270
51,0.05,,0.95,quaid_vaec47270-51,quaid_vaec47270
