timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,,,,,,1.0,virpool-1,virpool
3,,,,,1.0,0.0,virpool-3,virpool
5,,0.3,0.23,,0.37,0.1,virpool-5,virpool
7,0.15,,0.85,,,0.0,virpool-7,virpool
9,,0.06,0.92,,,0.02,virpool-9,virpool
12,,,,,1.0,0.0,virpool-12,virpool
14,0.21,,0.36,0.35,,0.08,virpool-14,virpool
16,,,1.0,,,0.0,virpool-16,virpool
18,,,,0.38,,0.62,virpool-18,virpool
20,0.15,0.85,,,,0.0,virpool-20,virpool
23,,,,,1.0,0.0,virpool-23,virpool
25,,,0.49,0.5,,0.01,virpool-25,virpool
27,0.96,,,,,0.04,virpool-27,virpool
29,,0.03,0.8,,,0.17,virpool-29,virpool
31,0.15,,,,,0.85,virpool-31,virpool
34,0.99,,,,0.01,0.0,virpool-34,virpool
36,,,0.98,,0.02,0.0,virpool-36,virpool
38,0.01,0.13,0.85,,,0.0,virpool-38,virpool
40,,,,,,1.0,virpool-40,virpool
42,0.99,,,,0.01,0.0,virpool-42,virpool
45,,,1.0,,,0.0,virpool-45,virpool
47,,,,0.65,0.33,0.02,virpool-47,virpool
49,,,,,1.0,0.0,virpool-49,virpool
51,0.05,,,,0.17,0.78,virpool-51,virpool
