timepoint,BA.2,BA.2.3.20,BA.2.75.5,BA.4.6,BA.5,BA.5.1,BA.5.1.3,BA.5.2,BA.5.2.1,BA.5.2.27,BA.5.2.58,BA.5.2.6,BA.5.9,BE.1.1,BF.14,BF.5,BF.7,BL.1,BM.1.1.3,BN.1,BN.1.3,BR.3,CM.5,BA.1.1,BA.1.1.1,BA.2.12.1,BA.2.3,BA.2.9,B.1.1.529,BA.1,BA.2.36,BA.2.56,BA.4,BA.5.1.22,BA.5.3,BE.1,BE.1.4,BA.5.1.10,BF.11.3,BF.7.22,BF.7.24,BF.7.4,BF.7.5,BF.7.6,BN.1.2,BN.1.3.1,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,BQ.1.5,CH.1.1,XBB,XBB.1,XBF,BA.2.75.1,BA.4.1,BA.5.1.23,BE.1.1.2,BQ.1.1.23,BA.5.1.2,BA.5.2.20,BA.5.2.26,BA.5.2.3,BM.1.1,BA.5.1.5,BN.2,BF.7.19,BF.7.9,BN.1.3.3,BQ.1.1.7,BQ.1.10,AY.43,AY.46.6,B.1.617.2,BA.1.17.2,BA.1.18,BA.1.20,BA.4.1.2,BF.11,BA.1.17,BF.1,BA.5.5,BF.12,BA.1.15,BA.2.13,XBB.2,BA.2.75.2,BA.5.1.30,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,0.01,,,,0.28,0.17,,0.07,0.08,,,,,0.09,0.08,0.01,,,,,,,,,,0.01,,,,,,0.03,0.02,0.01,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,0.02,,,,simul-29,simulation,Ex22_01_realTimecourse_simul-29,2022-07-13,1480.491355382403,13485.888635562747,8.273417382871283,60
31,0.06,,,,0.03,0.22,,0.13,0.13,,,,,0.1,0.14,0.02,0.02,,,,,,,0.02,,,,0.01,,,,,,0.01,,0.02,,,,,,,,,,,0.02,,,,,,,,,,,0.01,0.02,0.01,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-31,simulation,Ex22_01_realTimecourse_simul-31,2022-07-27,1507.7148781058756,8392.200617456278,7.186569909373642,60
34,0.02,,,,0.07,0.2,,0.19,0.14,,,,,0.08,0.12,0.01,0.03,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,0.01,,,0.01,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,simul-34,simulation,Ex22_01_realTimecourse_simul-34,2022-08-17,1508.8192154633314,13034.561234806877,3.618366050229074,60
36,0.02,,,0.01,0.02,0.19,,0.26,0.17,,,,,0.06,0.12,0.04,0.02,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex22_01_realTimecourse_simul-36,2022-08-31,1513.405778684413,7736.398803690591,11.925224893823362,60
38,,,,0.02,0.02,0.18,,0.26,0.1,0.01,,,0.03,0.05,0.13,0.01,0.03,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,0.01,,0.01,0.02,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,simul-38,simulation,Ex22_01_realTimecourse_simul-38,2022-09-14,1492.910176236498,9980.10247382387,4.628298164063806,59.9994
40,0.02,0.07,0.07,0.01,0.01,0.17,,0.21,0.1,,0.01,0.01,0.02,0.02,0.03,0.03,0.04,,0.02,0.04,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,simul-40,simulation,Ex22_01_realTimecourse_simul-40,2022-09-28,1520.3466541818548,10491.595924266105,4.8222586362572315,60
42,0.01,0.14,0.02,0.02,0.02,0.09,0.01,0.2,0.09,0.02,0.01,0.02,0.03,0.04,0.06,0.02,0.03,0.02,0.03,0.08,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-42,simulation,Ex22_01_realTimecourse_simul-42,2022-10-12,1497.006621409223,10735.366121537272,6.019462930140788,60
45,,0.01,,0.01,,0.11,,0.14,0.08,0.02,,0.02,0.04,,0.09,0.03,0.1,,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,0.03,0.05,,,,,,0.02,0.02,,0.05,,,,,,,,0.03,,,,0.01,,,,0.01,,,,,,,,,,0.01,,,,,,,0.01,,,simul-45,simulation,Ex22_01_realTimecourse_simul-45,2022-11-02,1507.9720429388356,7986.753286340663,10.90526034177173,59.9998
47,,0.02,,,0.03,0.04,,0.14,0.06,,,,0.08,,0.03,,0.06,,,,0.04,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.04,0.04,0.07,0.06,,,,,,,0.02,,0.13,,,,,,,,0.02,,,,,,,0.02,0.05,,,,,,,,,,0.02,,,,,,,,,,simul-47,simulation,Ex22_01_realTimecourse_simul-47,2022-11-16,1509.6090024412267,7648.715322800298,9.343544126007423,60
49,,,,,0.02,0.02,,0.12,0.01,,,,0.01,0.01,0.06,0.01,0.11,,,,0.02,,,,,,,,,,,,,,,,,0.01,0.02,0.01,0.01,0.01,0.03,0.01,0.02,0.01,0.07,0.18,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-49,simulation,Ex22_01_realTimecourse_simul-49,2022-11-30,1506.5556967528341,7981.275752760046,8.798448316222453,60
51,,0.02,,,0.03,0.02,,0.05,,,,,0.01,,0.05,,0.11,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,0.02,0.02,0.01,0.02,,0.04,0.27,0.02,0.02,0.02,,,0.02,0.05,0.01,0.03,0.03,,,,,,,,,,,,,0.02,0.01,0.01,0.02,0.04,,,,,,,,,,,,,,,,,,simul-51,simulation,Ex22_01_realTimecourse_simul-51,2022-12-14,1482.4674447379862,9708.971396880706,8.684747349764239,60
