timepoint,B.1.351,P.1,others,B.1.1.7,B.1.617.2,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,0.02,0.98,,simul-1,simulation,Ex11_01_WideQual_simul-1,2023-01-02,1502.7783834397887,1660.7279994446685,89.25525866969869,60
16,,,0.02,0.98,,simul-16,simulation,Ex11_01_WideQual_simul-16,2023-01-17,1505.7353777212988,2222.745034869177,87.58987392569307,60
31,0.0024,,0.02,0.9776,,simul-31,simulation,Ex11_01_WideQual_simul-31,2023-02-01,1499.871183493295,1900.395670052852,85.32254288867338,59.9998
46,0.0024,,0.02,0.9776,,simul-46,simulation,Ex11_01_WideQual_simul-46,2023-02-16,1502.8803130120723,1695.2767014058456,84.09524128013912,60
61,0.0028000000000000004,,0.02,0.9772,,simul-61,simulation,Ex11_01_WideQual_simul-61,2023-03-03,1503.3572216834432,2002.3668598287154,80.82801056750158,59.9999
77,0.012,,0.02,0.968,,simul-77,simulation,Ex11_01_WideQual_simul-77,2023-03-19,1499.7785506470923,1624.9293172071875,85.11854997826305,59.9997
92,0.16449999999999998,,0.02,0.8155,,simul-92,simulation,Ex11_01_WideQual_simul-92,2023-04-03,1501.4152760592583,1551.5903705073201,85.55328896766211,59.9998
107,0.7842,,0.02,0.19579999999999997,,simul-107,simulation,Ex11_01_WideQual_simul-107,2023-04-18,1503.4463766177307,1994.7030613054287,90.96077316657191,59.9999
122,0.968,,0.02,0.012,,simul-122,simulation,Ex11_01_WideQual_simul-122,2023-05-03,1504.5250643748118,1633.287536763234,85.84757382202454,59.9999
137,0.9793999999999999,,0.02,0.0006,,simul-137,simulation,Ex11_01_WideQual_simul-137,2023-05-18,1500.7074541015952,1702.4881273746173,82.67063505333913,59.9998
153,0.9799,0.0001,0.02,,,simul-153,simulation,Ex11_01_WideQual_simul-153,2023-06-03,1503.0618667023375,1863.3758319752458,84.0551115272715,60
168,0.9776,0.0024,0.02,,,simul-168,simulation,Ex11_01_WideQual_simul-168,2023-06-18,1503.5279737818948,1964.6411206645735,81.6506705012875,60
183,0.9342,0.0458,0.02,,,simul-183,simulation,Ex11_01_WideQual_simul-183,2023-07-03,1503.1193191318596,1643.1538818875774,89.02785673678227,59.9999
198,0.4938,0.48619999999999997,0.02,,,simul-198,simulation,Ex11_01_WideQual_simul-198,2023-07-18,1501.6154232016854,1793.8400200602118,81.76102732167341,59.9999
213,0.0472,0.9328,0.02,,,simul-213,simulation,Ex11_01_WideQual_simul-213,2023-08-02,1501.086680266194,1681.7799680467044,85.41283483262548,60
229,0.002,0.978,0.02,,,simul-229,simulation,Ex11_01_WideQual_simul-229,2023-08-18,1501.9266628766345,2061.9393184894225,83.9648195833194,59.9999
244,0.0001,0.9799,0.02,,,simul-244,simulation,Ex11_01_WideQual_simul-244,2023-09-02,1500.2567300939704,2063.976991831696,81.7075209845166,59.9999
259,,0.9797,0.02,,0.0003,simul-259,simulation,Ex11_01_WideQual_simul-259,2023-09-17,1505.7582851218942,1857.172189809549,83.43310035782363,59.9999
274,,0.9747,0.02,,0.0053,simul-274,simulation,Ex11_01_WideQual_simul-274,2023-10-02,1502.81914858041,1889.8786881051333,86.84747349764238,59.9999
289,,0.8835999999999999,0.02,,0.0964,simul-289,simulation,Ex11_01_WideQual_simul-289,2023-10-17,1503.7425676353544,1633.269630378138,86.9578303180283,59.9999
305,,0.2666,0.02,,0.7134,simul-305,simulation,Ex11_01_WideQual_simul-305,2023-11-02,1498.2918436277296,1966.6143000342865,82.99836136842458,60
320,,0.0179,0.02,,0.9621,simul-320,simulation,Ex11_01_WideQual_simul-320,2023-11-17,1502.8290138113232,1906.7876850853547,88.71016285991372,60
335,,0.0009,0.02,,0.9791,simul-335,simulation,Ex11_01_WideQual_simul-335,2023-12-02,1502.1267431361402,1710.2617702687319,90.0979834799184,59.9999
350,,,0.02,,0.98,simul-350,simulation,Ex11_01_WideQual_simul-350,2023-12-17,1505.849814399893,1957.3614303775646,80.59726448851285,59.9998
366,,,0.02,,0.98,simul-366,simulation,Ex11_01_WideQual_simul-366,2024-01-02,1503.799217469819,1733.766468153259,88.23529411764706,59.9999
