timepoint,XBB.2.3,XBB.1.16,others,XBB.1.9,XBB.1.5,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,,,0.02,0.98,,Ex23_03_nearQual_simul-1,2023-01-02,1462.66,1192.53,96.37,60.0,simulation-1,simulation
16,,,0.02,0.98,,Ex23_03_nearQual_simul-16,2023-01-17,1467.04,1079.79,95.4,60.0,simulation-16,simulation
31,,,0.02,0.98,,Ex23_03_nearQual_simul-31,2023-02-01,1480.18,1216.83,95.91,60.0,simulation-31,simulation
46,,,0.02,0.98,,Ex23_03_nearQual_simul-46,2023-02-16,1478.31,1301.52,92.48,60.0,simulation-46,simulation
61,,,0.02,0.98,,Ex23_03_nearQual_simul-61,2023-03-03,1451.1,1194.9,96.03,60.0,simulation-61,simulation
77,,,0.02,0.97,0.01,Ex23_03_nearQual_simul-77,2023-03-19,1487.65,1108.58,97.35,60.0,simulation-77,simulation
92,,,0.02,0.82,0.16,Ex23_03_nearQual_simul-92,2023-04-03,1464.53,1381.95,96.98,60.0,simulation-92,simulation
107,,,0.02,0.2,0.78,Ex23_03_nearQual_simul-107,2023-04-18,1471.68,1104.24,96.38,60.0,simulation-107,simulation
122,,,0.02,0.01,0.97,Ex23_03_nearQual_simul-122,2023-05-03,1467.48,1179.89,97.06,60.0,simulation-122,simulation
137,,,0.02,,0.98,Ex23_03_nearQual_simul-137,2023-05-18,1479.26,1174.32,95.77,60.0,simulation-137,simulation
153,,,0.02,,0.98,Ex23_03_nearQual_simul-153,2023-06-03,1466.19,1337.11,95.96,60.0,simulation-153,simulation
168,,,0.02,,0.98,Ex23_03_nearQual_simul-168,2023-06-18,1484.73,1280.94,95.17,60.0,simulation-168,simulation
183,0.05,,0.02,,0.93,Ex23_03_nearQual_simul-183,2023-07-03,1467.18,1311.26,96.5,60.0,simulation-183,simulation
198,0.49,,0.02,,0.49,Ex23_03_nearQual_simul-198,2023-07-18,1471.08,1296.9,97.21,60.0,simulation-198,simulation
213,0.93,,0.02,,0.05,Ex23_03_nearQual_simul-213,2023-08-02,1479.78,1134.38,97.35,60.0,simulation-213,simulation
229,0.98,,0.02,,,Ex23_03_nearQual_simul-229,2023-08-18,1466.21,1263.09,97.65,60.0,simulation-229,simulation
244,0.98,,0.02,,,Ex23_03_nearQual_simul-244,2023-09-02,1478.34,1148.18,95.38,60.0,simulation-244,simulation
259,0.98,,0.02,,,Ex23_03_nearQual_simul-259,2023-09-17,1485.51,1164.76,96.1,60.0,simulation-259,simulation
274,0.97,,0.03,,,Ex23_03_nearQual_simul-274,2023-10-02,1455.09,1323.31,93.59,60.0,simulation-274,simulation
289,0.88,0.1,0.02,,,Ex23_03_nearQual_simul-289,2023-10-17,1446.01,1401.33,95.59,60.0,simulation-289,simulation
305,0.27,0.71,0.02,,,Ex23_03_nearQual_simul-305,2023-11-02,1478.71,1035.44,95.01,60.0,simulation-305,simulation
320,0.02,0.96,0.02,,,Ex23_03_nearQual_simul-320,2023-11-17,1481.38,1112.46,95.5,60.0,simulation-320,simulation
335,,0.98,0.02,,,Ex23_03_nearQual_simul-335,2023-12-02,1465.53,1261.41,90.72,60.0,simulation-335,simulation
350,,0.98,0.02,,,Ex23_03_nearQual_simul-350,2023-12-17,1464.09,1161.97,97.33,60.0,simulation-350,simulation
366,,0.98,0.02,,,Ex23_03_nearQual_simul-366,2024-01-02,1488.86,1144.61,93.89,60.0,simulation-366,simulation
