timepoint,B.1.1.7,B.1.160,B.1.177,B.1.258,B.1.351,others,sample_name,tool_name
1,0.08,,0.09,,,0.83,virpool_v763c212-1,virpool_v763c212
3,,0.04,,,,0.96,virpool_v763c212-3,virpool_v763c212
5,0.48,,,,,0.52,virpool_v763c212-5,virpool_v763c212
7,0.03,0.08,,,,0.89,virpool_v763c212-7,virpool_v763c212
9,,0.22,0.09,,,0.7,virpool_v763c212-9,virpool_v763c212
12,0.26,,,,,0.74,virpool_v763c212-12,virpool_v763c212
14,,,,,,1.0,virpool_v763c212-14,virpool_v763c212
16,0.02,,,,0.09,0.89,virpool_v763c212-16,virpool_v763c212
18,,,0.51,,,0.49,virpool_v763c212-18,virpool_v763c212
20,,0.15,,0.07,,0.79,virpool_v763c212-20,virpool_v763c212
23,0.2,,,0.16,0.35,0.29,virpool_v763c212-23,virpool_v763c212
25,0.32,,,,,0.68,virpool_v763c212-25,virpool_v763c212
27,,,0.59,,,0.41,virpool_v763c212-27,virpool_v763c212
29,0.02,,,,,0.98,virpool_v763c212-29,virpool_v763c212
31,0.04,,0.05,,0.3,0.62,virpool_v763c212-31,virpool_v763c212
34,,,,,,1.0,virpool_v763c212-34,virpool_v763c212
36,,,,,,1.0,virpool_v763c212-36,virpool_v763c212
38,,,,,,1.0,virpool_v763c212-38,virpool_v763c212
40,0.06,,,,0.04,0.9,virpool_v763c212-40,virpool_v763c212
42,0.14,,,,,0.86,virpool_v763c212-42,virpool_v763c212
45,,,,,,1.0,virpool_v763c212-45,virpool_v763c212
47,0.01,,,,,0.99,virpool_v763c212-47,virpool_v763c212
49,,,0.41,,,0.59,virpool_v763c212-49,virpool_v763c212
51,,,,,,1.0,virpool_v763c212-51,virpool_v763c212
