timepoint,B.1.351,P.1,others,B.1.1.7,B.1.617.2,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,0.02,0.98,,simul-1,simulation,Ex12_02_WideQual_simul-1,2023-01-02,1502.0490586228807,2501.7748628025247,76.97221014613919,59.9998
16,,,0.02,0.98,,simul-16,simulation,Ex12_02_WideQual_simul-16,2023-01-17,1499.409256596328,2147.10456412372,73.21338996087349,59.9999
31,0.0024,,0.02,0.9776,,simul-31,simulation,Ex12_02_WideQual_simul-31,2023-02-01,1501.953984550045,2490.148339694805,70.32404775440591,59.9998
46,0.0024,,0.02,0.9776,,simul-46,simulation,Ex12_02_WideQual_simul-46,2023-02-16,1504.7792194763067,2175.024738852717,78.47373173260208,59.9998
61,0.0028000000000000004,,0.02,0.9772,,simul-61,simulation,Ex12_02_WideQual_simul-61,2023-03-03,1507.1724241714878,2223.025862103061,72.62816439822092,59.9999
77,0.012,,0.02,0.968,,simul-77,simulation,Ex12_02_WideQual_simul-77,2023-03-19,1505.6599003444471,2184.929208666964,74.65806106410729,59.9998
92,0.16449999999999998,,0.02,0.8155,,simul-92,simulation,Ex12_02_WideQual_simul-92,2023-04-03,1500.6717051800822,1988.5874794448396,72.36063271243688,59.9998
107,0.7842,,0.02,0.19579999999999997,,simul-107,simulation,Ex12_02_WideQual_simul-107,2023-04-18,1502.4514597197606,2217.7312251519656,69.40775173059559,59.9999
122,0.968,,0.02,0.012,,simul-122,simulation,Ex12_02_WideQual_simul-122,2023-05-03,1496.8523893923687,1806.3360590835493,79.83479918402836,60
137,0.9793999999999999,,0.02,0.0006,,simul-137,simulation,Ex12_02_WideQual_simul-137,2023-05-18,1503.3418386115106,2423.620755282879,68.99976590977494,60
153,0.9799,0.0001,0.02,,,simul-153,simulation,Ex12_02_WideQual_simul-153,2023-06-03,1502.4743336788952,2338.2626150601354,77.18623549476641,59.9999
168,0.9776,0.0024,0.02,,,simul-168,simulation,Ex12_02_WideQual_simul-168,2023-06-18,1501.1645988696787,2206.0877920713274,78.19951175467345,59.9998
183,0.9342,0.0458,0.02,,,simul-183,simulation,Ex12_02_WideQual_simul-183,2023-07-03,1502.7785506470923,2538.4996229430435,77.30996889944153,59.9999
198,0.4938,0.48619999999999997,0.02,,,simul-198,simulation,Ex12_02_WideQual_simul-198,2023-07-18,1504.1833595291441,2096.667105470438,75.87533023442464,59.9997
213,0.0472,0.9328,0.02,,,simul-213,simulation,Ex12_02_WideQual_simul-213,2023-08-02,1504.5022572985988,2524.6863338102166,75.01588469384343,60
229,0.002,0.978,0.02,,,simul-229,simulation,Ex12_02_WideQual_simul-229,2023-08-18,1505.9158947262817,2711.0584201976185,73.95913453499648,60
244,0.0001,0.9799,0.02,,,simul-244,simulation,Ex12_02_WideQual_simul-244,2023-09-02,1500.2888673377254,2039.2024071646883,79.59067652075042,59.9999
259,,0.9797,0.02,,0.0003,simul-259,simulation,Ex12_02_WideQual_simul-259,2023-09-17,1499.3656154900846,2544.6485805495035,81.41658027622647,59.9999
274,,0.9747,0.02,,0.0053,simul-274,simulation,Ex12_02_WideQual_simul-274,2023-10-02,1503.8700464836304,2205.6294232559285,75.02257298598802,59.9999
289,,0.8835999999999999,0.02,,0.0964,simul-289,simulation,Ex12_02_WideQual_simul-289,2023-10-17,1504.0158512523826,2314.3180456316386,75.83185633548474,59.9999
305,,0.2666,0.02,,0.7134,simul-305,simulation,Ex12_02_WideQual_simul-305,2023-11-02,1507.8216232485036,2186.003072068484,77.67448082132228,59.9999
320,,0.0179,0.02,,0.9621,simul-320,simulation,Ex12_02_WideQual_simul-320,2023-11-17,1504.0322041266763,2148.550042267513,75.71481122295421,59.9999
335,,0.0009,0.02,,0.9791,simul-335,simulation,Ex12_02_WideQual_simul-335,2023-12-02,1506.2894024010968,2103.210063494115,82.34959703039829,59.9999
350,,,0.02,,0.98,simul-350,simulation,Ex12_02_WideQual_simul-350,2023-12-17,1497.9795003845768,2174.8288525702046,74.27348426579273,59.9999
366,,,0.02,,0.98,simul-366,simulation,Ex12_02_WideQual_simul-366,2024-01-02,1504.5443600976491,2187.090292678399,77.42701401197203,59.9998
