timepoint,B.1.1.7,B.1.160,B.1.177,B.1.351,others,sample_name,tool_name
1,0.03,,0.26,,0.7,virpool_v763c212-1,virpool_v763c212
16,,,,,1.0,virpool_v763c212-16,virpool_v763c212
31,0.06,,,,0.94,virpool_v763c212-31,virpool_v763c212
46,,,,,1.0,virpool_v763c212-46,virpool_v763c212
61,,,,,1.0,virpool_v763c212-61,virpool_v763c212
77,0.01,0.15,,,0.84,virpool_v763c212-77,virpool_v763c212
92,0.06,,,,0.94,virpool_v763c212-92,virpool_v763c212
107,0.11,,,,0.89,virpool_v763c212-107,virpool_v763c212
122,0.07,,,,0.93,virpool_v763c212-122,virpool_v763c212
137,0.06,,,,0.94,virpool_v763c212-137,virpool_v763c212
153,,,,,1.0,virpool_v763c212-153,virpool_v763c212
168,,,0.29,,0.71,virpool_v763c212-168,virpool_v763c212
183,0.03,,,,0.97,virpool_v763c212-183,virpool_v763c212
198,0.01,,,,0.99,virpool_v763c212-198,virpool_v763c212
213,0.01,,0.17,,0.82,virpool_v763c212-213,virpool_v763c212
229,0.07,,,,0.93,virpool_v763c212-229,virpool_v763c212
244,,,,,1.0,virpool_v763c212-244,virpool_v763c212
259,0.05,,,0.15,0.8,virpool_v763c212-259,virpool_v763c212
274,0.24,,,,0.76,virpool_v763c212-274,virpool_v763c212
289,0.3,,0.31,,0.39,virpool_v763c212-289,virpool_v763c212
305,,0.03,0.26,,0.71,virpool_v763c212-305,virpool_v763c212
320,0.06,,0.46,0.03,0.46,virpool_v763c212-320,virpool_v763c212
335,0.03,,0.11,,0.86,virpool_v763c212-335,virpool_v763c212
350,0.07,0.01,0.52,,0.4,virpool_v763c212-350,virpool_v763c212
366,0.01,0.06,0.21,,0.71,virpool_v763c212-366,virpool_v763c212
